Samples	CBSX__sigmatrix_HNSCC_Fig2cd__B_cells	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD8	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD4	CBSX__sigmatrix_HNSCC_Fig2cd__Macrophages	CBSX__sigmatrix_HNSCC_Fig2cd__Dendritic_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Mast_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Myocytes	CBSX__sigmatrix_HNSCC_Fig2cd__CAFs	CBSX__sigmatrix_HNSCC_Fig2cd__Endothelial_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells
SimData1	0.02054942285672804	0.08019021832805912	0.3972151338044899	0.42988068266999824	0.0721645423407246	0	0	0	0	0
SimData10	0.20508928918647887	0.04886838848654209	0.34793674879413605	0.3341526696367473	0.06395290389609572	0	0	0	0	0
SimData100	0.5301869985028319	0.13645171428680888	0.15864428240666426	0.07393485189433095	0.0846878676513756	6.31494022626e-6	5.504723380911e-5	0.0129715779201384	0.00166370811814868	0.00139763704566582
SimData1000	0.40679453980669705	0.00509337558280505	0.33035854833490047	0.20052968108679717	0.05722385518880037	0	0	0	0	0
SimData1001	0.49741793988116534	0.00890071056621649	0.29321801377514334	0.14276877411205158	0.04673914321285878	0	0	0	0	0.01095541845256461
SimData1002	0.6787829455022913	0.01112825995975362	0.14173159647776704	0.1104238416304306	0.05793335642975737	0	0	0	0	0
SimData1003	0.9913408382263353	0	0	0	0	0	0	0	0.00519584681247748	0.00346331496118714
SimData1004	0.05029378878254669	0.17652806644890556	0.6013475738952323	0.14308270512572346	0.02874786574759198	0	0	0	0	0
SimData1005	0.098707681167285	0.19258639724009713	0.5369028164817811	0.12497573698150524	0.04682736812933151	0	0	0	0	0
SimData1006	0.12292305697545124	0.1356651139553915	0.6068602752220387	0.1145254039127411	0.02002614993437758	0	0	0	0	0
SimData1007	0.1594320191151863	0.13147181477770445	0.5494164430308113	0.1003252104521134	0.05935451262418462	0	0	0	0	0
SimData1008	0.23664156483109913	0.1227821416236199	0.5027153270333957	0.11863548763378148	0.01922547887810377	0	0	0	0	0
SimData1009	0.285641212792377	0.1198014840869545	0.4932130878588202	0.08904344894446813	0.01230076631738032	0	0	0	0	0
SimData101	0.723774567941312	0.1005152421758333	0.15181741210507912	0.02389277777777563	0	0	0	0	0	0
SimData1010	0.351190594142663	0.09295297052140178	0.48010618902431706	0.07120243487107242	0.00454781144054564	0	0	0	0	0
SimData1011	0.3357138960088216	0.10591555417492608	0.4614240675532365	0.07986829769790776	0.0170781845651081	0	0	0	0	0
SimData1012	0.3124808086324048	0.10419045999002054	0.4648309430505219	0.08178784448518449	0.03670994384186837	0	0	0	0	0
SimData1013	0.3307757391545758	0.0927418632572096	0.46989228982920395	0.07895411123331533	0.0276359965256954	0	0	0	0	0
SimData1014	0.33680196481872304	0.10372828138051736	0.4456768880668794	0.07678911831830812	0.03700374741557206	0	0	0	0	0
SimData1015	0.35798862952883803	0.10251131497795957	0.4383686650412864	0.07541971931245453	0.02571167113946152	0	0	0	0	0
SimData1016	0.34373586071581913	0.1021265813492082	0.4437338764498236	0.08296744609722627	0.02743623538792285	0	0	0	0	0
SimData1017	0.38570142846070626	0.06920071699793409	0.4442921791567566	0.08674787605959486	0.01405779932500818	0	0	0	0	0
SimData1018	0.549438574084273	0.02455995369428626	0.39598106930352545	0.0205059335712074	0.00951446934670783	0	0	0	0	0
SimData1019	0.7732390990420784	0	0.22676090095792176	0	0	0	0	0	0	0
SimData102	0.9844129494421611	0	0	0	0	1.0894228846585e-4	6.109585343797e-4	3.8989886993574e-4	0	0.01447725086505769
SimData1020	0.9885411499913833	0.00321905934344106	0	5.0221378604378e-4	0.00147142151920473	3.01485932695e-6	0	9.5360002642698e-4	0.00153341787782975	0.0037761225963434
SimData1021	0.04669763964686718	0.16466868474626223	0.3694247502353382	0.3237358878896643	0.095473037481868	0	0	0	0	0
SimData1022	0.05732857381131306	0.18031295861185975	0.3321890176822661	0.33734319154025855	0.09282625835430254	0	0	0	0	0
SimData1023	0.10973506177541172	0.15539514703627513	0.32543644078158485	0.3171701483876326	0.09226320201909574	0	0	0	0	0
SimData1024	0.13523049408079688	0.16374373721817229	0.30680512270970184	0.30118195894389965	0.0930386870474292	0	0	0	0	0
SimData1025	0.18050453085191057	0.1025048752217072	0.3531740449662374	0.2897764602817402	0.07404008867840481	0	0	0	0	0
SimData1026	0.23257220851730168	0.15691381467130727	0.2796963963876975	0.2679661678989556	0.06285141252473797	0	0	0	0	0
SimData1027	0.30167534713945476	0.07807537105883092	0.3379953114828132	0.219975525141114	0.06227844517778705	0	0	0	0	0
SimData1028	0.3012158897369759	0.11877160103261622	0.2901212208549765	0.21353187594972275	0.07635941242570866	0	0	0	0	0
SimData1029	0.3155163535794897	0.1309928882979307	0.2632681173658403	0.21508924866627188	0.07513339209046736	0	0	0	0	0
SimData103	0.0293096513255485	0.08262020807649534	0.5080563557532535	0.2425116174837414	0.13750216736096135	0	0	0	0	0
SimData1030	0.274849432718996	0.13257748917673434	0.27364881941325653	0.23612885240073356	0.08279540629027952	0	0	0	0	0
SimData1031	0.29010831528654957	0.1160023035282302	0.30224694414727515	0.21241955987734196	0.07922287716060306	0	0	0	0	0
SimData1032	0.29656751394973435	0.111376252063105	0.2967502329189424	0.2223234059248188	0.07298259514339955	0	0	0	0	0
SimData1033	0.2912924709982232	0.11700130612793128	0.30281593451545735	0.21191585580989167	0.07697443254849654	0	0	0	0	0
SimData1034	0.36162939764599195	0.1387435147142579	0.24712204974660856	0.17140297924954098	0.08110205864360065	0	0	0	0	0
SimData1035	0.4647860364799654	0.11671660333629484	0.1776453576810908	0.1386584580159999	0.10219354448664894	0	0	0	0	0
SimData1036	0.6693698630974007	0.10784555391848638	0.04845916635622315	0.07575063978219296	0.0896360473710324	3.763337234915e-5	5.2102034916027e-4	0.00529598382066814	0.00293778526579793	1.4630666668913e-4
SimData1037	0.9962321412531808	0.0010577096904914	0	0	2.813038854131e-4	1.743678765853e-5	5.7556090260069e-4	9.9506740949442e-4	7.7800881378115e-4	6.277125737986e-5
SimData1038	0.02642644602104593	0.04385841718916599	0.48581010786411927	0.31715583257402336	0.12674919635164544	0	0	0	0	0
