Gene	cancer	CD4	CD8	Mono	M0	M1	M2	B	Neu	NK
AHSP	0	0	0.590199385090934	0	0	0	0	0	0	0
ALAS2	0.082238561882266	0	0	0	0	0	0	0	0	0
AQP9	1.60962104105694	0	0	814.399546570703	3.02105296981996	135.590536545847	12.9004001011895	0	598.736176230982	0.911413356033602
ARG1	0.150894780512399	0.361301176714788	0	0	0.167828205678165	0	0	0	38.6993715536801	0
AZU1	0.137666822375891	0.085583538519867	0	4.27152671484	9.29397716762223	1.56186253944266	5.45854105294962	0	8.10505332750993	0
CA1	0.073691664764752	0	0	0	0	0	0	0	0	0
CAMP	0.340018249463795	0	0	6.44095506481701	55.5931238157653	18.35494529493	1.91786577536068	0	135.59869171766	0
CEACAM3	0.249822831403981	0	0	2.35319429316767	0	0.100470927330584	5.66359028832709	0	336.764778679561	0
CEACAM4	0.436589502052908	0	0	5.37872981295467	0.167828205678165	1.69119896562495	0.233481095736122	0	125.324157315906	0
CEACAM8	0	0	0	0	0	0	0	0	0.395858792648819	0
CHTF8	0	4.08666903222627	6.83964898921387	2.50714772145714	5.9020020969419	4.09620463156627	5.53101702162108	3.78733885733921	4.44849831825527	3.72674467332217
CLC	0.049977933753673	2.1524123913441	0.821420679922754	5.01429544291428	0	0	0	0	16.9617320498519	0.455706678016801
CMTM2	0.469250046166704	0	0.983665641818223	26.221307838154	0.19205359063393	0	0.590112546264824	0	1793.0044916092	0.455706678016801
CRIP1	0.476805339351551	734.040294269894	1325.77297739532	1089.86512834994	167.288104531367	114.180080390977	245.634347382733	638.577317912383	7.11406819896379	1043.3259067581
CXCR1	0.207733420365596	0	2.27988299640462	3.31684725416823	2.35523740079015	0.933596473664761	4.31940027111825	0	2440.60692747517	95.3677853686081
CXCR2	0.412471114356441	0	0	0	0	0	0	0	258.153170602672	16.8919879037314
DEFA1	0.096390572069749	0	0	1.06788167871	0	0	0	0	239.339649367859	0
DEFA4	0	0	0	0	0	0	0	0	12.4344820623078	0
ELANE	0.102910140319283	0	0	1.45617684329337	0	0	0	0	6.21994697276588	0
FCAR	0.239659846104611	0	0	0	0	0	0	0	5.12893189384251	0
FCGR3B	1.67088262355971	0	1.13994149820231	4.74960855309508	0.384107181267861	13.0791638747109	0.147528136566206	0	943.390521998082	33.9461583058384
FFAR2	0.746103778618938	0	0	91.5735785302245	0.764985661741351	6.65013995122401	0.442584409698618	0	871.505100207907	0
FOLR3	0.193030299145994	0	0	56.476663036024	13.170274153813	2.32611335017357	4.40501466869885	0	113.390019595893	0
FPR2	0.397007807488292	0	0	200.885211181753	3.48254421853167	96.2798101320889	1.75110821802091	0	1491.82880324209	0
FUT7	0.3125758123995	1.63570517813804	22.0341103767282	32.6139787312529	6.55054848848502	15.5418714182452	0.33521315282552	1.36039768959126	121.194360723394	62.1611531129437
GATA1	0.081115785709133	0	0	0	0	0	0	0	0	0
GLT1D1	0.308549416188157	0	0	1.77980279785	0	0	0	0	15.9064945321219	0
GP9	0	0.330175573319502	0	14.3675713081014	0	0	0	0	0	0.911413356033602
GYPB	0	0	0	0	0	0	0	0	0	0
HBD	0.072407914216696	0	0	0	0.719763592624191	0.618032558836569	0	0	0	0
HBM	0	0	0	0	0	0	0	0	0	0
HBQ1	0	0	0	0	0	0	0	0	0	12.132193000594
HRH2	0.482589893844285	4.46306374709765	0.821420679922754	54.0480142395514	4.18966328520839	10.7247083507878	9.29427260367097	0	165.166720033007	0
IL18RAP	0.594059174825235	2.04610061511667	91.9991161513484	1.94156912439116	0	0	0	0	498.040648843027	708.13411831841
MEFV	0.375217773273588	0	0	16.01822518065	0	0	0.147528136566206	0	68.3027630598721	0
MGAM	0.198522329767101	0	0	0.711921119139999	0	0.146117568533523	0	0	317.494579564782	14.7659322045389
MIA2	0.067879356398259	12.5141225774286	14.5582514989097	6.35941680850391	4.19612068679713	2.97770819371261	6.88769232421559	18.6188942348237	20.6043695318914	12.1727386251879
MMP25	1.60858857612565	0	0.821420679922754	10.9130732886672	0.19205359063393	0.890471878588197	0	0	935.03455357583	0.496252302610684
MMP8	0.060960951932212	0	0	0	0.527710001990261	4.28089788079071	5.16348477981721	0	0.97541787235284	0
MPO	0.122466083654955	0.495498921585415	0	19.57783077635	2.854828985541	2.01831694044613	3.85243807964601	0	4.69435716957505	0
MS4A3	0	0	0	0.316640570206339	0.167828205678165	0	0	0	3.22590049664227	0
NFE2	0.643914483166088	0	0	0.626786930364285	0	0	0.465364058374802	0	15.7042251595215	0
NLRP12	0.153441791370294	0	0	16.37418574022	2.81123139581901	0.464311492876513	0.314643904907061	0	30.4637065006108	0
PADI4	0.121261140109365	3.22567923807848	0.821420679922754	296.844016030697	0	0	1.18022509252965	1.33319645849693	707.643550731658	1.90391796125497
PF4	0.142224993929519	6.31168008133624	2.46426203976826	126.022946942123	0.188824889839559	0	0	2.04059653438689	0.142443608711965	3.23049237071149
PGLYRP1	0.061113152821698	0	0	0.313393465182143	0	0	0	0	244.703892138101	0
PHOSPHO1	0.368210650818244	0	0.821420679922754	0.949921710619017	3.33408821761973	1.16431405813617	71.7824060043132	0	214.155246468268	0
PPBP	0.225594410508816	24.8473174360299	4.10710339961377	426.514848067938	0.19205359063393	0.618032558836569	0.817183835076425	4.53465896530419	0.454965040295957	11.4332125750139
PROK2	0.108380407812871	0.170254201516882	12.5393564802254	19.9483559229993	0	0	0	0	487.24437663823	0.496252302610684
PRTN3	0.044387829130555	0	0	0	0	0	0	0	0	0
RETN	0.494682464406999	0	0	1.09915846072907	0	0	0.16760657641276	0	0	0
RNASE2	1.64016467873978	0	0	146.668141705243	0	1.33296541688833	1.51762712228479	0	4.30680816475703	0
RNASE3	0.086099120943973	0	0	2.84768447656	0	0.146117568533523	0	0	3.20899330856449	0
S100A12	1.21407594943458	0	0	2994.15323187114	0.57293207110742	39.7384722124775	0.737640682831029	4.38091629054675	2168.38343524107	1.40766565864429
SDHD	0.211984944216322	3.73177517165411	1.13994149820231	1.37527812977707	2.66277539490707	2.58468551917732	1.51762712228479	2.66639291699386	1.30191748986154	1.48875690783205
SIGLEC5	0.510387187433203	0	0	10.32285622753	3.80212598618417	7.88339298371426	16.2578379120377	2.81311593794001	28.2527386659695	0
SMIM3	0.061053238616326	13.7868496070414	26.2186544586532	71.4105887621017	207.067164298151	234.406423470791	50.8410233774471	0.344303532485383	29.1104941463827	31.5865336665666
SNURF	0.090174889954248	56.0267434168273	13.1427308787641	2.21648399144437	6.29579538059288	3.12385869891749	11.2121383790316	19.7257664990732	0	5.71175388376491
TREML2	0.113826250078934	8.71593710020156	1.13994149820231	14.0020762278631	1.83468580948181	0.355573151579761	4.86842850668479	55.3228393767111	308.260681619142	3.35212924449314
TUBB1	0.090290246092583	3.46958239044518	0.821420679922754	73.1725489571067	0	0	0	1.13366474132605	0.2958509502876	1.86337233666109
VNN3	0.333835090364498	0.267258666930822	0.821420679922754	16.2424084243212	0.602711645345901	0.874045014044284	0.16760657641276	0.688607064970765	841.337091635904	0.496252302610684
ZDHHC19	0.202296555936385	0	0	0	0	0.43835270560057	0	1.98572889736942	0.810368020965241	0
A2M	240.945532191231	0.496216916987169	13.6792979784277	0.633281140412678	1005.11425703348	653.891812905231	1090.44838614142	0	0	5.63066263457714
ABCB1	2.88183169585822	6.33054222947164	42.7138753559832	0.078511318623505	0.671312822712661	0.146117568533523	0	15.2239215464989	0	36.0528043900628
ABCB4	0.936356547030106	0	0	0.336170613309667	9.21013569858964	8.44442844848356	7.22887869174409	89.1923229735099	0	0.951958980627485
ABCC3	28.6251300848399	0	0	21.5631973909091	37.9506823702194	34.5907045507508	92.840129645773	0	0	0.455706678016801
ABCC6	4.15643124594897	0	0	16.8024914734357	11.506927006365	6.24253744514303	4.86842850668479	0	2.21002716330847	0
ABCD2	0.145645443588261	117.323237182781	116.07254573455	0.35596055957	0.554260875434371	0	0	0.680198844795629	0	7.8183999679893
ABHD15	9.67563269567097	23.7443287655812	94.0384353578222	24.204284158296	49.915500956604	47.454127870993	76.8621591509933	53.7801576370885	0.142924351216106	163.281237989911
ABLIM1	37.6024093997894	191.084618569827	68.3964898921388	0.672341226619334	0.19205359063393	0.552590100318212	0.737640682831029	58.4971006524241	1.0193630630155	64.5710281842935
ACCS	13.0458628773693	66.7334318734755	37.7853512764467	37.37585875485	27.7990968580397	11.8726231442379	12.448488561526	93.8674405817968	0	19.332703792191
ACER1	0.048086751080121	5.28313781348248	2.27988299640462	0	0	0	0	0	0	0
ACKR3	25.5809830611076	11.6184873610362	13.6792979784277	7.2810796384888	0.21860446407804	0.823701586990569	0	1.72151766242691	0	23.7584288910932
ACOT11	5.49289500096066	0.549297954998605	0	3.20364503613	7.92998261427395	6.50612301013522	0.349023043781102	0	0	0.992504605221368
ACOT2	27.4724110124973	27.0032662646475	36.9639305965239	9.52141183494689	222.383267594543	220.992917509491	192.972125625904	37.329500837914	0	68.0447943025682
ACOT4	2.54085635085657	2.46106042970956	9.85704815907304	0	41.7871155633697	31.4690917178804	86.9717081617053	0	0	23.3935182697483
ACOX2	10.1733745770948	0	0	2.80041524557261	48.2950873716759	18.5262386272142	74.947431731295	0	0	0
