Genes	B	cancer	CD4	CD8	M0	M1	M2	Mono	Neu	NK
A2ML1	0	0.22999055476410793	0	0	0	0	0	0	0	0
AAAS	0	50.227861153728036	0	0	0.16782820567816525	0.29682395952939905	0.2950562731324118	0	0	0
AAMP	31.331621456169813	126.13601271255253	32.46697089346178	102.6775849903442	67.97347391952965	98.83199627863814	73.9413176531592	67.90646388855272	9.795858889356104	111.84461221891664
AAR2	7.9189812471638	34.65259141521556	6.63253978611222	10.426855803273167	6.8667398681222265	9.516721994790181	4.188276525373219	3.6978767464063362	0	12.99335592454964
ABCA2	11.336647413260476	32.87254783204082	23.42299167131233	152.0747082250973	10.257889366429254	3.3161715817775534	4.405014668698847	9.521411834946887	37.94326289836846	146.8026847449446
ABCA7	65.58982293846539	13.10247281411235	58.38176575833168	70.67637288854337	11.674755212043117	4.922566615713695	5.75359732608203	40.22354323140996	129.80067210898213	62.04922104664616
ABCB6	3.4009942239781434	37.524518185727004	4.611150186950219	1.1399414982023124	5.18194796909174	8.96923869379361	8.376553050746438	1.5832028510316942	1.6886013368150725	1.4887569078320522
ABCC1	15.333207016913622	24.60230362675599	17.253866534085965	13.142730878764054	13.355829956565337	9.405956418173878	8.851688193972356	7.831132310539993	3.5664771828364614	3.311583619899256
ABCC8	0	0.5003055694788887	0	0	0	0	0	0	0	0
ABCF1	60.2375989950178	54.53955401011042	44.72835854179429	75.23613888135262	32.076181152675865	40.69437474173377	21.686636075232265	57.14900426264339	18.955425836021455	93.54495865654093
ABCF3	70.6588532647286	59.06871241479746	78.57301877803448	98.57048159073045	72.5528673305587	77.63920942495878	49.49799229605777	48.054675541949955	43.11566146047697	86.51633517080357
ABHD13	118.44041517497162	6.353652753364787	82.89722214752288	80.93584637236418	65.36012739914186	53.82126036311005	48.24170065714932	88.63417933292992	87.50021936577863	97.50527226994231
ABHD16A	13.569147465357718	61.18607507059843	11.185122542449157	17.249834278377826	12.585133359597016	10.472991215519205	8.72557609452754	14.966262000515163	48.378915108171256	13.539858659238295
ABHD4	7.666603508456811	34.538614498640854	3.0986554760390597	5.749944759459275	7.067037026960991	2.6257689945616525	5.458541052949618	2.0170236798580015	37.46060683453162	12.41601237275119
ABR	59.73666288621389	47.38487586771081	17.70020500097948	35.32108923667841	47.258424641845885	43.65028839710672	37.81082974295268	82.73587480808565	70.39769448274664	42.30135620103226
ABT1	93.09447117411842	22.93366824989412	124.54307669387492	147.0524532680983	56.32883873112051	62.59763099312888	50.782138322606436	54.77881864569662	29.300121961924518	154.2173548616526
ABTB2	1.323819264912948	4.698352444176349	0.7280416853599685	0.8214206799227536	1.7751835966047134	6.49800535241031	4.3046175399669195	4.074115047367855	3.9197555321781063	2.8153313172885723
ACAA1	65.07235615211512	73.1911825391922	40.29791121246738	47.642399435519714	35.697475011740394	36.28065325904285	38.625216845108575	70.61084715601356	67.20592252885072	42.6759716298613
ACACB	26.66392916993855	5.65441558254092	38.60013116753631	29.70670238291034	7.530796828561181	3.5756539817398467	6.292878098141209	12.222345142103565	3.4920979037375766	6.208006186375595
ACAD11	47.3265387206379	11.44309397468008	60.04888917379293	15.606992918532317	9.461805373300397	8.118631026714034	4.090370763791786	16.802491473435683	0.5572716211267073	14.238839084818395
ACAD8	6.619096324564741	22.18546512576386	15.988608943611556	27.928303117373616	18.255320583081634	16.63663099665164	13.743739265846324	18.153213118722014	9.442123064081226	27.48517356441542
ACAD9	61.458180548640804	37.09075146238787	47.96903733058433	73.5781900080031	33.3491525285271	22.310045753951158	28.632595346542505	21.843238915466387	4.666122606682039	53.30970291513917
ACADSB	29.12402382808486	12.562572108019232	69.93164015910273	60.41689940472256	55.77468047232607	32.88861270336311	47.74688407803686	20.264996493205683	5.604913672820555	52.69181373874683
ACADVL	185.31430773107297	393.7502062515027	126.82428985194959	174.4110492249538	128.66696452472388	116.14590664762645	278.75307096650647	206.74492718544514	106.1206622743857	222.03828503162572
ACAP2	164.92139206049828	14.316787190107313	84.56600358536664	90.3562747915029	86.50784557939774	73.0143468051904	58.2091224078062	176.1271274323642	390.4010957450687	98.76046023769516
ACAP3	14.665161043466203	25.818293323598784	9.969247124694853	12.59092021527326	6.087598285987093	6.7647958624997875	3.146439049070605	10.516832757118763	5.700928653348685	5.296592830341993
ACAT2	37.18420351549437	25.19309446515607	88.81587595629145	85.49561236517343	1621.1952010929772	891.9941521534224	3117.4170537804966	45.95046927725736	10.548600290783146	111.55108803927538
ACD	28.95854641997074	23.77560112909635	10.466946547740413	25.18184043054652	2.662920662520057	2.9104829409468476	3.7757268588847257	6.067403513722363	5.790668988870491	33.31856432196198
ACIN1	288.04524610344873	105.0475226528163	264.4744375144901	153.60566714555492	76.48774768396342	83.43643844740524	118.31881184179345	97.402051073623	161.34816470731295	117.00986336799292
ACOT13	2.5822764936403697	27.613097451808983	20.43600461031408	14.785572238609564	295.95217601595266	254.43615585093988	408.4572267178961	7.561121163046057	11.74664050134755	18.5834729345329
ACP1	17.231704068155924	119.77154366461468	25.666330904654394	12.787653343636903	9.251983799299444	6.3223375012780405	6.537470680611404	3.483046272269727	0.36281878257952405	7.078873917815314
ACP2	6.71391888346496	44.86746834782892	7.867843973812299	12.000720830182324	32.80027863784183	31.247656481431058	9.455984377312923	6.051071039574005	2.799501715161116	10.84616421573137
ACRBP	3.2708835586111347	2.657311151886209	2.7796191917056703	2.7542637970910255	2.477324473474869	1.0163760276855691	0.8171838350764254	8.543053429679992	4.202357021223012	4.638158029355776
ACSBG2	0	0.12904891110243968	0	0	0	0	0.1475281365662059	0	0	0
ACSL3	98.57061653730186	58.04841980887785	49.4725714267675	57.49944759459275	78.65207010089999	69.8027625981587	42.348129312106984	44.139109386679955	57.57914420741068	36.53935188518938
ACSS1	9.522783827138802	25.688921958902345	15.163386180820709	25.46404107760536	3.545534271015851	2.345942104160338	1.8878634294423629	4.7009019777321415	1.1606190028444687	19.950592968583305
ACTB	718.516713052449	4503.045971721173	1042.4856649325284	2388.691337215367	4017.2589665783157	4756.135791468652	3805.004497722478	1905.8128359377781	2279.928042270242	4891.061288810548
ACTG1	84.57138970292316	3306.618175153775	403.1238584863126	545.4233314687084	1364.0106867727836	1771.931709635854	942.1295361797868	842.3649058682422	336.77686063941036	986.5178489257432
ACTN4	22.99981052537043	348.9678651466702	17.88387938781834	28.749723797296376	10.480180374853166	18.237577981832118	58.863726489916154	54.14553750528395	131.93781645918187	52.429130376215355
ACTR3	452.0705381533074	155.77746665234656	531.9192324305866	275.9973484540452	1390.3299752438772	2261.4915500433353	1457.855961776343	635.8753408545675	881.9853543532304	304.1483047184952
ACTR3B	9.332375209478492	8.47471904890268	9.521555814893027	6.571365439382029	4.342827198696876	5.080109413644376	6.864119861028331	5.495792303645351	2.8571402056111195	17.094716026700848
ACTR5	30.29871085871367	8.882097385976845	48.00347880191006	58.42973912400247	14.346821082572298	23.452072336287586	14.916985300735643	23.523488062809953	0.9810671736124204	54.97034712883084
