Samples	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD8	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__Monocytes	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD4	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NKT_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__B_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NK_cells
TCGA-OR-A5JJ-01A	0.0115689230428172	0.02981256116881342	0	0.29184311884168673	0.6667753969466825	0
TCGA-OR-A5LT-01A	0.13337623849932367	0.03791465728851552	0	0	0.7752321503962071	0.05347695381595382
TCGA-OR-A5LH-01A	0.14788596542035537	0.15223077696691886	0	0.04672973465261064	0.6531535229601152	0
TCGA-OR-A5K0-01A	0	0.02712853529319625	0	0.02753391319017751	0.9453375515166262	0
TCGA-OR-A5K9-01A	0	0.06288858165832514	0	0.2899427139054293	0.6471687044362455	0
TCGA-OR-A5LD-01A	0	0.03481281130096108	0	0.1751000520420555	0.7900871366569832	0
TCGA-OR-A5JK-01A	0.5421484397838867	0	0	0	0.45785156021611345	0
TCGA-OR-A5K4-01A	0	0.03734460471702642	0	0.36351522438386424	0.5991401708991092	0
TCGA-P6-A5OF-01A	0	0.15602728687739084	0	0.3220538900585004	0.52191882306410875	0
TCGA-OR-A5JV-01A	0.1272020895858033	0.04035298415842855	0	0.03236158029702557	0.8000833459587425	0
TCGA-OR-A5J5-01A	0	0.05703497598478533	0	0.2639901256235609	0.6789748983916538	0
TCGA-PK-A5H8-01A	0	0.08356311703597545	0	0.1225181024656036	0.7939187804984209	0
TCGA-OR-A5JG-01A	0.13457215535190345	0.07056446166767535	0	0.131990957820571	0.6628724251598502	0
TCGA-OR-A5LA-01A	0.30756301377424217	0.03181228254626482	0	0	0.6201709782627522	0.0404537254167407
TCGA-OR-A5JY-01A	0.08278717895364648	0.11646867785147456	0	0	0.7701070715760275	0.03063707161885137
TCGA-OR-A5LM-01A	0	0.12263935673597504	0	0.25457907611996133	0.6227815671440636	0
TCGA-OR-A5LP-01A	0.35792783812819623	0.01670882289673963	0	0	0.5859383000132611	0.039425038961803
TCGA-OR-A5JW-01A	0	0.04627451700959993	0	0.28811372027322024	0.6656117627171798	0
TCGA-OR-A5J7-01A	0	0.04061489054839953	0	0.19144652021058323	0.7679385892410173	0
TCGA-PK-A5H9-01A	0.06742470651988089	0.06095907776788888	0	0.0294641052776081	0.8421521104346221	0
TCGA-OR-A5JI-01A	0.23669709461185348	0.011349136802818	0	0.07132401824215444	0.6806297503431741	0
TCGA-OR-A5L6-01A	0	0.05370753864510756	0	0.23413118254123605	0.7121612788136564	0
TCGA-OR-A5KZ-01A	0.3742349798353508	0.03616220309811029	0	0.08965410483364109	0.4999487122328978	0
TCGA-OR-A5KT-01A	0.05359442187444626	0.546871101370208	0	0.01422273579918823	0.38531174095615744	0
TCGA-OR-A5JB-01A	0.2424576317146969	0.6113758569422977	0	0.07561245440973342	0.06599841545594393	0.00455564147732822
TCGA-OR-A5LR-01A	0.22925455445733567	0.04236217084799344	0	0	0.5725677058842391	0.15581556881043176
TCGA-OR-A5JL-01A	0	0.0991225804457067	0	0.28590151661293356	0.6149759029413597	0
TCGA-OR-A5K2-01A	0	0.10744091941614528	0	0	0.8925590805838547	0
TCGA-OR-A5JM-01A	0	0	0	0.44342337720805863	0.5565766227919413	0
TCGA-OR-A5L8-01A	0	0.04904055999080251	0	0.2616146709812924	0.6893447690279051	0
TCGA-OR-A5L3-01A	0	0.09834351604132996	0	0.1246994900717619	0.7769569938869082	0
TCGA-OR-A5JQ-01A	0.33051741410519614	0	0	0	0.6694825858948038	0
TCGA-OR-A5KO-01A	0	0	0	0.47207100369764526	0.5279289963023546	0
TCGA-OU-A5PI-01A	0.2301221680172866	0.03732810438392403	0	0.13336032155912594	0.5991894060396634	0
TCGA-OR-A5J9-01A	0	0.09032130485655268	0	0.3110728722491603	0.5986058228942871	0
TCGA-OR-A5LL-01A	0.17440588225126052	0.05424533053462943	0	0.08229371177423167	0.6890550754398784	0
TCGA-OR-A5LN-01A	0.3396992943476803	0	0	0.07889760245330624	0.5814031031990134	0
TCGA-PK-A5HA-01A	0.2766443004780728	0.07761732410593787	0	0	0.6404896332584094	0.00524874215757991
TCGA-OR-A5LG-01A	0.0996121499244484	0.1903479358008756	0	0	0.710039914274676	0
TCGA-OR-A5L4-01A	0	0.09899355893725974	0	0.28549184596561167	0.6155145950971286	0
TCGA-OR-A5L9-01A	0.3686358872543391	0	0	0.17444347437449312	0.45692063837116786	0
TCGA-OR-A5JP-01A	0	0.05253605681095145	0	0.23484931502561895	0.7126146281634297	0
TCGA-OR-A5L5-01A	0.24374046810782465	0.00965941060467296	0	0.02463988351726062	0.7219602377702419	0
