Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
TCGA-OR-A5JJ-01A	0.28891576215979675	0.28877424528496154	0.01092198922626938	0	0.02884536828920563	0.06464079623208892	0.14864904792903522	0.06856580916998885	0.10068698170865384	0	0
TCGA-OR-A5LT-01A	0.23833210902640103	0.24455489895301924	0.03167440479051087	0	0	0.08042271859959499	0.1690012262468753	0.16335710029796716	0.0726575420856313	0	0
TCGA-OR-A5LH-01A	0.37531329154611054	0.0683150945730489	0.05696146988912374	0	0.00563658769342521	0.06769467787442285	0.20330058154576283	0.13661000091227146	0.08392328230058439	0.00224501366525014	0
TCGA-OR-A5K0-01A	0.29816348383207114	0.31405432139865824	0.05241064339469179	0	0	0.07795787661805749	0.08197351056324906	0.12028694813567184	0.05515321605760062	0	0
TCGA-OR-A5K9-01A	0.14015040453337282	0.2611645143606391	0.01499295321942402	0	0.03033946916673099	0.10112107166342252	0.14783666232738232	0.23273677456469513	0.07165815016433301	0	0
TCGA-OR-A5LD-01A	0.3150746364310808	0.31416985475847137	0.00257145285911699	0	0.02743166286563993	0.06022451636521323	0.14475530331985703	0.01629690330743528	0.11947567009318548	0	0
TCGA-OR-A5JK-01A	0.2760774066869425	0.18105405084599743	0.01918386039091977	0	0.0093391611445921	0.08003118790758616	0.18815252993108855	0.13460933401530414	0.0970814842705338	0.01447098480703548	0
TCGA-OR-A5K4-01A	0.2468388995256048	0.2894826749690762	0	0	0.06654965749984532	0.05122472720039525	0.20787324559146675	0.03743510744925869	0.10059568776435296	0	0
TCGA-P6-A5OF-01A	0.20502163219314817	0.14888120612860378	0.00854354947692116	0	0.05169128326378292	0.10755344131918532	0.18325818491927276	0.19640329962606023	0.09467548650589724	0.00397191656712844	0
TCGA-OR-A5JV-01A	0.28886086254639226	0.2160176247455382	0.02212479315949461	0	0	0.04486052204734642	0.19547199779117583	0.1302906816192066	0.102373518090846	0	0
TCGA-OR-A5J5-01A	0.29287741494641834	0.297610561375951	0.01516378928127421	0	0.0226099863585838	0.04116225688371277	0.18334094001054613	0.03910731831881435	0.1053085534177243	0.00281917940697506	0
TCGA-PK-A5H8-01A	0.2655764388666134	0.30253391759549897	0.03434897843157626	0	0.00720494959386815	0.06955600866861814	0.15187405685940267	0.05943041915039923	0.109475230834023	0	0
TCGA-OR-A5JG-01A	0.29551410106447995	0.2870637091139416	0.00586166748293621	0	0.02302351515930581	0.05775281038668923	0.13625427015067654	0.0755980135413966	0.11893191310057402	0	0
TCGA-OR-A5LA-01A	0.2964929234093309	0.19686479213136324	0.01555572031878833	0	0	0.01731544107770614	0.24425064359083817	0.12382111922557527	0.105699360246398	0	0
TCGA-OR-A5JY-01A	0.2164012777099872	0.14881276750925007	0.00958346228236843	0	0.02387407933539068	0.1181954505261672	0.20237920922292427	0.17760866871592798	0.07602367124021922	0.02712141345776494	0
TCGA-OR-A5LM-01A	0.2649489107006397	0.19801987088896503	0.1030235856628458	0	0	0.06179408952423081	0.13263080814115752	0.15473729939656963	0.08007306921142375	0.00477236647416777	0
TCGA-OR-A5LP-01A	0.23336880164632923	0.24134481944580907	0.01604802005819208	0	0.0178136856103102	0.11058791339667988	0.15366079484607686	0.10911551043742489	0.1180604545591778	0	0
TCGA-OR-A5JW-01A	0.22767772324381325	0.13068739782818695	0.07255674385863752	0	0	0.06947161649127204	0.2232365414138572	0.19984788894342764	0.07652208822080535	0	0
TCGA-OR-A5J7-01A	0.2189531299658138	0.27703360452979003	0	0	0.07475864835411546	0.06536089870914003	0.08220018794522246	0.228098470702288	0.05359505979363003	0	0
TCGA-PK-A5H9-01A	0.3221127400327001	0.1514412866857544	0.02083917301023061	0	0	0.07730557139363012	0.1861852354530543	0.15438936895256947	0.08772662447206099	0	0
TCGA-OR-A5JI-01A	0.22505441829819223	0.2690817551919257	0.02845577261471206	0	0	0.04998045677768748	0.165723158542459	0.17215603178796418	0.08015299559585243	0	0.00939541119120709
TCGA-OR-A5L6-01A	0.3093831669217394	0.27249401292316333	0.0060354553644848	0	0.00971730897929458	0.03479198800130428	0.19673168730776897	0.06764981462059831	0.10319656588164657	0	0
TCGA-OR-A5KZ-01A	0.234731111362613	0.3325030023314829	0.01182408919215992	0	0.02106047744023446	0.07247857167547934	0.16533441288009532	0.06206391730174382	0.10000441781619136	0	0
TCGA-OR-A5KT-01A	0.20854861810928405	0.2122570529220457	0.00497309394484094	0	0.0315156098719335	0.06271498767755815	0.1906052368265709	0.18614528411761777	0.08183697618673641	0.0214031403434126	0
TCGA-OR-A5JB-01A	0.18956977129850536	0.16845169159419257	0.00388210184739644	0	0.02280384584174306	0.11002968114717926	0.22549106417701423	0.12465858257517688	0.13143309335834868	0.02368016816044338	0
TCGA-OR-A5LR-01A	0.3316537956994064	0.20704545502217417	0.02150234937347671	0	0.00550923399609188	0.05660284637564143	0.2218934070049804	0.03468150095853011	0.0910280800609128	0.03008333150878615	0
TCGA-OR-A5JL-01A	0.24906779738691007	0.10354416637977731	0.09164377361345066	0	0	0.10519612649718338	0.2120570477908086	0.1723300259721474	0.06439811650307763	0.00176294585664489	0
TCGA-OR-A5K2-01A	0.2708962986421258	0.24714550662621512	0.01059857365929241	0	0.02252591693559694	0.05745661780107542	0.12259514515282004	0.18719313416903857	0.07946843991358003	0.00212036710025589	0
