Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
TCGA-PK-A5HB-01A	0	0.06291655254999376	0.7902531404715374	0	0	0.12014988507248944	0.02668042190597936	0
TCGA-OR-A5LB-01A	0.00756489687228043	0.11933022503617034	0.7099960922734867	0	0	0.1276615700357223	0.0354472157823402	0
TCGA-OR-A5JC-01A	0	0.14072624742697468	0.5082772880815889	0.00609308235858089	0	0.34490338213285565	0	0
TCGA-OR-A5KY-01A	0.02408399215338492	0.0496216142668081	0.607312146946706	0	0	0.318982246633101	0	0
TCGA-OR-A5K5-01A	0.27386598883551905	0.01737997830940415	0.4781071200770235	0	0.01044119276881005	0.12249174018202844	0.0977139798272148	0
TCGA-OR-A5JS-01A	0.5796741087757022	0.01634223991360021	0.37151097848538545	0	0	0.03247267282531202	0	0
TCGA-OR-A5LJ-01A	0.2154764373587918	0.00506433204892694	0.48289641519721455	0.08741442347848281	0	0.20914839191658385	0	0
TCGA-OR-A5JD-01A	0.1091635452923083	0.0728184039650741	0.2176078592132273	0.03032285476448936	0.0038171017542407	0.5662702350106602	0	0
TCGA-OR-A5JX-01A	0.18117587596524695	0.18145541356457415	0.4555905018542179	0	0.00169008057459703	0.18008812804136398	0	0
TCGA-OR-A5JF-01A	0.28441612196344146	0.12619601940549138	0.4814739700635223	0	0	0.10791388856754464	0	0
TCGA-OR-A5JA-01A	0.14168688351048497	0	0.7168435893233578	0	0	0.14146952716615743	0	0
TCGA-OR-A5JR-01A	0	0.07476563813813479	0.4885221491485716	0.02452876336829513	0	0.4121834493449984	0	0
TCGA-OR-A5KV-01A	0.1825276433526686	0.00700458592272236	0.6795732406171086	0	0	0.07989714260763252	0.05099738749986806	0
TCGA-OR-A5J1-01A	0.13290605090248375	0.04867244952824001	0.26010460698671717	0	0	0.558316892582559	0	0
TCGA-P6-A5OG-01A	0	0.06277395268685668	0.7674681117586775	0.02172898425199445	0.01939399870338623	0.12721019363145855	0.00142475896762656	0
TCGA-OR-A5K3-01A	0.14011550817755847	0.01398968581907118	0.2464397461030789	0.05353352797055783	0	0.5459215319297337	0	0
