Mixture	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells	P-value	Correlation	RMSE
TCGA-OR-A5JJ-01A	0.30280579928880358	0.03188629924912823	0.50131444143058002	0.02971211250311159	0.00000000000000000	0.13428134752837648	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.22233255853048201	1.01085696476316422
TCGA-OR-A5LT-01A	0.11303862676858957	0.00000000000000000	0.65408135188791550	0.02634257325842376	0.00000000000000000	0.20653744808507124	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.25797743390333794	1.03091713845262878
TCGA-OR-A5LH-01A	0.02493861092201305	0.11757089291074536	0.31187134853397175	0.06825115309398472	0.00000000000000000	0.47736799453928508	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.26777408109721579	1.18447240147373600
TCGA-OR-A5K0-01A	0.42336509148028351	0.00000000000000000	0.31482002402421838	0.00000000000000000	0.00000000000000000	0.26181488449549828	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.49924219619687937	0.87311379579698001
TCGA-OR-A5K9-01A	0.20351291570318519	0.04935731231013334	0.62213626269715028	0.00000000000000000	0.00000000000000000	0.08903607485709994	0.03595743443243125	0.00000000000000000	0.00000000000000000	0.17556325773473713	1.03751721683360354
TCGA-OR-A5LD-01A	0.00000000000000000	0.00000000000000000	0.85663040667659107	0.03820783370730400	0.00000000000000000	0.10516175961610483	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05919970447167555	1.15218049128402988
TCGA-OR-A5JK-01A	0.00489506385219250	0.06165310173879467	0.25917542376174446	0.18039224545976759	0.00000000000000000	0.45955391067960311	0.00000000000000000	0.03433025450789767	0.00000000000000000	0.40658462692731562	1.06396192469669781
TCGA-OR-A5K4-01A	0.55930763804615391	0.02616608130010504	0.29818597842421657	0.00885468108781012	0.00000000000000000	0.10748562114171421	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.13667390242225397	1.03815970033476535
TCGA-P6-A5OF-01A	0.02677146392016650	0.10075185146212925	0.73719853697622695	0.00000000000000000	0.00000000000000000	0.13527814764147733	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.32629596415375972	0.98388322797858552
TCGA-OR-A5JV-01A	0.00000000000000000	0.00000000000000000	0.16812790248655446	0.00000000000000000	0.00000000000000000	0.81891743711159748	0.01295466040184811	0.00000000000000000	0.00000000000000000	0.46990777473897277	1.40264203027261325
TCGA-OR-A5J5-01A	0.11071936756832278	0.00000000000000000	0.62447356290479772	0.00505041613071298	0.00000000000000000	0.25975665339616644	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.44708148453425817	0.92232866195340635
TCGA-PK-A5H8-01A	0.03750237061293642	0.08801384085561711	0.30105972647811818	0.00000000000000000	0.00000000000000000	0.57342406205332830	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03435450679148952	1.47506737896563678
