Mixture	B	CD4	CD8CD226negNoAct	CD8CD226negPostAct	CD8CD226plusNoAct	CD8CD226plusPostAct	M1	M2	Mono	Neu	NK	P-value	Correlation	RMSE
453W	0.12497231959734853	0.00000000000000000	0.08334170798446563	0.00251617990168536	0.00000000000000000	0.05727039783398673	0.13116978579541280	0.22904253797764648	0.16823685225385557	0.14414877838045309	0.05930144027514574	0.00000000000000000	0.35913380475815476	0.94836965034827470
684C	0.17259988589331710	0.00000000000000000	0.03548929034494181	0.00000000000000000	0.00000000000000000	0.06963718981807793	0.15253469133945166	0.21885987469169857	0.18398193962317641	0.12356701610820194	0.04333011218113455	0.00000000000000000	0.33556238110476100	0.97346513541556590
CR3L	0.18604358189864825	0.00000000000000000	0.08300446293121660	0.00000000000000000	0.00000000000000000	0.05364730649421956	0.16285496954471881	0.12718939515554556	0.19928546396453356	0.14870130034623022	0.03927351966488735	0.00000000000000000	0.34236880841561612	0.95290588822092293
FLWA	0.14790412774117845	0.11638152141736555	0.03838963681486871	0.00628762647891898	0.00000000000000000	0.03886258086519404	0.11425117230233556	0.19330786101338981	0.15462812731267866	0.13135466637347892	0.05863267968059142	0.00000000000000000	0.39657288817000225	0.96818737766752694
FY2H	0.13659048746283109	0.00000000000000000	0.02519751319683785	0.00000000000000000	0.00000000000000000	0.03583065204509544	0.16788077988574557	0.24157224026189514	0.18131071507748742	0.15403795894890629	0.05757965312120124	0.00000000000000000	0.19641529532422491	0.99682081145334223
CYFZ	0.19880685612816182	0.00000000000000000	0.01982539982599081	0.00000000000000000	0.01131220548422115	0.04939211215546122	0.12487815882950258	0.17111748569337054	0.19986915151207918	0.14570969390390409	0.07908893646730863	0.00000000000000000	0.36015030931817738	0.97701165607443874
925L	0.17367139403013460	0.11200492720706128	0.00000000000000000	0.01430065575874319	0.04593580961770027	0.04278416892144622	0.11086753431485132	0.15583601357270208	0.15518089371251176	0.12992512970174652	0.05949347316310280	0.00000000000000000	0.41159662190517327	0.95851217773006270
9JD4	0.22481470667059913	0.18660656870840728	0.00000000000000000	0.00000000000000000	0.05406677555889803	0.06724485034443980	0.08824632286190059	0.10953418691699150	0.12707646697966610	0.08111137549808289	0.06129874646101446	0.00000000000000000	0.50666570742289496	0.93421862883552387
G4YW	0.21180598647398161	0.14057213501149007	0.00000000000000000	0.00000000000000000	0.03848544712715107	0.05900212669644356	0.11376617454631036	0.16113450004761873	0.13179060647215871	0.08718676515579514	0.05625625846905089	0.00000000000000000	0.44716983684865358	0.95835900697026799
4DUY	0.20591146716845418	0.09923871631214412	0.00000000000000000	0.00000000000000000	0.03682789673196205	0.06832330136832514	0.12980675316338861	0.13959390752017931	0.14397102852415727	0.11640639284380790	0.05992053636758141	0.00000000000000000	0.43442448983160187	0.95956173701588210
CZJE	0.19970789618809093	0.00000000000000000	0.07233632562683605	0.00000000000000000	0.00000000000000000	0.04868868948548508	0.16049774453391866	0.13007228812954094	0.19284167708721783	0.12868428491873057	0.06717109403017993	0.00000000000000000	0.35059104013180198	0.95599149055849308
36TS	0.18611219657192146	0.00000000000000000	0.07882062618502968	0.00000000000000000	0.00000000000000000	0.06048302632779025	0.13536411478591484	0.14531669032185468	0.19631830225194252	0.14265546085951838	0.05492958269602817	0.00000000000000000	0.36509466357815873	0.94876943464398922
