Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
453W	0.12497231959734852	0	0.083341707984465635	0.00251617990168536	0	0.05727039783398673	0.1311697857954128	0.22904253797764648	0.16823685225385557	0.1441487783804531	0.05930144027514574
684C	0.1725998858933171	0	0.03548929034494181	0	0	0.06963718981807793	0.15253469133945166	0.21885987469169857	0.1839819396231764	0.12356701610820194	0.04333011218113455
CR3L	0.18604358189864825	0	0.0830044629312166	0	0	0.05364730649421956	0.1628549695447188	0.12718939515554556	0.19928546396453356	0.14870130034623022	0.03927351966488735
FLWA	0.14790412774117845	0.11638152141736556	0.03838963681486871	0.00628762647891898	0	0.03886258086519404	0.11425117230233556	0.1933078610133898	0.15462812731267866	0.13135466637347892	0.05863267968059142
FY2H	0.1365904874628311	0	0.02519751319683785	0	0	0.03583065204509544	0.16788077988574557	0.2415722402618951	0.18131071507748744	0.1540379589489063	0.05757965312120124
CYFZ	0.19880685612816185	0	0.01982539982599081	0	0.01131220548422115	0.04939211215546122	0.12487815882950258	0.17111748569337054	0.1998691515120792	0.1457096939039041	0.07908893646730863
925L	0.1736713940301346	0.11200492720706128	0	0.01430065575874319	0.04593580961770027	0.04278416892144622	0.11086753431485132	0.15583601357270208	0.15518089371251176	0.12992512970174652	0.0594934731631028
9JD4	0.2248147066705991	0.18660656870840728	0	0	0.05406677555889803	0.0672448503444398	0.0882463228619006	0.1095341869169915	0.1270764669796661	0.0811113754980829	0.06129874646101446
G4YW	0.2118059864739816	0.14057213501149007	0	0	0.03848544712715107	0.05900212669644356	0.11376617454631036	0.16113450004761873	0.13179060647215873	0.08718676515579514	0.05625625846905089
4DUY	0.20591146716845415	0.09923871631214412	0	0	0.03682789673196205	0.06832330136832514	0.1298067531633886	0.13959390752017933	0.14397102852415727	0.1164063928438079	0.05992053636758141
CZJE	0.19970789618809093	0	0.07233632562683605	0	0	0.04868868948548508	0.16049774453391866	0.13007228812954094	0.19284167708721783	0.12868428491873057	0.06717109403017993
36TS	0.18611219657192143	0	0.07882062618502968	0	0	0.06048302632779025	0.13536411478591484	0.14531669032185468	0.19631830225194252	0.14265546085951838	0.05492958269602817
