Samples	CBSX__CD226__B	CBSX__CD226__CD4	CBSX__CD226__CD8CD226negNoAct	CBSX__CD226__CD8CD226negPostAct	CBSX__CD226__CD8CD226plusNoAct	CBSX__CD226__CD8CD226plusPostAct	CBSX__CD226__M1	CBSX__CD226__M2	CBSX__CD226__Mono	CBSX__CD226__Neu	CBSX__CD226__NK
SimData1	0.1922672812616331	0.2991776340479159	0	0	0.02004862751943352	0.00857574540535825	0.10463574000594428	0.13095475575160112	0.1331723208039093	0.06546853838683715	0.04569935681736743
SimData10	0.21905335095902956	0.3355105196074729	0	0	0.02808608131013723	0.03204923843327358	0.1038148299371054	0.07884031809028312	0.12774467328307967	0.05379541037496745	0.02110557800465109
SimData100	0.2657668059291099	0.4005437580870048	0	0	0.024541543512773	0.04437509922410985	0.07846141459879977	0.03012471042027135	0.1059125078448991	0.01687012538298835	0.03340403500004404
SimData1000	0.24573177280802153	0.37375844301329314	0	0	0.02326167710974288	0.03883731434734336	0.09755381609782313	0.0492960492563974	0.11246131090097385	0.03305822181662999	0.02604139464977475
SimData1001	0.26550377347807563	0.4001445699332897	0	0	0.0229716100336077	0.04547638613758267	0.08117445011704226	0.02580612846409432	0.11364411902930836	0.01937564020125068	0.0259033226057486
SimData1002	0.2773523062622667	0.4209997481728669	0	0	0.01461929983852125	0.04645835733273122	0.07341048178357075	0.02229087562212435	0.10883490534944831	0.01492211302651922	0.0211119126119511
SimData1003	0.21638798263922537	0.502136944132233	0	0	0.02396601040577387	0.05450149738976856	0.08070693970634638	0.01653707666096547	0.08341453042771903	0	0.02234901863796817
SimData1004	0.23925000902649143	0.3527525089007281	0.00398866071482154	0	0.02948319660055483	0.01153379940385053	0.07322946641196648	0.09927714264306324	0.09790326625503368	0.04920100182744278	0.04338094821604739
SimData1005	0.23554197192435375	0.3563466113564828	0.0018566719290059	0	0.02865822159514249	0.01399677228732034	0.05863879794859997	0.11369187057893015	0.09827304114708751	0.04727961799507112	0.04571642323800587
SimData1006	0.2308853805820539	0.35080835267648713	8.5306725421577e-4	0	0.02724545890716462	0.01847913826955908	0.07338811670540869	0.12119335890917546	0.0955128288261302	0.03819592338525406	0.04343837448455115
