,coef,abs coef,% total,cum % total,coef OR
DeconRNASeq_CBSX_NSCLC_NK.cells,0.3465734360811162,0.3465734360811162,0.8275289856907959,0.8275289856907959,1.4142133443029978
DeconRNASeq_CBSX_NSCLC_Monocytes,-0.07223175633375409,0.07223175633375409,0.17247101430920417,1.0,0.9303152643702889
DeconRNASeq_CBSX_NSCLC_T.cells.CD8,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_NSCLC_T.cells.CD4,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_NSCLC_NKT.cells,0.0,0.0,0.0,1.0,1.0
DeconRNASeq_CBSX_NSCLC_B.cells,0.0,0.0,0.0,1.0,1.0
