Mixture	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells	P-value	Correlation	RMSE
453W	0.00000000000000000	0.20970836267233200	0.43259769260885467	0.26351928100933503	0.09417466370947834	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.56638982561385975	0.84985897315494452
684C	0.00699119188034890	0.19651132100424104	0.40413881974864291	0.28422789943129523	0.10813076793547198	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.43662248789921804	0.90279850462411249
CR3L	0.00000000000000000	0.09294168799557645	0.52036985292715765	0.32929306633934891	0.05739539273791689	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.63008482862023485	0.82265039190282363
FLWA	0.00009350226079626	0.15651168292044235	0.43012612144603779	0.30133055432303602	0.11193813904968761	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.55425504332197595	0.85448604847689114
FY2H	0.00000000000000000	0.18310271261363087	0.26301340066590417	0.42217422328292592	0.12728584733776338	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00442381609977557	0.00000000000000000	0.56321678699155731	0.84426779094403126
CYFZ	0.00000000000000000	0.30135147904174936	0.28187847496458862	0.32776243664129684	0.08900760935236514	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.54395917407196992	0.85546482286750070
925L	0.00100049571174167	0.17781644120529752	0.43683404215193639	0.27694122340388821	0.10740779752713621	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.38857304942355764	0.92179001485530410
9JD4	0.00260336862831520	0.19809183606124395	0.49345729134243260	0.22997338110830245	0.07587412285970581	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.42225866175958204	0.90898381437382691
G4YW	0.00128072937345963	0.13506629722906616	0.47176326765160104	0.26222658583842540	0.12966311990744786	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.43129376055904012	0.90539307131242730
4DUY	0.00119514438918655	0.11790050691245074	0.46276671624921273	0.27942627476421489	0.13871135768493517	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.44027628224371285	0.90167439502535085
CZJE	0.00008517437305414	0.13753644855086958	0.37974253981655964	0.32789333212384658	0.15474250513567014	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.62018182067806793	0.82389644328396516
36TS	0.00000000000000000	0.12028943184768681	0.34683325638514056	0.40357733006209873	0.12929998170507392	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.63656223485641483	0.81219735172807561
