Samples	CBSX__sigmatrix_HNSCC_Fig2cd__B_cells	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD8	CBSX__sigmatrix_HNSCC_Fig2cd__T_cells_CD4	CBSX__sigmatrix_HNSCC_Fig2cd__Macrophages	CBSX__sigmatrix_HNSCC_Fig2cd__Dendritic_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Mast_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Myocytes	CBSX__sigmatrix_HNSCC_Fig2cd__CAFs	CBSX__sigmatrix_HNSCC_Fig2cd__Endothelial_cells	CBSX__sigmatrix_HNSCC_Fig2cd__Malignant_cells
453W	0	0.209708362672332	0.43259769260885467	0.263519281009335	0.09417466370947834	0	0	0	0	0
684C	0.0069911918803489	0.19651132100424104	0.40413881974864285	0.28422789943129523	0.10813076793547198	0	0	0	0	0
CR3L	0	0.09294168799557644	0.52036985292715765	0.3292930663393489	0.05739539273791689	0	0	0	0	0
FLWA	9.350226079626e-5	0.15651168292044235	0.43012612144603773	0.301330554323036	0.1119381390496876	0	0	0	0	0
FY2H	0	0.18310271261363087	0.2630134006659042	0.4221742232829259	0.12728584733776338	0	0	0	0	0.00442381609977557
CYFZ	0	0.30135147904174936	0.2818784749645886	0.32776243664129684	0.08900760935236514	0	0	0	0	0
925L	0.00100049571174167	0.17781644120529752	0.4368340421519364	0.2769412234038882	0.1074077975271362	0	0	0	0	0
9JD4	0.0026033686283152	0.19809183606124395	0.49345729134243266	0.22997338110830243	0.07587412285970581	0	0	0	0	0
G4YW	0.00128072937345963	0.13506629722906616	0.47176326765160104	0.2622265858384254	0.12966311990744786	0	0	0	0	0
4DUY	0.00119514438918655	0.11790050691245074	0.46276671624921273	0.2794262747642149	0.13871135768493517	0	0	0	0	0
CZJE	8.517437305414e-5	0.13753644855086958	0.3797425398165597	0.3278933321238466	0.15474250513567014	0	0	0	0	0
36TS	0	0.1202894318476868	0.34683325638514056	0.4035773300620987	0.12929998170507392	0	0	0	0	0
