Mixture	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells	P-value	Correlation	RMSE
SimData1	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01604341269192819	0.11412361480386908	0.46272257531463495	0.19079904163994640	0.21631135554962139	0.00000000000000000	0.74965636378106304	0.77501405696241477
SimData10	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.14862384361261480	0.42425867766144409	0.17899379083564751	0.24812368789029368	0.00000000000000000	0.59733517715987983	0.95125638807888635
SimData100	0.01213856968305334	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.30898355752865769	0.17790415694039605	0.27036099837074778	0.23061271747714521	0.00000000000000000	0.22081711213371155	1.08816053985501648
SimData1000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.17391974447821171	0.22700717903748976	0.27358391403234400	0.32548916245195453	0.00000000000000000	0.43392534469720140	0.98455095041466645
SimData1001	0.01561278563564494	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18589363570339132	0.20508963133564725	0.24596135003426819	0.34744259729104832	0.00000000000000000	0.27949695655240941	1.09688348655510515
SimData1002	0.07185765719904305	0.00000000000000000	0.00546792698375881	0.00000000000000000	0.17727098427945764	0.18518460791083402	0.18655290159697441	0.37366592202993221	0.00000000000000000	0.13922502884375468	1.18263834171679516
SimData1003	0.50665590024140095	0.00449593859382089	0.47044278630393110	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01840537486084703	0.00000000000000000	0.05767674299859334	1.08358454353177325
SimData1004	0.00000000000000000	0.00000061090007062	0.00000516782767866	0.00000000000000000	0.16672365276108270	0.17430488470689431	0.36899661462446276	0.28996906917981086	0.00000000000000000	0.71723585400647072	0.69685356969200396
SimData1005	0.00000000000000000	0.00000000000000000	0.00000230407407586	0.00000000000000000	0.15917839095471215	0.17177897088893224	0.37468458349308859	0.29435575058919111	0.00000000000000000	0.72486505761089637	0.68891369104823863
SimData1006	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18033270912448443	0.16874122171593273	0.36739155627537889	0.28353451288420400	0.00000000000000000	0.70746584347463359	0.70675114350687329
