Samples	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Malignant	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Endothelial_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__CAF	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD8	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__NK_cells	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__Macrophages	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__T_cells_CD4	CBSX__scRNA-Seq_melanoma_Tirosh_sigmatrix_SuppFig_3-b__B_cells
SimData1	0	0	0	0.01604341269192819	0.11412361480386908	0.46272257531463495	0.1907990416399464	0.2163113555496214
SimData10	0	0	0	0	0.1486238436126148	0.4242586776614441	0.1789937908356475	0.24812368789029368
SimData100	0.01213856968305334	0	0	0	0.3089835575286577	0.17790415694039605	0.2703609983707478	0.2306127174771452
SimData1000	0	0	0	0	0.1739197444782117	0.22700717903748976	0.273583914032344	0.32548916245195453
SimData1001	0.01561278563564494	0	0	0	0.18589363570339132	0.20508963133564723	0.2459613500342682	0.3474425972910483
SimData1002	0.07185765719904305	0	0.00546792698375881	0	0.17727098427945764	0.185184607910834	0.1865529015969744	0.37366592202993226
SimData1003	0.506655900241401	0.00449593859382089	0.4704427863039311	0	0	0	0	0.01840537486084703
SimData1004	0	6.1090007062e-7	5.16782767866e-6	0	0.1667236527610827	0.17430488470689431	0.3689966146244627	0.28996906917981086
SimData1005	0	0	2.30407407586e-6	0	0.15917839095471217	0.17177897088893224	0.3746845834930886	0.2943557505891911
SimData1006	0	0	0	0	0.18033270912448443	0.16874122171593273	0.3673915562753789	0.283534512884204
SimData1007	0	0	0	0	0.17572545340787937	0.15759328893918584	0.3797914502448433	0.28688980740809156
SimData1008	0	0	0.00136940075442859	0	0.1831135196593617	0.1545374355180428	0.393289571573122	0.26769007249504495
SimData1009	0	0	0	0	0.19824833419547344	0.14458656792928892	0.37095645807613387	0.28620863979910394
SimData101	0.04278374490309744	0	0.00529651923339824	0	0.3216449909332402	0.11372894847418052	0.17045246993579025	0.3460933265202934
SimData1010	0	0	0	0	0.1728708189399212	0.1760204895552367	0.39719346662294286	0.25391522488189927
SimData1011	0	0	0	0	0.1987544387104652	0.16254449591966347	0.38308688249686734	0.2556141828730039
SimData1012	0	0	0	0	0.18861563650202648	0.15510251984453224	0.40513570025459567	0.2511461433988456
SimData1013	0	0	0	0	0.19627407002260125	0.150523485528624	0.3957790288430083	0.2574234156057665
SimData1014	0	0	0	0	0.1958503411628218	0.14774065816780044	0.3943032813849426	0.2621057192844352
SimData1015	0	0	0	0	0.20611000470380572	0.14922208389334884	0.38642426740947217	0.25824364399337324
SimData1016	0	0	0	0	0.20804408755442752	0.1520302270731264	0.3827691654024492	0.25715651996999694
SimData1017	0	0	0	0	0.19607178621484148	0.1782568804828173	0.3549953901588664	0.2706759431434748
SimData1018	0.03459944876389018	0	0	0	0.22990238027319035	0.15531263501179962	0.28249538398808294	0.2976901519630369
SimData1019	0.06924290299506894	0	0.02644552083973695	0	0.26994592304333437	0.10138269920241944	0.2777994962400416	0.2551834576793987
SimData102	0.6211893965290449	0.01652103602980185	0.307716113508745	0.04398632053443798	0	0	0	0.01058713339797016
SimData1020	0.4988159724969672	0	0.4044584796300521	0	0.04420063899838641	0.00400571475467851	0.04054717293998729	0.00797202117992858
SimData1021	0	0	0.00272187929906352	0	0.2607943248399407	0.3136645216649518	0.23264054482452895	0.19017872937151512
SimData1022	0	0	0	0	0.2398623626705272	0.34046143928481576	0.23369901271992677	0.1859771853247303
SimData1023	0	0	0	0	0.26530187111924575	0.3291512154135265	0.21175410279591	0.19379281067131773
SimData1024	0	0	0	0	0.2631659018140638	0.34651945784459365	0.21599500287929885	0.17431963746204382
SimData1025	0	0	9.5496816316075e-4	0	0.27291603375289025	0.3265047771736908	0.23478716522095217	0.16483705568930598
SimData1026	0	0	0.00192223515426957	0	0.2997106915545458	0.3180817740738272	0.2081448117316508	0.1721404874857066
SimData1027	0	0	0.00669627693929294	0	0.30174027108638474	0.27904533709221063	0.19547584490929457	0.21704226997281717
SimData1028	0	0	0.00265813992035416	0	0.3051895603022955	0.3062917953638683	0.194889584231599	0.1909709201818831
SimData1029	0	0	0.00462021281520993	0	0.31248446314448275	0.30088523436310466	0.2017617770964575	0.18024831258074503
SimData103	0	0	5.0552963026311e-4	0	0.12060763602539595	0.20089785207381425	0.38828008662351504	0.2897088956470115
SimData1030	0	0	0	0	0.2798923489331129	0.326984216868126	0.2341008375528369	0.15902259664592422
SimData1031	0	1.017526116898e-5	0.00687272733800462	0	0.2973190120955255	0.28783719435260946	0.18104488077354455	0.2269160101791469
SimData1032	0	2.097932233618e-5	0.00608067114201315	0	0.313735049137455	0.2854788118296497	0.17221600065394924	0.22246848791459664
SimData1033	0	4.83710362142e-6	0.00629288531729244	0	0.3048886560142762	0.2904569878284217	0.17948695849008806	0.2188696752463002
SimData1034	0	0	0.00707223760988591	0	0.3143479575281107	0.2914391008112927	0.18206259697730215	0.2050781070734086
SimData1035	0	0	0.01008138978722356	0	0.32615481988637934	0.2710418105519802	0.25094871747582476	0.14177326229859208
SimData1036	0.06990550057249745	0	0	0	0.37385220093676685	0.23871531965446044	0.14567243259688398	0.17185454623939128
SimData1037	0.7195310380376735	0.00411461431291991	0.19936078625198553	0	0.04457177752813566	0	0.02535848317856438	0.00706330069072109
SimData1038	0	0	0	0	0.18213141134417468	0.23903728657208428	0.3957740337287128	0.1830572683550283
SimData1039	0	0	1.8125390004675e-4	0	0.2088481644321331	0.24190473878455757	0.3517088656563053	0.19735697722695728
SimData104	0	0	0	0	0.13785739311844178	0.19174605295811556	0.400753578270832	0.26964297565261064
SimData1040	0	0	0.00120058909358211	0	0.1867659291848255	0.23247348680134203	0.3800367905682406	0.19952320435200985
SimData1041	0	0	0.00140392557576466	0	0.2044250972197632	0.23615652826252984	0.35022268439867577	0.20779176454326673
SimData1042	0	2.958186316602e-5	0.00263604986133872	0	0.20994798828656033	0.24694212696092277	0.36098967720133385	0.1794545758266783
SimData1043	0	0	0	0	0.22887464867570995	0.2348871926083772	0.363233586545188	0.17300457217072487
SimData1044	0	2.446620921726e-5	0.00670108590324462	0	0.2351773126967636	0.20528287957990024	0.36323937548724405	0.18957488012363008
SimData1045	0	7.4164812136e-7	0.0069039716009663	0	0.22114502192241953	0.18463418383288277	0.37112131111344754	0.21619476988216269
SimData1046	0	0	0	0	0.23682358763419473	0.22486024339294103	0.3960458738357575	0.14227029513710673
SimData1047	0	0	0	0	0.25112290072514326	0.218718072890184	0.39844518159487535	0.13171384478979736
SimData1048	0	0	0	0	0.23761554000674723	0.2236210049690709	0.39323017625665346	0.14553327876752853
SimData1049	0	0	0.00559640165287169	0	0.22576732074111647	0.20407125448993244	0.36032692366826546	0.20423809944781396
SimData105	0	0	0	0	0.15980801577210424	0.19555328656706525	0.37930712165391295	0.2653315760069175
SimData1050	0	0	0	0	0.24457494895543871	0.2298871490819281	0.4044298195034446	0.12110808245918862
SimData1051	0	0	0.00502258683204205	0	0.23655000530450965	0.21789374464827913	0.3780207632841673	0.1625128999310018
SimData1052	0.01149313510572893	0	0	0	0.2519024246461346	0.16881007122011127	0.4155987515504651	0.15219561747756022
SimData1053	0.03152133547270654	0	0.0214255904470518	0	0.27900198260963643	0.14629347553068814	0.31908773914583777	0.20266987679407925
SimData1054	0.512401772654855	0.00449773080319593	0.4662895164892591	0.00203698294439337	0	0	0.01477399710829659	0
SimData1055	0	0	0.0011268010210186	0	0.1649203386780479	0.2553196448223691	0.2730073436725798	0.3056258718059846
SimData1056	0	1.178686278358e-5	9.8828310514938e-4	0	0.17430798681785534	0.23223213042964275	0.26290948856555846	0.32955032421901054
SimData1057	0	0	2.643815671026e-4	0	0.18385761422602467	0.22539183372073415	0.272353428902499	0.31813274158363963
SimData1058	0	0	7.55161766957e-4	0	0.1893794691484536	0.24812129591615936	0.27329792113728946	0.28844615203114055
SimData1059	0	0	0.0013572744399751	0	0.193159659960631	0.2456992391918008	0.27155045072844397	0.288233375679149
SimData106	0	2.34724756637e-5	0.00170515476458041	0	0.1481866334592322	0.16294046737290457	0.3843584767050544	0.30278579522256477
SimData1060	0	0	0.00310113503987915	0	0.20183668796754195	0.22701994544394544	0.28948635412825435	0.278555877420379
SimData1061	0	4.40392924266e-6	0.00415547460940723	0	0.2033129588107623	0.2162539668992529	0.2613821780607125	0.3148910176906224
SimData1062	0	1.897033832189e-5	0.00658801902410449	0	0.19302823159060092	0.24177915403142936	0.25701266448376453	0.3015729605317788
SimData1063	0	0	0.00242246128249796	0	0.21369985709454653	0.23230839108715745	0.2862243210694887	0.26534496946630937
SimData1064	0	0	0	0	0.22572908835255295	0.22655248490154128	0.295408010164422	0.25231041658148384
SimData1065	0	0	0	0	0.23058560877294593	0.22710304821395905	0.29735785687782185	0.24495348613527312
SimData1066	0	0	0.00232078797921672	0	0.23002633710568435	0.2173759642668125	0.29260115237792533	0.25767575827036127
SimData1067	0	0	8.8321094693265e-4	0	0.22764470173074264	0.21596928363525655	0.2971285727951518	0.25837423089191636
SimData1068	0	0	0	0	0.233647914551928	0.22228233564666133	0.2755009748642423	0.26856877493716846
SimData1069	0.00164965329844013	0	0	0	0.24481922217435537	0.18795728898105857	0.29486853887921577	0.2707052966669301
SimData107	0	0	0.00186514800871927	0	0.1658469432647881	0.18747791314372855	0.37631156679388106	0.26849842878888297
SimData1070	0.05033395288146975	0	0.00774325376581061	0	0.21818008967924257	0.1722189361022117	0.27246984948608466	0.2790539180851807
SimData1071	0.5647497474709473	0	0.38316556698663184	0	0.01612831922253542	0	0.03595636631988552	0
SimData1072	0	0	0	0.02542433758904488	0.2069120162215588	0.4053637495438158	0.2522174528898388	0.11008244375574178
SimData1073	0	0	0.00586819728379348	0.01169675003646467	0.21490087153562829	0.42917062689198254	0.2635190210764997	0.07484453317563143
SimData1074	0	0	0.0022478641833956	0	0.22429528900840895	0.43985419346056986	0.25932129773251	0.0742813556151156
SimData1075	0	0	0.00468983682469459	0	0.24183818843248348	0.419306335819446	0.27125037514872197	0.06291526377465395
SimData1076	0	0	0.00345023335457026	0	0.24396316360786033	0.42310817858353694	0.260275605811042	0.06920281864299045
SimData1077	0	0	0.00349986203274428	0	0.2594307503471512	0.37590581704830056	0.2887373484747479	0.0724262220970561
SimData1078	0	0	0.00676245895533968	0	0.2675057671780356	0.36741962695003905	0.30153121523152765	0.05678093168505804
SimData1079	0	4.811211565116e-5	0.01095294848117673	0	0.24648794578510264	0.38853603988144225	0.26495477862864847	0.08902017510797873
SimData108	0	0	0.00166947468744172	0	0.18588646333608227	0.18982296270864185	0.3655814797663828	0.2570396195014514
SimData1080	0	0	0	0	0.2670931485731182	0.3600623914752938	0.2861355746245244	0.08670888532706356
SimData1081	0	0	0.0037600957589816	0	0.2705573247355195	0.3431524872733419	0.26212724828104456	0.12040284395111232
SimData1082	0	0	0.0063458509240365	0	0.27293479694765277	0.34903579797441353	0.25871807515936596	0.11296547899453135
SimData1083	0	0	0.00705957569543724	0	0.2598908993600931	0.3531905159427596	0.27299523935299574	0.1068637696487144
SimData1084	0	0	0.00276283083791268	0	0.27348602262936306	0.3479689071587679	0.2571741603114473	0.11860807906250906
SimData1085	0	0	0.01052654095094654	0	0.2382236823921891	0.3449551902285274	0.28809519222891933	0.11819939419941768
SimData1086	0.01657982262465297	0	0.00109213597605852	0	0.32536728281514055	0.29198480702286306	0.250945782907467	0.11403016865381788
SimData1087	3.979256108599e-5	0	0.01318534870120597	0	0.2638870601568962	0.24106243259870772	0.20418382628983608	0.27764153969226796
SimData1088	0.5681623241586486	0.00376415096540286	0.38425877719246254	0	0.01586508454521402	0	0.00555541892558102	0.02239424421269091
SimData1089	0	0	0.00156171614408016	0	0.1629350897610741	0.2457489504527857	0.3776677833188776	0.21208646032318249
SimData109	0	0	0	0	0.207167313212025	0.18704411270104945	0.39177475074540385	0.2140138233415217
SimData1090	0	0	9.9369916006527e-4	0	0.17107320835082268	0.23109920446820287	0.3682938428188949	0.22854004520201424
SimData1091	0	0	0	0	0.19377601497019464	0.2280713258896775	0.3639623550886425	0.2141903040514854
SimData1092	0	0	0	0	0.19711137007937868	0.2248138199472741	0.3534276390986947	0.22464717087465255
SimData1093	0	0	9.5229990532273e-4	0	0.19068747242502904	0.2369192306167565	0.3465161925584293	0.2249248044944624
SimData1094	0	0	0.00262947359378387	0	0.21476015603349147	0.21030209218264992	0.327340965172833	0.24496731301724167
SimData1095	0	0	0.00494305871154298	0	0.24731209847816576	0.20792227306376296	0.337517247548341	0.2023053221981874
SimData1096	0	0	0.00301979214264063	0	0.23458881811644025	0.1987790752327384	0.3553999125253408	0.2082124019828399
SimData1097	0	0	0	0	0.2427137242465613	0.2032163519635008	0.3683453666355312	0.18572455715440667
SimData1098	0	0	0	0	0.2394563598927848	0.20613828103349824	0.3732262483714208	0.181179110702296
SimData1099	0	0	0.00452039961956461	0	0.2251593200473569	0.209055612686694	0.3601351439217996	0.20112952372458487
SimData11	0	0	0.00589801771382425	0	0.14314549621586084	0.4100518922120673	0.1753953982231637	0.26550919563508396
SimData110	0	0	0	0	0.1692610593890568	0.17162494252231966	0.42622928730087295	0.23288471078775047
SimData1100	0	0	0.00352270491746406	0	0.22181920824153173	0.20422696210417085	0.35628712988622807	0.21414399485060528
SimData1101	0	0	0.00575819262943098	0	0.2171263365072408	0.18365428304881296	0.33293240440354943	0.26052878341096586
SimData1102	0	0	0	0	0.26072335526390855	0.18500373702680448	0.36610494042249775	0.1881679672867891
SimData1103	0	0	3.9422636037743e-4	0	0.273033670107374	0.20486014878083153	0.3605064879600311	0.16120546679138598
SimData1104	0.05212546826195306	0	0.02068624871822489	0	0.32358025896081105	0.136298733962833	0.2630657275913136	0.20424356250486456
SimData1105	0.6271343120339423	0.00725553918225095	0.2969825821854619	0	0.01564912566904249	0	0	0.05297844092930219
SimData1106	0	0	3.747449279705e-5	0	0.1099527160894792	0.461413060218428	0.2396444729563109	0.18895227624298488
SimData1107	0	0	0	0	0.11300193565837556	0.41799820711056834	0.24635948232254393	0.22264037490851232
SimData1108	0	0	0.00129246564585291	0	0.11157450847572888	0.4496131986428072	0.224229444087208	0.21329038314840287
SimData1109	0	0	0.0021977168343633	0	0.1351753969996164	0.4146364796244522	0.2135031579531785	0.23448724858838949
SimData111	0	0	0	0	0.1829647343741216	0.16034755320470537	0.3825216496494552	0.2741660627717179
