Sample_Name,Cell_line,Sample_Group,Project,Sample_Well,Sentrix_ID,Sentrix_Position
S15_HL60.basal,HL60.basal,M,,,203038250155,R04C01
S17_HL60.Ag120,HL60.Ag120,M,,,203038250155,R07C01
S9_HL60WT.basal,HL60WT.basal,WT,,,203038290152,R01C01
R21_MOLM.basal,MOLM.basal,M,,,203033880048,R08C01
S23_MOLM.AGI120,MOLM.AGI120,M,,,203033880053,R08C01
S21_MOLM.basal,MOLM.basal,M,,,203038250155,R02C01
S20_MOLMWT.basal,MOLMWT.basal,WT,,,203038250155,R08C01
