Samples	CBSX__CCLE_TIL10__Cancer.cells	CBSX__CCLE_TIL10__B.cells	CBSX__CCLE_TIL10__Macrophages.M1	CBSX__CCLE_TIL10__Macrophages.M2	CBSX__CCLE_TIL10__Monocytes	CBSX__CCLE_TIL10__Neutrophils	CBSX__CCLE_TIL10__NK.cells	CBSX__CCLE_TIL10__T.cells.CD4	CBSX__CCLE_TIL10__T.cells.CD8	CBSX__CCLE_TIL10__Tregs	CBSX__CCLE_TIL10__Dendritic.cells
TCGA-OR-A5JJ-01A	0.7801332367356145	0.00649616899842525	0	0.03178324626242988	0.00259339044251582	0	0	0.1309917701697187	0	0	0.04800218739129584
TCGA-OR-A5LT-01A	0.7989940142048111	0.00282699982641987	0	0.08357917383611102	0.08608297359479254	0.00276218978225077	0.0037557845407505	0	0.00436800997614218	0.01763085423872205	0
TCGA-OR-A5LH-01A	0.4393083839094197	0.00875165305146851	0.00164393561601811	0.34575883980936745	0	0.00295396768210642	0.00674912616019169	0.06290991796387185	0.02075611919069346	0	0.11116805661686266
TCGA-OR-A5K0-01A	0.6127758779858693	0.00449447229204118	0	0.03329178486588389	0.1696096935421633	0	0.04774709804256846	0.132081073271474	0	0	0
TCGA-OR-A5K9-01A	0.8560082865003317	0.00491471537216655	0	0.05119470023724974	0.04795315037880696	0	0	0.02396620589744286	0.00466933424132097	0	0.01129360737268125
TCGA-OR-A5LD-01A	0.9211566086189994	0.00914487361523979	0	0.0016828033704549	0.04123952339882113	0.00204102841372704	0	0.00973914454898837	0	0	0.01499601803376934
TCGA-OR-A5JK-01A	0.38006324041898154	0.00838289076957587	0.00601189296718918	0.22200339387173168	0	0	0	0.13688256766304382	0.1747561285027407	0	0.07189988580673735
TCGA-OR-A5K4-01A	0.8568241011663147	0.00136961950506167	0	0.0356431563307435	0	0	0.02020070120194599	0.08024839389114409	0	0	0.00571402790479017
TCGA-P6-A5OF-01A	0.721163177429197	0	0	0.15939143369950162	0.03756735126330248	0	0	0.04677781644344445	0	0	0.03510022116455436
TCGA-OR-A5JV-01A	0.2753177850651422	0.00256558039853269	0.06732728845193028	0.5526757844966176	0	0.00415843038600874	0.00138370602401049	0.05251366919762212	0	0.00244260533072218	0.04161515064941385
TCGA-OR-A5J5-01A	0.884565749732282	0	0	0.05693723408891182	0	0	0.01926920758310291	0	0	0	0.03922780859570335
TCGA-PK-A5H8-01A	0.5822639022419308	0	0	0.1434178266407155	0.1778503653744016	0	0	0.09646790574295204	0	0	0
TCGA-OR-A5JG-01A	0.699620257847051	0.00317089710603312	0	0.03483841809949741	0.11411721109086248	0	0.01363655611802888	0.1346166597385272	0	0	0
