Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
5085	0.00000000000000000	0.89031137521965253	0.09827195605170971	0.00000000000000000	0.00000000000000000	0.01141666872863776	0.00000000000000000	0.92750565530719886	0.97975320991690140
5087	0.00000000000000000	0.93129938780347865	0.06355143378780578	0.00000000000000000	0.00000000000000000	0.00514917840871548	0.00000000000000000	0.92673148216716572	1.05383460319228117
5088	0.00000000000000000	0.88838631972226190	0.09850888798106926	0.00000000000000000	0.00000000000000000	0.01310479229666887	0.00000000000000000	0.93936141768303127	0.95389969510218331
5091	0.00000000000000000	0.94761747453179768	0.04357272456154417	0.00566417245498389	0.00000000000000000	0.00314562845167412	0.00000000000000000	0.93854507491588490	1.06129366873024367
5092	0.00000000000000000	0.92945722368049288	0.06414009011904985	0.00000000000000000	0.00000000000000000	0.00640268620045723	0.00000000000000000	0.92241057081763622	1.05833362537126163
5093	0.00000000000000000	0.88299434742543781	0.10557700752440503	0.00000000000000000	0.00000000000000000	0.01142864505015703	0.00000000000000000	0.95237267149082783	0.91900429987769672
5094	0.00000000000000000	0.90888613221016923	0.07348518718683850	0.00532743580607431	0.00000000000000000	0.01230124479691795	0.00000000000000000	0.94779332405849981	0.97413731560698336
5095	0.01537286230326356	0.78625928707634773	0.09665791196393497	0.00000000000000000	0.06477295709674531	0.03693698155970861	0.00000000000000000	0.93572261948204771	0.77950916372973322
5097	0.00780592654085424	0.88663474986908108	0.10366421572585575	0.00000000000000000	0.00000000000000000	0.00189510786420906	0.00000000000000000	0.94686915280079775	0.93647775554204515
5098	0.00000000000000000	0.92633338998452908	0.06890679503790337	0.00000000000000000	0.00000000000000000	0.00475981497756748	0.00000000000000000	0.94408307784985190	1.01300290951046268
5103	0.00000000000000000	0.92175905159342952	0.05482189711329577	0.01290745092084745	0.00000000000000000	0.01051160037242720	0.00000000000000000	0.95891104756032286	0.97567674358795342
5104	0.00000000000000000	0.84713382149092542	0.12365907864680190	0.01756889970722868	0.00000000000000000	0.01163820015504398	0.00000000000000000	0.94582782093678219	0.86733987797904422
5105	0.00000000000000000	0.92354865548466669	0.07038260814122858	0.00000000000000000	0.00000000000000000	0.00606873637410481	0.00000000000000000	0.96428209890617000	0.96928084497109557
5108	0.00000000000000000	0.91794196913225723	0.07448344877197974	0.00000000000000000	0.00000000000000000	0.00757458209576301	0.00000000000000000	0.94250323746769282	1.00082284177259906
5115	0.00000000000000000	0.91084545903690195	0.07509615034588893	0.00000000000000000	0.00000000000000000	0.01405839061720915	0.00000000000000000	0.95817421571413386	0.95786118512768348
5117	0.00000000000000000	0.91792103608441866	0.07521974812331927	0.00000000000000000	0.00000000000000000	0.00685921579226193	0.00000000000000000	0.94484670683873129	0.99638374693418830
5120	0.00000000000000000	0.75954488943103315	0.12656483003612615	0.01920729139806754	0.05678759549388317	0.03789539364089013	0.00000000000000000	0.90056524273014660	0.80624758754876091
5122	0.00000000000000000	0.85486442708278276	0.13937848997910871	0.00000000000000000	0.00000000000000000	0.00575708293810851	0.00000000000000000	0.94919464423017175	0.87524320256522026
5124	0.00000000000000000	0.92139579939119243	0.07026225833075501	0.00000000000000000	0.00000000000000000	0.00834194227805251	0.00000000000000000	0.95147162310652467	0.99003911047280635
5133	0.00000000000000000	0.78165279982515068	0.12806137440048634	0.06508198507853774	0.00000000000000000	0.02520384069582516	0.00000000000000000	0.92017508665824821	0.80488266281951215
5137	0.00000000000000000	0.89975200212880746	0.08338194296635497	0.00401518772700163	0.00000000000000000	0.01285086717783596	0.00000000000000000	0.93211447179860707	0.98756530810347454
5138	0.00484137250784825	0.87036122753406242	0.03797101615500170	0.00000000000000000	0.07140980037799763	0.01541658342509008	0.00000000000000000	0.96267684361060990	0.87127625849139445
5140	0.00000000000000000	0.88894625808671790	0.09863454419372820	0.01149386718360607	0.00000000000000000	0.00092533053594780	0.00000000000000000	0.94821124069045337	0.93745659965330974
