id	filename	md5	size	state
00b67569-0a0c-4fbf-91bc-6faddaa4b28f	00b67569-0a0c-4fbf-91bc-6faddaa4b28f/UNCID_410572.TCGA-AL-3473-01A-01R-1193-07.110620_UNC14-SN744_0133_BC03GVABXX.3.trimmed.annotated.gene.quantification.txt	770788eeba61d6aea5e1ccaf2a73121d	988915	validated
01bd5829-b977-4326-84a9-6555baa912ae	01bd5829-b977-4326-84a9-6555baa912ae/unc.edu.314e00aa-9786-4634-a845-45860853daa9.2281893.rsem.genes.normalized_results	e4166640c75b76ce857d5318cf16591c	435290	validated
07d6ede2-3e32-4f3f-92e3-a81e64cce974	07d6ede2-3e32-4f3f-92e3-a81e64cce974/unc.edu.0053d506-ce66-4635-b648-be234c7c0708.2601066.rsem.genes.normalized_results	b8141be040e7bf045a6bb48ebb14636f	435353	validated
0c75ae08-baad-4559-8521-88758e917b88	0c75ae08-baad-4559-8521-88758e917b88/unc.edu.84dff8b1-e381-4f41-a05c-04524aca78b3.2192845.rsem.genes.normalized_results	049f64eb06dde9137cc71a2c71d86d16	434762	validated
1ce16356-7f1f-4c60-ad30-0e068ab36ca8	1ce16356-7f1f-4c60-ad30-0e068ab36ca8/unc.edu.0568fe26-7594-4015-b4f3-57c8a22fd9c2.2159878.rsem.genes.results	d4f70cbaef682b7b2f3679a6dc5125c5	1493128	validated
1ef490f3-9dbe-4d6a-bef4-00f99ef5f138	1ef490f3-9dbe-4d6a-bef4-00f99ef5f138/unc.edu.0568fe26-7594-4015-b4f3-57c8a22fd9c2.2159893.rsem.genes.normalized_results	99a877e1ab6025214b120355d3973341	434635	validated
1f6212a3-9434-4c6e-ae59-75e3ed4226dc	1f6212a3-9434-4c6e-ae59-75e3ed4226dc/unc.edu.e029ee59-8d15-46e6-915a-f343ec846db6.2585564.rsem.genes.results	a3878e4646498499c69de0c7d1faeaf9	1507865	validated
1f685737-aeec-4038-97a8-ebe67d834885	1f685737-aeec-4038-97a8-ebe67d834885/unc.edu.ec5b3c38-d7ae-4064-bd16-f1d1a8f91482.2442509.rsem.genes.normalized_results	78d271776c2cbaa85015b4befef0fe45	433647	validated
285982a7-b836-4485-882b-d6d5f0ec639b	285982a7-b836-4485-882b-d6d5f0ec639b/unc.edu.deb03cb1-f179-4be6-9a80-10f6cb852118.2108402.rsem.genes.normalized_results	1b5e7e9284720643757cd4e6ab275a32	435529	validated
2b739201-7e8b-4acd-a73d-013d3db10c9b	2b739201-7e8b-4acd-a73d-013d3db10c9b/unc.edu.b1b5fed3-7697-4d4f-9d7a-e7ed8a713b70.2416490.rsem.genes.results	5043ed4c62ce5c035a5c30fdf2debe24	1525340	validated
3014dcef-64a2-40c0-a089-fc0513baf25b	3014dcef-64a2-40c0-a089-fc0513baf25b/unc.edu.908f9d6f-e960-4f1d-b1c6-12c67812dc3c.1958863.rsem.genes.normalized_results	9663d69a6b76a7afc8d51599a8dd725a	435081	validated
3548e3d2-9dcc-486d-ae22-1b9b5d96ed0f	3548e3d2-9dcc-486d-ae22-1b9b5d96ed0f/unc.edu.dd3850ef-1108-42e1-8b1e-5e4e57916579.1977428.rsem.genes.results	ffa886eb0e85dffd9354209c6f1f0a5d	1511932	validated
3630a4db-1d16-471b-938d-670e35ea5816	3630a4db-1d16-471b-938d-670e35ea5816/unc.edu.f86950ae-1ac2-4794-83f1-541920a0b002.1222958.rsem.genes.results	6a7308dde5b6e9a96738739dff5442d3	1520848	validated
365b612a-eae0-4ab7-a3fe-20f9003a96ca	365b612a-eae0-4ab7-a3fe-20f9003a96ca/unc.edu.bd16fa1e-063c-41ab-a456-3ef2363fcda8.1464956.rsem.genes.normalized_results	fe7332edb408a06b0a32014d1c23567d	435391	validated
36a84b06-213c-431c-bee1-32b7213692e1	36a84b06-213c-431c-bee1-32b7213692e1/unc.edu.572f5ecb-6e4f-408e-bee0-8f93974a4cf3.2358291.rsem.genes.normalized_results	669dd33904e19137978614160b7a8160	434158	validated
36aab15e-cab1-4b2b-85d7-c9482eb6133f	36aab15e-cab1-4b2b-85d7-c9482eb6133f/unc.edu.03773f94-5d7a-49d5-a1ed-1e1acad5e298.2331110.rsem.genes.results	2dd9b01f79841ae2878a7d0843f7704f	1514988	validated
3ac6afe6-fd75-4142-901d-e5a5b3b29828	3ac6afe6-fd75-4142-901d-e5a5b3b29828/unc.edu.34555f18-e818-4ac7-92ee-72dd09cfb811.1218222.rsem.genes.normalized_results	f5a8a2884095f85c083368032303a1e2	434475	validated
3b1e0a67-f983-443a-8de4-fa6c504e1281	3b1e0a67-f983-443a-8de4-fa6c504e1281/unc.edu.589266f9-d830-48e6-9188-6e1e1dafeaf6.2434812.rsem.genes.normalized_results	4c233deebb77e13d4582ae4df37edfba	435006	validated
3bb4c219-2e79-4765-b6d8-87b172040ece	3bb4c219-2e79-4765-b6d8-87b172040ece/unc.edu.e6235816-bce0-4daf-b1ee-3aade6592470.1194000.rsem.genes.normalized_results	bd674a8b33959a1543a6c21235924a9d	435486	validated
4aff066b-b7fa-41dd-be15-8805a76a210a	4aff066b-b7fa-41dd-be15-8805a76a210a/unc.edu.5837b10d-8c02-4d07-9763-8a4f32e294fc.2195696.rsem.genes.normalized_results	c0d2bfcd07ffd5a172508dabbed5d092	434144	validated
