Gene.Symbol	cell_type
1-Sep	T.cells.CD8
3-Mar	Endothelial.cells
4-Sep	CAFs
6-Sep	T.cells.CD4
9-Sep	T.cells.CD4
A2M	CAFs
AAAS	Myocytes
AAED1	Macrophages
AAGAB	Malignant.cells
AAMDC	Dendritic.cells
AAR2	Mast.cells
AARS	B.cells
AARSD1	Malignant.cells
AASDHPPT	Myocytes
AATF	Dendritic.cells
ABCA1	Mast.cells
ABCA8	CAFs
ABCB8	Mast.cells
ABCC1	Mast.cells
ABCC4	Mast.cells
ABCC5	Myocytes
ABCD3	Mast.cells
ABCD4	Endothelial.cells
ABCE1	Myocytes
ABCF2	Endothelial.cells
ABCG1	Macrophages
ABCG2	Endothelial.cells
ABHD12	Macrophages
ABHD14A	Mast.cells
ABHD14B	CAFs
ABHD2	Mast.cells
ABHD3	T.cells.CD4
ABHD4	B.cells
ABI3	T.cells.CD8
ABI3BP	CAFs
ABLIM1	Endothelial.cells
ABLIM2	Myocytes
ABP1	Dendritic.cells
ABRACL	T.cells.CD8
ABT1	Endothelial.cells
ACAA2	Dendritic.cells
ACAD8	B.cells
ACAD9	Myocytes
ACAP1	T.cells.CD4
ACAT2	Mast.cells
ACBD4	Macrophages
ACBD5	Mast.cells
ACCS	Endothelial.cells
ACD	Endothelial.cells
ACE	Macrophages
ACER3	Mast.cells
ACHE	Dendritic.cells
ACOT13	Myocytes
ACOT7	Macrophages
ACP2	B.cells
ACP5	Macrophages
ACSL1	Macrophages
ACSL4	Mast.cells
ACSL5	T.cells.CD8
ACTA1	Myocytes
ACTA2	CAFs
ACTC1	Myocytes
ACTG2	CAFs
ACTL6A	Malignant.cells
ACTN1	CAFs
ACTN2	Myocytes
ACTR2	T.cells.CD8
ACVRL1	Endothelial.cells
ADA	Endothelial.cells
ADAM10	Macrophages
ADAM12	Mast.cells
ADAM15	Endothelial.cells
ADAM19	Dendritic.cells
ADAM28	Macrophages
ADAM8	Dendritic.cells
ADAM9	Macrophages
ADAMDEC1	Macrophages
ADAMTS1	CAFs
ADAMTS4	CAFs
ADCK3	Myocytes
ADCK5	Malignant.cells
ADCY3	CAFs
ADCY4	Endothelial.cells
ADCY7	Mast.cells
ADCYAP1	Mast.cells
ADD3	T.cells.CD4
ADH5	CAFs
ADIRF	CAFs
ADK	Malignant.cells
ADM	Endothelial.cells
ADM5	Endothelial.cells
ADORA2A	Dendritic.cells
ADORA2B	Malignant.cells
ADORA3	Macrophages
ADPRH	Mast.cells
ADRA1A	T.cells.CD4
ADRB2	Mast.cells
ADRBK2	Dendritic.cells
ADSL	Myocytes
AEBP1	CAFs
AEN	Endothelial.cells
AES	T.cells.CD4
AFAP1L1	Endothelial.cells
AFTPH	B.cells
AGA	B.cells
AGAP11	CAFs
AGMAT	T.cells.CD4
AGPAT2	B.cells
AGPAT5	Myocytes
AGPAT6	Dendritic.cells
AGPAT9	Myocytes
AGT	CAFs
AGTRAP	Myocytes
AHCYL1	Mast.cells
AHNAK2	Malignant.cells
AIF1	Macrophages
AIM1	T.cells.CD4
AIM2	B.cells
AIMP2	Malignant.cells
AK1	Myocytes
AKAP12	CAFs
AKAP17A	Endothelial.cells
AKAP2	Endothelial.cells
AKAP5	Mast.cells
AKAP6	Myocytes
AKNA	T.cells.CD8
AKR1B10	Malignant.cells
AKR1C1	Malignant.cells
AKR1C2	Malignant.cells
AKR1C3	Endothelial.cells
AKTIP	Endothelial.cells
ALCAM	Dendritic.cells
ALDH18A1	B.cells
ALDH1A1	Mast.cells
ALDH1A3	Malignant.cells
ALDH1B1	CAFs
ALDH2	Dendritic.cells
ALDH3A2	Myocytes
ALDH3B1	Mast.cells
ALDH4A1	Myocytes
ALG13	T.cells.CD4
ALG14	B.cells
ALG5	B.cells
ALG9	Endothelial.cells
ALKBH2	Myocytes
ALOX5	Mast.cells
ALOX5AP	Mast.cells
ALPK1	Macrophages
ALS2	Mast.cells
AMICA1	Macrophages
AMIGO3	B.cells
AMPD2	Macrophages
AMZ2P1	Mast.cells
ANAPC13	Myocytes
ANAPC15	Malignant.cells
ANAPC4	Mast.cells
ANAPC7	Myocytes
ANG	Macrophages
ANGEL2	T.cells.CD8
ANGPT1	CAFs
ANGPT2	Endothelial.cells
ANGPTL1	CAFs
ANGPTL2	Endothelial.cells
ANGPTL4	CAFs
ANK2	CAFs
ANKRD22	Macrophages
ANKRD23	Myocytes
ANKRD28	B.cells
ANKRD32	T.cells.CD8
ANKRD36BP2	B.cells
ANKRD37	B.cells
ANKRD44	Mast.cells
ANKRD46	Endothelial.cells
ANKRD54	Endothelial.cells
ANKZF1	T.cells.CD4
ANO1	Malignant.cells
ANP32A	T.cells.CD8
ANPEP	Macrophages
ANTXR1	CAFs
ANTXR2	Macrophages
ANXA3	Malignant.cells
ANXA8	Malignant.cells
ANXA8L1	Malignant.cells
ANXA8L2	Malignant.cells
AOAH	Macrophages
AOC3	Endothelial.cells
AP1B1	Macrophages
AP1M2	Malignant.cells
AP1S2	Macrophages
AP3D1	Myocytes
AP3S2	Dendritic.cells
AP5M1	Myocytes
AP5Z1	Macrophages
APBB1	Myocytes
APBB3	Macrophages
APEH	Myocytes
APLNR	Endothelial.cells
APOBEC2	Myocytes
APOBEC3A	Macrophages
APOBEC3B	Malignant.cells
APOBEC3C	T.cells.CD8
APOBEC3D	T.cells.CD8
APOBEC3F	T.cells.CD8
APOBEC3G	T.cells.CD8
APOC1	Macrophages
APOC2	Mast.cells
APOD	CAFs
APOE	Macrophages
APOL3	Endothelial.cells
APOL4	Macrophages
APOL6	B.cells
APOLD1	Endothelial.cells
APOO	B.cells
APOPT1	Malignant.cells
APP	Endothelial.cells
AQP1	Endothelial.cells
AQP3	Malignant.cells
AQP7P3	Myocytes
ARAP1	Macrophages
ARAP2	T.cells.CD8
AREG	Mast.cells
ARFGAP2	Myocytes
ARFIP1	Myocytes
ARHGAP10	Dendritic.cells
ARHGAP15	T.cells.CD4
ARHGAP17	T.cells.CD8
ARHGAP18	Mast.cells
ARHGAP25	Mast.cells
ARHGAP27	Macrophages
ARHGAP30	T.cells.CD4
ARHGAP31	Endothelial.cells
ARHGAP4	T.cells.CD4
ARHGAP9	T.cells.CD8
ARHGDIB	T.cells.CD4
ARHGEF1	T.cells.CD4
ARHGEF10L	Macrophages
ARHGEF15	Endothelial.cells
ARHGEF17	CAFs
ARHGEF2	Macrophages
ARHGEF3	T.cells.CD8
ARHGEF40	Macrophages
ARHGEF6	Mast.cells
ARHGEF7	Endothelial.cells
ARID3B	B.cells
ARID4A	T.cells.CD4
ARL16	T.cells.CD8
ARL17B	Dendritic.cells
ARL3	Mast.cells
ARL4A	T.cells.CD4
ARL4C	T.cells.CD8
ARL4D	CAFs
ARL5A	Macrophages
ARL5B	Mast.cells
ARL6IP6	Dendritic.cells
ARMC5	Endothelial.cells
ARMC6	Endothelial.cells
ARMC8	Mast.cells
ARNT	Myocytes
ARPC5L	T.cells.CD8
ARPP21	Myocytes
ARRB2	Macrophages
ARRDC1	T.cells.CD8
ARSA	B.cells
ARSB	Macrophages
ASAH1	Mast.cells
ASAP1	Endothelial.cells
ASAP3	Myocytes
ASB5	Myocytes
ASB8	Myocytes
ASB9	Endothelial.cells
ASCC2	Macrophages
