Gene Symbol	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells
DMKN	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	226.61
DMPK	1.00	1.00	1.00	1.00	1.00	1.00	156.52	78.56	1.00	1.00
DNAJB5	1.00	1.00	1.00	1.00	1.00	1.00	66.61	1.00	1.00	1.00
DNAJC1	141.22	1.00	1.00	1.00	61.09	68.26	1.00	45.93	38.48	30.83
DNAJC11	1.00	1.00	1.00	1.00	1.00	1.00	142.00	1.00	1.00	35.52
DNAJC17	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44.30
DNAJC2	1.00	1.00	1.00	1.00	1.00	1.00	89.73	1.00	84.55	50.31
DNAJC9	62.48	276.47	1.00	1.00	1.00	553.95	1.00	1.00	1.00	124.31
DNASE1L3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	425.38	1.00
DNM2	1.00	1.00	1.00	142.46	1.00	1.00	6.96	1.00	1.00	1.00
DNMT1	1.00	1.00	71.56	42.67	32.97	1.00	1.00	1.00	1.00	31.72
DNPH1	377.94	1.00	273.35	66.44	1.00	1.00	112.45	128.87	1.00	176.80
DOCK10	1.00	77.02	162.74	50.93	119.36	105.89	1.00	1.00	1.00	1.00
DOCK11	1.00	1.00	1.00	22.66	1.00	32.45	1.00	1.00	1.00	1.00
DOCK2	43.01	138.47	115.05	73.12	63.36	25.53	1.00	1.00	1.00	1.00
DOCK6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	142.62	1.00
DOCK8	1.00	128.77	136.05	51.13	85.19	1.00	1.00	1.00	1.00	1.00
DOCK9	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67.08	1.00
DOK1	1.00	1.00	1.00	38.90	1.00	106.14	1.00	1.00	1.00	1.00
DOK2	1.00	285.78	335.57	250.70	1.00	76.91	1.00	1.00	1.00	1.00
DOK3	146.73	1.00	1.00	150.46	1.00	103.41	1.00	1.00	1.00	1.00
DOM3Z	89.04	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
DPAGT1	163.28	1.00	1.00	59.25	1.00	1.00	1.00	1.00	70.02	44.21
DPCD	1.00	1.00	1.00	34.34	1.00	1.00	64.11	1.00	1.00	97.42
DPH2	1.00	1.00	1.00	24.71	1.00	1.00	1.00	1.00	1.00	63.31
DPM2	123.89	1.00	1.00	14.80	1.00	1.00	1.00	46.85	86.18	94.60
DPM3	170.96	1.00	1.00	1.00	1.00	33.42	1.00	1.00	1.00	1.00
DPT	1.00	1.00	1.00	1.00	1.00	1.00	1.00	203.46	1.00	1.00
DPYSL2	1.00	1.00	1.00	175.94	529.63	85.02	1.00	220.74	336.67	1.00
DPYSL3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51.57	1.00	1.00
DRD2	1.00	1.00	1.00	1.00	1.00	101.39	1.00	1.00	1.00	1.00
DSC2	1.00	1.00	1.00	1.00	27.67	1.00	1.00	1.00	1.00	164.72
DSC3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	91.60
DSE	1.00	1.00	1.00	67.71	1.00	1.00	1.00	1.00	1.00	1.00
DSG2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	74.69
DSG3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	272.51
DSN1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51.90	1.00
DSP	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	314.84
DST	1.00	1.00	1.00	1.00	1.00	1.00	71.62	39.84	43.30	111.09
DSTN	117.05	1.00	1.00	43.27	127.63	172.02	223.44	2233.86	740.45	513.50
DTNA	1.00	1.00	1.00	1.00	1.00	1.00	95.40	1.00	1.00	1.00
DTNBP1	1.00	1.00	1.00	25.60	1.00	170.79	1.00	1.00	1.00	1.00
DTWD1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48.30	22.99	1.00
DTYMK	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	80.93	120.77
DUOXA1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	113.22
DUS3L	1.00	1.00	1.00	136.51	185.47	107.12	1.00	1.00	60.82	37.26
DUSP10	1.00	170.62	222.11	37.94	43.16	743.30	205.60	1.00	1.00	54.76
DUSP11	1.00	1.00	1.00	32.50	1.00	1.00	1.00	1.00	1.00	97.14
DUSP12	1.00	1.00	1.00	132.56	38.77	1.00	1.00	1.00	51.94	38.48
DUSP13	1.00	1.00	1.00	1.00	1.00	1.00	268.66	1.00	1.00	1.00
DUSP2	1006.24	3942.27	2444.18	1490.88	53.77	571.07	1.00	1.00	1.00	137.81
DUSP23	1.00	1.00	1.00	60.13	1.00	1.00	1068.44	129.51	1298.68	126.49
DUSP26	1.00	1.00	1.00	1.00	1.00	1.00	295.85	1.00	1.00	1.00
DUSP27	1.00	1.00	1.00	1.00	1.00	1.00	88.79	1.00	1.00	1.00
DUSP4	63.96	726.37	387.28	42.00	254.65	60.49	53.56	1.00	1.00	1.00
DUSP5	64.90	1.00	1.00	1.00	157.21	1.00	1.00	1.00	1.00	1.00
DUSP6	1.00	1.00	1.00	247.43	1.00	955.62	1.00	1.00	664.51	145.11
DUSP7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45.60
DVL2	1.00	1.00	1.00	1.00	1.00	44.87	1.00	1.00	1.00	1.00
DYNLT3	1.00	1.00	1.00	41.99	1.00	1.00	1.00	75.99	1.00	36.88
DYSF	1.00	1.00	1.00	1.00	1.00	1.00	83.22	1.00	77.29	1.00
E2F4	1.00	1.00	1.00	72.47	1.00	1.00	1.00	1.00	93.70	37.10
E4F1	1.00	1.00	1.00	84.21	1.00	1.00	1.00	1.00	1.00	25.51
EAF2	161.84	1.00	1.00	66.85	74.09	1.00	1.00	1.00	1.00	1.00
EAPP	1.00	175.81	1.00	1.00	1.00	197.71	1.00	112.74	170.01	98.74
EBAG9	77.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55.76	46.86
EBF1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	304.73	39.40	1.00
EBF2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55.64	1.00	1.00
EBI3	1.00	1.00	1.00	49.66	61.53	1.00	1.00	1.00	1.00	1.00
ECE1	101.89	1.00	1.00	1.00	70.08	1.00	1.00	105.47	339.40	41.00
ECE2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47.13
ECHDC1	1.00	1.00	1.00	19.77	1.00	100.30	99.52	1.00	1.00	43.48
ECHDC2	1.00	1.00	1.00	1.00	1.00	1.00	64.70	77.28	1.00	1.00
ECI1	1.00	1.00	1.00	1.00	1.00	1.00	146.08	1.00	1.00	1.00
ECI2	168.84	1.00	1.00	61.61	1.00	1.00	1.00	122.18	257.74	64.81
ECM1	1.00	1.00	1.00	19.87	1.00	1.00	1.00	110.41	1.00	169.33
ECM2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59.56	1.00	1.00
ECSCR	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	356.10	1.00
ECSIT	1.00	1.00	1.00	1.00	1.00	1.00	108.91	1.00	1.00	85.18
EDEM2	115.50	1.00	1.00	1.00	1.00	118.47	1.00	1.00	1.00	41.15
EDEM3	34.37	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
EDIL3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	79.64	1.00	1.00
EDN1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	164.99	1.00
EDNRA	1.00	1.00	1.00	1.00	1.00	1.00	1.00	138.80	1.00	1.00
EED	1.00	142.75	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
EEF2K	1.00	1.00	1.00	1.00	1.00	36.22	1.00	1.00	1.00	1.00
EEFSEC	1.00	1.00	1.00	39.88	1.00	165.90	87.83	1.00	40.81	37.05
EFEMP1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	402.07	1.00	84.22
EFEMP2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	115.00	1.00	1.00
EFHA1	1.00	1.00	1.00	1.00	1.00	1.00	88.77	1.00	1.00	29.81
EFHD1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	117.51	1.00	1.00
EFNA1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	189.59	1206.22	763.97
EFNA5	1.00	1.00	1.00	1.00	1.00	1.00	40.24	1.00	1.00	22.67
EFNB1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	164.46	44.13
EGFL7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	525.52	1.00
EGFL8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	57.85	1.00
EGFR	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60.14
EGR2	1.00	1.00	1.00	358.31	62.49	1.00	1.00	191.42	46.56	56.62
EGR3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	49.97	1.00	1.00
EHD2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	328.28	236.25	116.63
EHD3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65.97	1.00
EHD4	128.46	1.00	1.00	107.70	8.14	55.98	1.00	1.00	622.20	94.10
EHF	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	94.45
EHMT1	233.48	1.00	1.00	22.97	8.71	1.00	1.00	1.00	80.56	19.31
EIF1AD	50.77	1.00	125.62	1.00	1.00	49.70	30.33	41.88	24.53	36.74
EIF2AK3	80.33	1.00	1.00	33.62	1.00	1.00	1.00	1.00	1.00	1.00
EIF2AK4	73.37	1.00	1.00	1.00	1.00	1.00	1.00	1.00	26.82	16.32
EIF2B2	1.00	1.00	1.00	31.85	1.00	1.00	1.00	1.00	112.17	78.21
EIF2B3	1.00	1.00	1.00	1.00	1.00	1.00	202.63	1.00	63.88	50.31
EIF2B5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	87.32	43.43
EIF2D	1.00	1.00	1.00	106.69	1.00	1.00	20.10	1.00	1.00	33.61
EIF3J	54.71	1.00	1.00	1.00	1.00	1.00	4.53	1.00	11.73	39.75
ELF1	60.85	464.62	563.57	62.56	61.85	278.34	1.00	1.00	116.79	26.60
ELF3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66.68
ELK2AP	27436.60	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ELL	87.90	1.00	1.00	1.00	1.00	1.00	61.74	1.00	1.00	1.00
ELMO2	1.00	1.00	1.00	1.00	129.52	80.66	1.00	1.00	1.00	25.85
ELN	1.00	1.00	1.00	1.00	1.00	1.00	69.98	63.60	1.00	1.00
ELOF1	81.42	1.00	1.00	36.04	1.00	1.00	1.00	68.59	1.00	139.41
ELOVL1	1.00	1.00	1.00	150.74	1.00	1.00	1.00	97.12	378.56	197.03
ELOVL5	1.00	231.31	216.25	1.00	1.00	310.07	1.00	171.64	45.14	34.97
ELOVL7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66.70	1.00
ELTD1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	364.60	1.00
EMB	1.00	233.22	217.02	33.56	113.38	1.00	1.00	1.00	1.00	1.00
EMCN	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	162.35	1.00
EMG1	1.00	1.00	1.00	40.52	1.00	1.00	1.00	91.19	1.00	143.59
EML4	1.00	195.98	347.62	58.78	32.73	1.00	1.00	1.00	24.13	15.01
EMP1	1.00	1.00	1.00	73.68	1.00	1.00	1.00	126.50	829.42	109.58
EMR2	1.00	1.00	1.00	18.09	1.00	159.65	1.00	1.00	1.00	1.00
ENDOD1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	91.13	46.19	37.88
ENG	1.00	1.00	1.00	73.84	143.06	1.00	1.00	157.54	1494.71	1.00
ENO2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	73.92	1.00	1.00
ENO3	1.00	1.00	1.00	1.00	145.94	1.00	1926.32	1.00	1.00	1.00
ENPP2	1.00	1.00	1.00	211.78	1.00	175.02	1.00	78.01	143.87	1.00
ENPP3	1.00	1.00	1.00	1.00	1.00	76.81	1.00	1.00	1.00	1.00
ENTPD4	33.51	1.00	90.79	1.00	1.00	1.00	41.73	1.00	31.37	1.00
EOGT	1.00	1.00	1.00	28.97	69.10	1.00	89.71	1.00	32.54	1.00
EP300	1.00	1.00	1.00	1.00	36.43	1.00	1.00	1.00	1.00	1.00
EPAS1	1.00	1.00	1.00	1.00	1.00	92.54	1.00	335.27	1159.12	44.41
EPB41	1.00	95.13	179.77	1.00	1.00	1.00	1.00	1.00	1.00	1.00
EPB41L2	1.00	1.00	1.00	1.00	57.47	1.00	1.00	59.69	1.00	1.00
EPB41L3	1.00	1.00	1.00	38.38	1.00	1.00	1.00	1.00	1.00	1.00
EPCAM	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	95.84
EPHA3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	48.82	1.00	1.00
EPM2AIP1	64.48	1.00	1.00	1.00	12.10	27.61	1.00	1.00	1.00	1.00
EPS8	1.00	1.00	1.00	1.00	1.00	1.00	66.85	235.73	50.95	1.00
EPS8L2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44.09
EPSTI1	1.00	1.00	1.00	76.54	184.49	1.00	1.00	1.00	1.00	40.00
ERAP1	47.65	150.56	1.00	66.63	155.04	28.24	1.00	1.00	1.00	21.88
ERAP2	54.30	109.01	190.27	1.00	1.00	1.00	1.00	1.00	84.83	22.44
ERCC5	1.00	1.00	151.67	1.00	34.52	1.00	1.00	1.00	1.00	1.00
ERG	1.00	1.00	1.00	1.00	1.00	55.85	1.00	1.00	79.36	1.00
ERICH1	1.00	1.00	1.00	1.00	644.12	1.00	1.00	1.00	52.76	1.00
ERLEC1	401.30	1.00	1.00	1.00	90.00	1.00	1.00	126.70	51.92	51.39
ERLIN1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56.83
ERN1	28.61	1.00	1.00	1.00	22.71	1.00	1.00	1.00	1.00	1.00
ERO1L	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	87.93
ERRFI1	1.00	1.00	1.00	132.45	1.00	1.00	1.00	213.16	152.03	148.52
ERVK13.1	1.00	1.00	1.00	1.00	13.51	1.00	1.00	1.00	1.00	1.00
ESAM	1.00	1.00	1.00	1.00	1.00	1.00	1.00	205.36	1571.61	1.00
ESRG	1.00	1.00	1.00	1.00	1.00	36.81	1.00	1.00	1.00	53.66
ESRP1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	91.21
ETS1	1.00	167.56	205.41	1.00	1.00	1.00	1.00	1.00	34.09	1.00
ETV3	1.00	1.00	1.00	1.00	83.65	1.00	1.00	1.00	1.00	1.00
ETV5	1.00	1.00	1.00	31.23	1.00	1.00	1.00	1.00	1.00	1.00
ETV6	44.99	1.00	1.00	58.04	137.04	112.24	1.00	52.49	1.00	13.87
EVA1C	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	102.06	1.00
EVI2A	1.00	98.03	160.55	26.21	1.00	36.64	1.00	1.00	1.00	1.00
EVI2B	149.65	273.02	249.21	164.06	1.00	57.02	1.00	1.00	1.00	1.00
EVL	1.00	244.90	197.90	1.00	1.00	1.00	1.00	1.00	65.30	1.00
EXOC3	1.00	1.00	1.00	1.00	1.00	55.82	86.90	1.00	1.00	30.83
EXOC7	1.00	1.00	1.00	46.98	1.00	1.00	150.24	68.32	34.47	35.20
EXOSC1	53.47	1.00	1.00	80.91	1.00	72.46	1.00	1.00	1.00	59.36
EXOSC4	1.00	1.00	1.00	1.00	5.86	1.00	76.99	1.00	106.46	201.19
EXOSC5	1.00	1.00	1.00	46.65	1.00	97.34	1.00	1.00	1.00	114.01
EXOSC6	1.00	44.40	55.67	1.00	1.00	1.00	29.86	1.00	18.68	15.81
EXOSC7	1.00	1.00	1.00	78.16	73.63	1.00	1.00	1.00	1.00	108.48
EXTL3	1.00	1.00	1.00	1.00	1.00	42.38	1.00	1.00	1.00	1.00
F13A1	1.00	1.00	1.00	1396.23	1.00	1.00	107.06	1.00	1.00	1.00
F2R	1.00	1.00	1.00	1.00	1.00	1.00	1.00	138.96	254.72	1.00
F2RL1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	78.75
F2RL3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	157.98	1.00
F3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41.63	1.00	145.22
FAAH2	74.50	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FABP3	1.00	1.00	1.00	52.78	1.00	1.00	543.42	1.00	1.00	1.00
FABP4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	100.98	1.00	821.25
FABP5	1.00	291.79	1.00	65.51	101.52	1.00	1.00	137.15	326.56	5288.97
FADD	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	36.73	235.40
FADS1	1.00	1.00	1.00	18.00	1.00	86.07	1.00	60.48	1.00	1.00
FADS2	1.00	1.00	1.00	1.00	1.00	61.99	1.00	1.00	1.00	1.00
FAH	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53.02
FAHD1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43.75	86.98
FAIM	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52.28
FAIM3	1.00	185.35	467.90	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FAM102A	106.92	147.42	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FAM103A1	1.00	1.00	1.00	1.00	107.94	1.00	144.09	51.21	1.00	78.99
FAM104A	1.00	157.21	1.00	1.00	1.00	1.00	1.00	56.98	43.54	40.12
FAM105A	1.00	1.00	1.00	100.74	1.00	44.20	1.00	1.00	1.00	1.00
FAM107A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	210.57	1.00
FAM107B	101.10	164.19	193.09	1.00	23.13	27.67	1.00	1.00	1.00	1.00
FAM108B1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60.28	1.00
FAM110A	1.00	1.00	1.00	74.67	1.00	91.56	1.00	1.00	1.00	23.05
FAM110B	1.00	1.00	1.00	1.00	1.00	1.00	1.00	41.76	1.00	1.00
FAM118A	1.00	155.78	1.00	1.00	189.27	1.00	1.00	1.00	1.00	1.00
FAM129A	1.00	132.53	68.15	1.00	61.65	1.00	1.00	45.49	1.00	1.00
FAM134B	1.00	1.00	1.00	1.00	1.00	1.00	329.96	1.00	1.00	1.00
FAM134C	33.24	1.00	133.74	1.00	1.00	1.00	1.00	59.86	1.00	40.46
FAM136A	111.37	1.00	1.00	1.00	1.00	1.00	1.00	1.00	9.28	73.30
FAM13A	62.59	1.00	1.00	1.00	115.94	1.00	88.28	1.00	1.00	1.00
FAM13B	1.00	1.00	1.00	1.00	1.00	1.00	21.28	1.00	1.00	1.00
FAM13C	1.00	1.00	1.00	1.00	1.00	1.00	76.31	83.08	1.00	1.00
FAM167B	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	227.28	1.00
FAM173A	1.00	1.00	1.00	99.34	1.00	1.00	1.00	1.00	1.00	1.00
FAM174A	1.00	1.00	1.00	1.00	1.00	1.00	108.97	1.00	50.13	33.39
FAM174B	1.00	1.00	1.00	1.00	1.00	1.00	70.81	1.00	1.00	1.00
FAM178A	1.00	1.00	1.00	57.45	1.00	1.00	1.00	1.00	1.00	1.00
FAM188A	1.00	1.00	1.00	1.00	1.00	45.08	1.00	1.00	1.00	1.00
FAM198B	1.00	1.00	1.00	24.65	1.00	1.00	1.00	1.00	128.06	1.00
FAM206A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	79.57
FAM207A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66.81	25.28
FAM213A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53.59	267.44	228.88
FAM214B	1.00	1.00	1.00	1.00	22.51	1.00	1.00	1.00	36.58	1.00
FAM215A	21.74	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FAM21C	1.00	1.00	1.00	138.92	74.62	1.00	1.00	1.00	1.00	1.00
FAM222B	1.00	1.00	1.00	1.00	1.00	1.00	24.88	1.00	1.00	1.00
FAM26F	1.00	1.00	1.00	1047.60	1.00	1.00	1.00	1.00	1.00	1.00
FAM3C	93.37	1.00	1.00	30.45	1.00	1.00	1.00	1.00	66.96	29.36
FAM43A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	84.57	1.00
FAM46C	1019.46	482.65	584.62	1.00	76.41	1.00	1.00	49.81	1.00	1.00
FAM49A	203.83	1.00	1.00	191.47	499.44	1.00	1.00	1.00	1.00	1.00
FAM53B	1.00	1.00	1.00	1.00	1.00	33.34	1.00	1.00	1.00	1.00
FAM53C	52.55	1.00	1.00	41.86	1.00	151.61	1.00	1.00	1.00	1.00
FAM60A	56.61	127.21	1.00	1.00	327.88	1.00	1.00	1.00	81.00	70.43
FAM65B	1.00	234.99	244.15	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FAM69A	80.98	1.00	1.00	1.00	43.44	1.00	1.00	1.00	1.00	42.39
FAM69B	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58.59	1.00
FAM73A	1.00	1.00	1.00	1.00	1.00	1.00	32.10	1.00	1.00	1.00
FAM83A	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	208.79
FAM96A	134.23	1.00	1.00	133.55	286.96	1.00	48.63	1.00	37.29	142.54
FAM98A	1.00	1.00	1.00	1.00	1.00	1.00	110.79	1.00	53.81	24.38
FAP	1.00	1.00	1.00	1.00	1.00	1.00	1.00	99.53	1.00	1.00
FARP2	1.00	1.00	1.00	1.00	29.36	1.00	1.00	1.00	21.90	1.00
FARSB	1.00	1.00	1.00	1.00	1.00	1.00	30.91	58.79	1.00	103.28
FAS	1.00	163.47	186.21	1.00	1.00	1.00	1.00	101.42	1.00	34.87
FBLN1	1.00	1.00	1.00	1.00	1.00	1.00	102.74	548.45	1.00	70.62
FBLN2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	188.89	1.00	1.00
FBLN5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	143.38	1.00	1.00
FBP1	1.00	1.00	1.00	153.50	1.00	91.96	1.00	1.00	1.00	1.00
FBXL15	55.38	1.00	1.00	35.65	1.00	1.00	1.00	1.00	6.48	1.00
FBXL5	1.00	1.00	1.00	82.56	1.00	148.42	354.97	126.93	55.08	42.41
FBXO10	1.00	1.00	1.00	1.00	1.00	1.00	86.06	1.00	1.00	1.00
FBXO18	54.59	1.00	1.00	8.33	1.00	1.00	1.00	1.00	16.54	1.00
FBXO2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	86.58
FBXO3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51.98
FBXO31	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	126.39	1.00
FBXO32	54.89	1.00	1.00	1.00	1.00	1.00	152.57	106.10	1.00	44.51
FBXO34	1.00	1.00	190.10	1.00	7.58	176.24	74.98	1.00	1.00	24.79
FBXW11	39.75	1.00	1.00	1.00	20.92	1.00	104.95	46.53	17.45	1.00
FBXW2	1.00	1.00	1.00	25.68	49.78	1.00	1.00	1.00	18.27	15.87
FBXW7	161.30	1.00	1.00	1.00	1.00	1.00	85.61	1.00	1.00	17.46
FBXW9	1.00	1.00	1.00	1.00	1.00	1.00	8.03	1.00	1.00	102.40
FCAR	1.00	11.15	13.00	241.31	1.00	1.00	1.00	1.00	1.00	1.00
FCER1A	1.00	1.00	1.00	296.18	1.00	798.22	1.00	1.00	1.00	1.00
FCER1G	1.00	1.00	1.00	3720.25	234.95	2178.61	1.00	1.00	1.00	1.00
FCGR1A	1.00	1.00	1.00	138.39	1.00	1.00	1.00	1.00	1.00	1.00
FCGR1B	1.00	1.00	1.00	40.86	1.00	1.00	1.00	1.00	1.00	1.00
FCGR2A	1.00	1.00	1.00	2380.45	1.00	138.67	1.00	1.00	1.00	1.00
FCGR2B	184.88	1.00	1.00	422.15	1.00	1.00	1.00	1.00	1.00	1.00
FCGR2C	1.00	1.00	1.00	115.51	1.00	1.00	1.00	1.00	1.00	1.00
FCGR3A	1.00	1.00	1.00	1727.53	1.00	1.00	1.00	1.00	1.00	1.00
FCGRT	99.41	1.00	1.00	2010.31	1.00	80.46	1.00	201.76	583.53	61.42
FCHSD2	39.54	1.00	1.00	20.14	1.00	1.00	17.34	1.00	1.00	1.00
FCRL2	125.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FCRL3	1.00	1.00	177.82	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FCRL5	278.60	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FCRLA	243.81	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FDPSL2A	1.00	28.14	21.26	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FDX1	1.00	1.00	1.00	14.78	61.82	72.79	1.00	1.00	29.69	1.00
FECH	1.00	1.00	1.00	1.00	1.00	1.00	44.60	1.00	1.00	1.00
FEM1C	94.96	1.00	1.00	1.00	1.00	33.99	1.00	1.00	120.89	1.00
FEN1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	45.73
FER	1.00	1.00	1.00	1.00	1.00	171.24	1.00	1.00	1.00	1.00
FERMT2	1.00	1.00	1.00	1.00	1.00	107.63	95.60	91.47	51.33	1.00
FERMT3	38.62	149.58	186.76	200.35	104.59	194.88	1.00	1.00	1.00	1.00
FES	1.00	1.00	1.00	423.01	1.00	83.03	1.00	1.00	209.67	1.00
FEZ1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	128.84	1.00	1.00
FGD2	36.19	1.00	1.00	74.29	93.88	1.00	1.00	1.00	1.00	1.00
FGD3	1.00	100.60	238.95	1.00	1.00	1.00	1.00	1.00	1.00	1.00
FGD5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	99.54	1.00
FGF13	1.00	1.00	1.00	1.00	1.00	1.00	104.29	1.00	1.00	1.00
FGF7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	113.75	1.00	1.00
FGFBP1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	241.27
FGFR1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	43.96	1.00	1.00
FGL2	1.00	1.00	1.00	336.30	1.00	1.00	1.00	1.00	1.00	1.00
FGR	1.00	1.00	1.00	272.44	1.00	1.00	1.00	1.00	86.50	1.00
FHL1	1.00	1.00	1.00	1.00	1.00	247.21	2163.31	569.21	46.98	1.00
FHL2	1.00	1.00	1.00	1.00	1.00	1.00	423.22	81.34	1.00	275.92
FHL3	1.00	1.00	1.00	27.77	1.00	181.70	367.46	73.25	1.00	25.26
FHL5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	320.66	1.00	1.00
FIBIN	1.00	1.00	1.00	1.00	1.00	1.00	1.00	85.01	1.00	1.00
FILIP1	1.00	1.00	1.00	1.00	1.00	1.00	19.49	49.37	116.59	1.00
FILIP1L	1.00	1.00	1.00	123.87	100.17	1.00	35.00	217.58	106.76	1.00
FKBP10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	83.37	97.10	1.00
