Gene Symbol	B cells	T cells CD8	T cells CD4	Macrophages	Dendritic cells	Mast cells	Myocytes	CAFs	Endothelial cells	Malignant cells
ADAM28	1.00	1.00	1.00	164.19	1.00	1.00	1.00	1.00	1.00	1.00
ADAM8	1.00	1.00	1.00	51.30	138.22	1.00	1.00	1.00	1.00	1.00
ADAM9	1.00	1.00	1.00	222.28	1.00	1.00	1.00	106.19	1.00	62.38
ADAMDEC1	1.00	1.00	1.00	115.16	1.00	1.00	1.00	1.00	1.00	1.00
ADAMTS1	1.00	1.00	1.00	1.00	1.00	1.00	46.56	1887.67	366.04	55.76
ADAMTS4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	523.51	138.81	1.00
ADCK3	51.44	1.00	1.00	44.03	56.20	1.00	366.67	1.00	84.26	1.00
ADCK5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55.87
ADCY3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63.48	1.00	1.00
ADCY4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	561.77	1.00
ADCY7	1.00	1.00	1.00	1.00	63.01	85.50	1.00	1.00	1.00	1.00
ADCYAP1	1.00	1.00	1.00	1.00	1.00	355.53	1.00	1.00	1.00	1.00
ADD3	1.00	1.00	141.83	1.00	10.14	98.80	39.43	54.31	61.87	29.41
ADH5	1.00	1.00	1.00	1.00	96.07	1.00	82.33	131.11	46.05	94.72
ADIRF	1.00	1.00	1.00	1.00	1.00	1.00	11.38	1197.05	726.07	152.32
ADK	1.00	1.00	1.00	42.69	120.39	1.00	1.00	1.00	16.47	163.13
ADM	1.00	1.00	1.00	391.55	1.00	1.00	98.46	364.25	429.89	360.86
ADM5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	137.84	1.00
ADORA2A	66.67	1.00	1.00	1.00	168.68	1.00	1.00	1.00	1.00	1.00
ADORA2B	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	66.48
ADORA3	1.00	1.00	1.00	285.33	1.00	270.01	1.00	1.00	1.00	1.00
ADPRH	1.00	1.00	1.00	1.00	1.00	128.85	72.83	1.00	1.00	1.00
ADRA1A	1.00	1.00	12.39	1.00	1.00	1.00	1.00	1.00	1.00	1.00
ADRB2	193.20	1.00	1.00	36.46	1.00	352.77	235.06	1.00	93.11	135.70
ADRBK2	1.00	1.00	1.00	1.00	68.94	1.00	1.00	1.00	1.00	1.00
ADSL	1.00	1.00	1.00	53.19	2.32	218.01	219.86	68.50	67.63	132.39
AEBP1	1.00	1.00	1.00	1.00	1.00	1.00	1.00	256.48	1.00	1.00
AEN	62.28	1.00	1.00	1.00	1.00	1.00	1.00	1.00	77.90	28.46
AES	1.00	93.66	122.19	1.00	15.09	1.00	15.36	1.00	59.88	1.00
AFAP1L1	1.00	1.00	1.00	1.00	1.00	1.00	129.03	1.00	182.50	1.00
AFTPH	66.42	1.00	1.00	1.00	53.05	1.00	1.00	1.00	1.00	20.02
AGA	70.71	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52.49
AGAP11	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61.93	1.00	1.00
