Genes	cell_type
CREB5	Neu
CRIP1	CD8
CRIP2	cancer
CRNKL1	NK
CRTAM	M0
CSF1	cancer
CSF1R	Mono
CSF3R	Neu
CSNK2B	cancer
CSPG4	M0
CST6	M2
CSTA	M0
CTBP2	NK
CTNNAL1	M2
CTSD	cancer
CTSL	M2
CTSV	M2
CTSW	NK
CTSZ	M2
CTTN	cancer
CUL9	CD4
CX3CR1	NK
CXADR	cancer
CXCL1	Neu
CXCL10	Mono
CXCL16	M1
CXCL3	Mono
CXCL5	M1
CXCR1	Neu
CXCR2	Neu
CXCR3	CD8
CXCR6	CD8
CYB5A	M2
CYBB	M1
CYC1	M1
CYFIP1	M0
CYGB	cancer
CYP19A1	M1
CYP1B1	M1
CYP27A1	M0
CYP27B1	M1
CYP2U1	B
CYP4F3	Neu
CYTH1	B
DAB2	M0
DAPK1	Mono
DCAF4	B
DCHS1	CD4
DCPS	NK
DCSTAMP	M2
DCUN1D2	B
DDAH2	cancer
DDR1	cancer
DEFA1	Neu
DEFA4	Neu
DENND5B	B
DERL3	B
DGAT2	Neu
DGKG	M2
DHODH	cancer
DHRS11	M2
DHRS3	cancer
DHRS9	M2
DHTKD1	B
DIABLO	M2
DIRAS1	M0
DIXDC1	M0
DKK3	cancer
DLEU7	Mono
DLG3	CD8
DLX2	cancer
DNASE1L2	cancer
DNASE1L3	M2
DNASE2B	M0
DNMBP	cancer
DNPH1	cancer
DOCK3	M0
DOCK4	Neu
DOCK5	Neu
DOK2	NK
DOK3	Neu
DPCD	cancer
DPH5	CD8
DPP4	CD8
DPYSL2	cancer
DSC2	Neu
DSEL	CD8
DSP	cancer
DST	cancer
DTNA	M2
DTNB	cancer
DTX1	B
DTX3	NK
DUS2	B
DUSP13	M2
DYSF	Neu
E2F5	B
E4F1	NK
EBF1	B
EBF4	NK
EBI3	M1
ECHDC2	CD4
EDA	CD4
EDARADD	CD8
EDN1	M1
EEPD1	M0
EFHC2	NK
EGFL7	M2
EGR3	Mono
EHMT2	cancer
EIF1AX	M1
ELANE	Neu
ELOVL3	Mono
ELOVL4	CD8
EMILIN1	M1
EMP1	M0
ENDOD1	NK
ENDOG	M1
ENG	cancer
ENPP5	NK
ENTHD1	M0
ENTPD1	Neu
ENTPD2	cancer
EOMES	NK
EPB41L1	cancer
EPB41L3	Mono
EPHA1	CD4
EPHA4	CD8
EPHX2	CD4
EPHX3	cancer
EPPK1	CD4
ERI1	M2
ERI2	M0
ESM1	CD8
ESPN	cancer
ETHE1	cancer
ETNK2	M2
ETS1	CD4
ETS2	cancer
EVA1C	CD8
EXOSC4	M1
F2R	NK
F2RL1	Neu
F3	cancer
F5	Neu
FAAH2	CD4
FABP3	M2
FABP4	M2
FABP5	M2
FADS3	cancer
FAM124B	Mono
FAM153B	CD4
FAM160A2	B
FAM167B	cancer
FAM169A	B
FAM20A	M1
FAM20C	M0
FAM3C	B
FAM49A	Mono
FARP1	cancer
FASLG	NK
FASN	cancer
FASTK	B
FAT4	NK
FBLN5	cancer
FBLN7	CD4
FBXL16	CD4
FBXO15	M2
FBXO2	NK
FCAR	Neu
FCER2	B
FCGR1A	M1
FCGR1B	Neu
FCGR2B	B
FCGR3B	Neu
FCRL1	B
FCRL2	B
FCRL3	B
FCRL5	B
FDX1	M0
FFAR1	B
FFAR2	Neu
FGD2	B
FGD4	Neu
FGF9	CD8
FGFBP2	NK
FGFRL1	M2
FHIT	CD4
FILIP1L	M1
FKBP9	cancer
FLRT2	M0
FN1	cancer
FOLR3	Neu
FOSB	B
FOSL2	Neu
FOXK2	M2
FPR1	Neu
FPR2	Neu
FPR3	M1
FRMD4A	M0
FSCN1	M1
FUT7	Neu
FXYD2	CD8
FXYD7	CD4
FYCO1	cancer
FYN	CD8
FZD1	Mono
FZD2	Mono
FZR1	B
GABRA4	M2
GADD45GIP1	M1
GAL	M1
GALNT12	M2
GAPT	Neu
GAS1	NK
GAS6	cancer
GATA1	cancer
GBP4	NK
GCA	Neu
