Genes	cell_type
TCF4	B
TCF7	CD4
TCIRG1	Neu
TCL1A	B
TCN1	Neu
TCN2	M0
TDO2	M1
TESPA1	CD4
TEX30	cancer
TFDP1	cancer
TGFBI	cancer
TGFBR3	NK
TGM2	M2
THAP4	cancer
THBD	Neu
THG1L	Mono
THOP1	cancer
TIAM1	M2
TIE1	M2
TIGIT	CD8
TIMP2	cancer
TIMP3	M1
TIMP4	M0
TJP3	cancer
TKTL1	NK
TKTL2	B
TLE6	cancer
TLR10	Neu
TLR4	Neu
TLR5	Mono
TLR7	Mono
TLR8	Neu
TLX1	cancer
TLX2	B
TM4SF19	M0
TMCO3	Neu
TMEM123	cancer
TMEM132A	cancer
TMEM14B	cancer
TMEM154	Neu
TMEM176A	Mono
TMEM176B	Mono
TMEM184A	cancer
TMEM204	CD4
TMEM30A	cancer
TMEM30B	cancer
TMEM37	M0
TMEM51	M1
TMEM63C	CD8
TMEM86A	M0
TMTC2	Mono
TMUB1	cancer
TMUB2	Neu
TNC	cancer
TNF	Mono
TNFAIP2	Neu
TNFAIP6	M1
TNFRSF10C	Neu
TNFRSF11A	M2
TNFRSF13C	B
TNFRSF21	M2
TNFRSF25	CD4
TNFRSF8	Mono
TNFSF13	Mono
TNFSF14	M2
TNFSF15	M0
TNFSF9	M1
TNIP3	M1
TNK1	CD4
TNKS1BP1	cancer
TNNC1	CD4
TNNC2	cancer
TNNI2	M0
TNNT3	B
TNS3	M1
TOX	NK
TP53I3	M0
TPD52	cancer
TPD52L1	cancer
TPST2	NK
TRA2B	B
TRABD2A	CD4
TRAT1	CD4
TREM1	Neu
TREM2	M2
TREML2	Neu
TRHDE	M2
TRIB1	Neu
TRIB2	CD4
TRIM32	NK
TRIM47	M1
TRIM54	M0
TRIM7	Mono
TRMT1	cancer
TRMT5	M0
TRPM8	M2
TRUB2	M1
TSFM	M1
TSHZ2	CD4
TSKU	cancer
TSPAN18	CD4
TSPYL2	B
TSPYL5	B
TTC16	CD8
TTC24	CD8
TTN	CD4
TUBB1	Mono
TUBB6	cancer
TYK2	Neu
TYMS	cancer
TYROBP	Neu
U2AF1L4	cancer
U2AF2	B
UBASH3A	CD4
UBE2E2	M1
UBR5	B
UBXN10	CD8
UCHL1	M0
UGGT2	M0
UGT8	B
UPK3A	Mono
UQCC2	M1
URB1	CD4
USP2	M0
UST	NK
UTP20	CD4
VASH1	M2
VASN	cancer
VAV3	B
VCAN	Mono
VEGFA	cancer
VENTX	Mono
VIPR1	M2
VLDLR	M2
VNN1	Mono
VNN3	Neu
VPREB3	B
VPS18	cancer
VPS9D1	M0
VSX1	cancer
WDFY3	Neu
WDFY4	B
WDR54	NK
WFIKKN2	M2
WIPI1	M0
WLS	Neu
WNT7A	CD4
WWP2	Neu
XCL1	CD8
XCL2	NK
XKR3	M2
XXYLT1	cancer
YES1	NK
YPEL4	M0
ZAP70	NK
ZBP1	Neu
ZBTB12	cancer
ZBTB16	NK
ZBTB39	B
ZBTB47	M0
ZC3H12C	M0
ZCWPW1	B
ZDBF2	B
ZDHHC19	B
ZDHHC4	cancer
ZFYVE28	CD8
ZFYVE9	CD4
ZHX2	B
ZMYND10	NK
ZNF132	M2
ZNF157	CD4
ZNF202	CD4
ZNF205	cancer
ZNF22	NK
ZNF276	NK
ZNF354C	CD4
ZNF366	M2
ZNF382	CD4
ZNF467	Neu
ZNF483	CD4
ZNF500	CD4
ZNF503	Mono
ZNF532	B
ZNF594	B
ZNF641	Neu
ZNF667	B
ZNF668	M2
ZNF697	M0
ZNF703	cancer
ZNF711	B
ZNF74	cancer
ZNF827	CD8
ZNF853	NK
ZNRF1	cancer
ZP3	M1
ZSCAN10	CD8
ZSCAN18	B
ZSWIM5	CD8
ZXDA	B
ZXDB	B
