Genes	cell_type
CYP2U1	B
CYP4F3	Neu
CYTH1	B
DAB2	M0
DAPK1	Mono
DCAF4	B
DCHS1	CD4
DCSTAMP	M2
DCUN1D2	B
DEFA1	Neu
DEFA4	Neu
DENND5B	B
DERL3	B
DGAT2	Neu
DGKG	M2
DHRS11	M2
DHRS3	cancer
DHRS9	M2
DIRAS1	M0
DIXDC1	M0
DKK3	cancer
DLEU7	Mono
DLG3	CD8
DNASE1L3	M2
DNASE2B	M0
DNMBP	cancer
DNPH1	cancer
DOCK3	M0
DOCK4	Neu
DOCK5	Neu
DOK2	NK
DPH5	CD8
DPP4	CD8
DPYSL2	cancer
DSC2	Neu
DSEL	CD8
DSP	cancer
DST	cancer
DTNA	M2
DTX1	B
DTX3	NK
DUSP13	M2
DYSF	Neu
E2F5	B
EBF1	B
EBF4	NK
EBI3	M1
ECHDC2	CD4
EDA	CD4
EDARADD	CD8
EDN1	M1
EEPD1	M0
EFHC2	NK
EGFL7	M2
EGR3	Mono
EIF1AX	M1
ELANE	Neu
ELOVL3	Mono
ELOVL4	CD8
EMILIN1	M1
EMP1	M0
ENDOD1	NK
ENDOG	M1
ENG	cancer
ENPP5	NK
ENTHD1	M0
ENTPD1	Neu
EOMES	NK
EPB41L1	cancer
EPB41L3	Mono
EPHA1	CD4
EPHA4	CD8
EPHX2	CD4
EPPK1	CD4
ERI1	M2
ESM1	CD8
ETNK2	M2
ETS1	CD4
ETS2	cancer
EVA1C	CD8
F2R	NK
F2RL1	Neu
F3	cancer
F5	Neu
FAAH2	CD4
FABP3	M2
FABP4	M2
FABP5	M2
FADS3	cancer
FAM124B	Mono
FAM153B	CD4
FAM169A	B
FAM20A	M1
FAM20C	M0
FAM3C	B
FAM49A	Mono
FARP1	cancer
FASLG	NK
FASN	cancer
FAT4	NK
FBLN5	cancer
FBLN7	CD4
FBXL16	CD4
FBXO15	M2
FBXO2	NK
FCAR	Neu
FCER2	B
FCGR1A	M1
FCGR1B	Neu
FCGR2B	B
FCGR3B	Neu
FCRL1	B
FCRL2	B
FCRL3	B
FCRL5	B
FDX1	M0
FFAR1	B
FFAR2	Neu
FGD2	B
FGD4	Neu
FGF9	CD8
FGFBP2	NK
FGFRL1	M2
FHIT	CD4
FILIP1L	M1
FKBP9	cancer
FLRT2	M0
FN1	cancer
FOLR3	Neu
FOSB	B
FOSL2	Neu
FOXK2	M2
FPR1	Neu
FPR2	Neu
FPR3	M1
FRMD4A	M0
FSCN1	M1
FUT7	Neu
FXYD2	CD8
FXYD7	CD4
FYN	CD8
FZD1	Mono
FZD2	Mono
GABRA4	M2
GADD45GIP1	M1
GAL	M1
GALNT12	M2
GAPT	Neu
GAS1	NK
GAS6	cancer
GATA1	cancer
GBP4	NK
GCA	Neu
GCGR	cancer
GCNT4	CD4
GDF7	B
GEM	M1
GFI1	CD8
GGACT	NK
GH1	B
GIMAP5	CD8
GIMAP7	CD8
GIMAP8	CD8
GJA5	M0
GLB1L2	cancer
GLP1R	NK
GLS2	cancer
GLT1D1	Neu
GMPR	M0
GNAQ	M2
GNB4	B
GNG12	cancer
GNLY	NK
GOLGA8A	CD4
GOLT1A	cancer
GP9	Mono
GPA33	CD4
GPAT2	M0
GPATCH4	cancer
GPBAR1	Mono
GPC4	M0
GPD1	M2
GPER1	M0
GPNMB	M0
GPR15	CD8
GPR162	Mono
GPR171	CD8
GPR174	CD8
GPR18	B
GPR27	Neu
GPR84	M1
GPR85	M1
GPRASP1	CD4
GRAMD1C	Neu
GRAP2	CD8
GRASP	B
GRB10	cancer
GREM1	M1
GRIK4	NK
GSPT2	NK
GTF2H3	M1
GTF2IRD1	cancer
GTSCR1	CD4
GUCA1A	M2
GUCY2F	M0
GZMA	NK
GZMB	NK
GZMH	NK
GZMK	CD8
H6PD	M2
HABP4	CD4
HAPLN3	CD4
HBD	M0
HBEGF	M1
HBQ1	NK
HCAR3	Neu
HDX	Mono
HEG1	NK
HELZ2	Neu
HEPACAM	M2
HGF	Mono
HHEX	B
HINT2	NK
HIP1R	B
HIST1H2AL	NK
HIST1H3G	M0
HK2	M1
HKDC1	CD4
HLA-DOA	B
HLA-DOB	B
HLA-DPA1	B
HLA-DPB1	B
HLA-DQA1	B
HLA-DQA2	B
HLA-DQB2	B
HLA-E	Neu
HLX	Neu
HNMT	M1
HOMER3	cancer
HOOK1	CD4
HOXB2	NK
HOXB3	NK
HPCAL4	CD4
HPGD	M0
HRH2	Neu
HRK	B
HS3ST1	M1
HS3ST2	M2
HSD11B1	M2
HSD17B14	M0
HSH2D	Neu
HSPA6	Neu
HSPB1	cancer
HSPB6	cancer
HSPH1	M2
HTRA1	M0
HYKK	CD4
ICAM3	Neu
ICAM4	Mono
ICAM5	M2
ID1	cancer
IDO1	M1
IER3IP1	cancer
IFITM1	NK
IFNG	NK
IFNGR2	cancer
IGFBP3	cancer
IGFBP4	cancer
IGFBP6	cancer
IGFBP7	cancer
IGFLR1	CD8
IGSF9B	CD4
IKZF2	NK
IKZF3	CD8
IL10	M0
IL12A	B
IL12RB1	CD8
IL12RB2	NK
IL13RA1	Neu
IL17RB	M2
IL18	M1
IL18R1	NK
IL18RAP	NK
IL1A	Mono
IL1R2	Neu
IL1RN	M2
IL23A	CD4
IL27RA	NK
IL32	CD8
IL6	B
IL6R	Neu
IL7R	CD4
INF2	cancer
INSL3	Neu
IPCEF1	CD4
IQCE	cancer
IQSEC2	cancer
IRAK3	Mono
IRF5	Mono
IRF8	B
IRGQ	cancer
IRS1	B
ISM1	CD4
ITGA1	CD8
ITGA2B	Mono
ITGA3	M0
ITGA6	CD4
ITGB5	M0
ITGB7	CD8
ITGB8	M1
ITK	CD4
ITM2A	CD4
ITPR1	B
ITPR3	CD8
ITPRIPL1	NK
ITSN1	M0
JAG1	cancer
JAK3	Neu
JAKMIP1	CD8
JAKMIP2	M0
JAM3	B
JDP2	Mono
JUP	cancer
KCNA3	CD4
KCNE1	M2
KCNE3	Mono
KCNF1	M0
KCNG1	B
KCNH3	Mono
KCNJ15	Neu
KCNJ2	Neu
KCNJ5	M0
KCNK13	M2
KCNMB1	Mono
KCNN4	M1
KCNQ5	B
KCTD12	Mono
KCTD15	M2
KHDRBS2	B
KIAA0513	Mono
KIAA1210	M0
KIAA1324	Neu
KIAA1671	CD8
KIF13A	Neu
KIF19	NK
KIF21B	Neu
KIF4A	M0
KIF5C	CD8
KIFC3	M0
KIR2DL3	NK
KIR3DL1	NK
KIR3DX1	NK
KITLG	cancer
KLF12	CD4
KLF8	B
KLHL6	M0
KLK4	M0
KLRB1	NK
KLRC1	NK
KLRC2	NK
KLRC3	NK
KLRC4	NK
KLRD1	NK
KLRF1	NK
KLRG1	CD8
KLRK1	NK
KMO	M1
KRT2	NK
KRT23	Neu
KRT3	M2
KRT4	M2
KRT78	M2
KRT86	NK
KYNU	M1
L3MBTL4	NK
LAG3	CD8
LAMA5	cancer
LAMB2	cancer
LAMB3	cancer
LAMC1	M2
LAT2	NK
LAX1	NK
LBH	CD8
LBX2	NK
LCK	CD8
LDHAL6B	M2
LDHB	cancer
LDHD	M0
LDLRAD3	Mono
LDOC1	cancer
LEF1	CD4
LGALS2	Mono
LGALSL	M0
LGR6	NK
LHFPL2	cancer
LILRA1	Mono
LILRA2	M2
LILRA6	Mono
LILRB2	Mono
LILRB3	Neu
LIM2	NK
LIMD1	B
LIN37	Neu
LIN7A	Neu
LINGO1	M2
LINGO2	NK
LMBR1L	B
LMNA	cancer
LMO2	M2
LONRF3	M2
LPAR3	CD8
LPCAT2	Neu
LPL	M2
LRFN2	NK
LRFN4	M2
LRG1	Neu
LRIG1	cancer
LRP1	Mono
LRP3	M0
LRRC25	Neu
LRRC4	Neu
LRRK1	Mono
LRRK2	Neu
LRRN3	CD4
LSR	cancer
LTA	CD4
LY86	M0
LY9	B
LY96	M0
LYN	Neu
LYPD6B	B
LYZ	Mono
MAF	M2
MAFB	Mono
MAFK	cancer
MAGEE1	CD8
MAL	CD4
MAN1C1	CD4
MANEAL	M2
MANSC1	Neu
MAOA	M2
MAP2	B
MAP3K9	B
MAP4K1	CD8
MAP9	B
MARC1	M2
MARCH1	Mono
MARCH9	B
MARCKS	M1
MARCO	M1
MARVELD1	Mono
MATK	NK
MATN1	B
MB21D2	CD4
MBNL2	cancer
MBNL3	B
MCF2L	cancer
MCOLN3	M0
ME1	M0
ME3	M2
MEF2C	B
MEFV	Neu
MEOX1	CD4
MERTK	M0
METTL1	M1
METTL7B	M2
MFHAS1	M0
MFSD2A	Mono
MGAM	Neu
MGAT3	M2
MIA2	Neu
MICAL2	Neu
MID2	M2
MIP	M0
MITF	M0
MKKS	M2
MLF2	cancer
MLLT3	CD4
MLPH	cancer
MMD	B
MME	Neu
MMP1	M1
MMP17	B
MMP25	Neu
MMP7	M1
MMP8	M2
MMP9	M1
MOB3B	B
MOGAT1	M2
MORC4	CD4
MPEG1	Mono
MPHOSPH6	Mono
MPO	Mono
MRAS	M2
MRC1	M2
MRGPRF	M2
MRPL11	cancer
MRTO4	M1
MS4A1	B
MS4A14	Mono
MS4A3	Neu
MS4A4A	M0
MS4A6A	Mono
MS4A7	Mono
MSANTD3	M1
MSC	M1
MSI2	B
MSR1	M0
MT1E	M2
MT1G	M1
MT1H	M1
MT1M	M1
MT1X	M1
MTFP1	CD8
MTMR11	Mono
MTMR14	B
MTSS1	B
MTUS1	cancer
MYBBP1A	CD4
MYBL1	NK
MYBPC3	cancer
MYC	CD4
MYCL	Mono
MYLK	M1
MYO1G	CD8
MYO7A	M1
MYO7B	Neu
MYOF	cancer
MYOZ1	M2
MZB1	B
N4BP3	B
NAP1L2	CD8
NAP1L3	CD4
NCALD	NK
NCAM1	NK
NCAPH	M2
NCF2	Neu
NCF4	Neu
NCK2	CD8
NCKAP1	M0
NCR1	NK
NCS1	M1
NDFIP2	M2
NDP	M1
NDUFAF4	M1
NEBL	Neu
NECAB2	Neu
NEDD4L	cancer
NEFH	M1
NEK3	Mono
NELL2	CD4
NENF	M0
NEO1	NK
NES	M0
NETO1	B
NETO2	M1
NFAM1	Neu
NFATC2	NK
NFE2	Neu
NFKB2	Mono
NID1	Mono
NINL	M2
NIPAL1	M2
NIPAL2	B
NIPSNAP1	cancer
NKG7	NK
NLRC4	M0
NLRP1	Neu
NLRP12	Neu
NME8	NK
NMUR1	NK
NOC3L	B
NOS3	cancer
NPHP1	M0
NPR1	M2
NPTXR	NK
NQO1	M1
NR3C2	CD4
NR4A1	Mono
NR4A3	M2
NRG1	Mono
NRP2	M1
NUPR1	cancer
OAF	cancer
OBSL1	cancer
OCSTAMP	M2
OLIG1	Mono
OLR1	Mono
OPHN1	M0
OPN3	M2
OR52K2	Neu
ORAI2	Neu
OSBPL10	B
OSBPL1A	M2
OSBPL5	NK
OSM	Mono
OSR1	cancer
OTOA	M0
OVOL1	M2
OXER1	M0
P2RX1	Neu
P2RX5	B
P2RY1	M2
P2RY10	B
P2RY11	NK
P2RY12	M2
P2RY13	Neu
P2RY2	Mono
P4HB	cancer
PADI2	Neu
PADI4	Neu
PALLD	M2
PANX2	Neu
PAPLN	M0
PAQR5	M0
PARM1	B
PARVB	M1
PAWR	B
PAX5	B
PC	M0
PCBD1	M0
PCDH1	NK
PCDH9	B
PCNA	cancer
PCOLCE2	M2
PCSK5	NK
PDCD1LG2	M1
PDE4B	Mono
PDGFC	Mono
PDGFRA	M1
PDGFRB	cancer
PDK4	Mono
PDLIM4	cancer
PDXP	M1
PDZRN4	M2
PEG10	B
PEPD	cancer
PERP	cancer
PES1	cancer
PF4	Mono
PFKFB4	Neu
PFN2	cancer
PGBD5	M0
PGLYRP1	Neu
PHACTR1	Mono
PHLDA2	cancer
PHLDA3	M2
PHLDB2	NK
PHOSPHO1	Neu
PI16	CD8
PID1	Mono
PIK3AP1	B
PIR	M2
PITPNM2	NK
PJA1	M1
PKD2L1	M0
PKHD1L1	B
PKIB	M2
PLA2G4A	M1
PLA2G7	M2
PLAC8	CD4
PLAU	M0
PLBD1	M2
PLCH2	NK
PLCL1	CD4
PLD1	M1
PLD4	B
PLEK2	cancer
PLEKHA1	CD4
PLEKHA5	cancer
PLEKHA6	cancer
PLEKHB1	cancer
PLEKHF1	NK
PLEKHG1	B
PLEKHG4	CD4
PLTP	cancer
PLXDC1	CD4
PLXNA1	M1
PLXNB2	Mono
PNMA3	CD4
PNOC	B
PNPLA3	M2
POU2AF1	B
POU6F1	CD4
PPBP	Mono
PPIC	M2
PPM1F	Neu
PPM1H	M1
PPP1R14C	M1
PPP1R16B	B
PPP1R27	Mono
PPP2R2B	NK
PRAM1	Mono
PRF1	NK
PRKAR2B	Mono
PRKCA	CD4
PRKCH	CD8
PRKCQ	NK
PRMT6	NK
PROCR	M1
PROK2	Neu
PRR7	NK
PRRG4	Neu
PRSS22	cancer
PRSS23	NK
PRTN3	cancer
PSAT1	M0
PSENEN	M2
PSTPIP2	M1
PTGDR	NK
PTGDS	M0
PTGER2	NK
PTGFRN	cancer
PTGS2	Neu
PTK2	cancer
PTMS	cancer
PTPN6	Neu
PTPRK	cancer
PTPRM	CD8
PTPRO	B
PTX3	Mono
PVR	M1
PXDC1	M1
PXN	Neu
PYGL	Neu
PYHIN1	NK
QPCT	Neu
QRSL1	B
QSOX2	B
RAB13	M1
RAB31	Neu
RAB32	M0
RAB39A	M1
RAB39B	NK
RAB42	M2
RAMP1	M2
RAPGEF3	M2
RAPGEF5	B
RARRES1	M0
RASGEF1B	Mono
RASGRF1	M0
RASGRF2	CD4
RASGRP1	CD4
RASGRP2	NK
RASGRP3	B
RASL11B	M0
RASSF4	M1
RAVER1	cancer
RBM23	Neu
RBM47	Neu
RBP7	Mono
RCAN3	CD4
RCN1	M1
RCVRN	Mono
RDH14	B
REM2	Neu
RET	M0
RETN	Mono
RGL1	M1
RGS16	M1
RGS20	M0
RGS9	NK
RHBDF1	M0
RHOH	B
RHOU	Mono
RIC3	B
RIN2	M1
RLN1	CD4
RLN2	CD4
RNASE2	Mono
RNASE3	Neu
RNF128	M0
RNF157	CD4
RNF217	M0
RORA	CD8
RPGRIP1	Neu
RPH3A	Mono
RPN1	cancer
RPP25	M2
RPS6KA5	Neu
RRAGD	M2
RRP15	CD4
RRP9	M1
RRS1	CD8
RSC1A1	M2
RTKN	cancer
RTN1	Mono
RTN4R	M0
RUSC2	cancer
S100A1	M2
S100A12	Mono
S100A16	cancer
S100Z	Mono
S1PR1	CD4
S1PR3	Mono
S1PR5	NK
SALL2	cancer
SAMD3	NK
SAMD4A	Mono
SARS2	cancer
SCARF1	Neu
SCG5	M1
SCML1	CD4
SCN3A	B
SDC2	M1
SDC4	M1
SDHD	CD4
SDK2	B
SDR42E1	CD4
SDSL	M0
SEC14L2	CD4
SEMA3G	M2
SEMA4C	cancer
SERPINA1	Neu
SERPINE1	M1
SERPINF1	cancer
SGMS2	cancer
SGPP2	M1
SH2D1A	CD8
SH2D1B	NK
SH2D2A	NK
SH2D3A	CD4
SH3TC1	B
SHANK3	cancer
SHB	M2
SIDT1	B
SIGLEC10	Neu
SIGLEC5	Neu
SIGLEC7	M1
SIPA1L2	Neu
SIRPD	Neu
SIT1	CD8
SKAP1	NK
SLA2	NK
SLAIN1	CD4
SLAMF1	CD8
SLAMF6	CD8
SLAMF9	M2
SLC11A1	Neu
SLC12A7	cancer
SLC14A1	NK
SLC15A2	B
SLC16A10	M0
SLC16A11	B
SLC16A3	M1
SLC16A6	Mono
SLC1A3	M1
SLC22A15	Neu
SLC22A16	M2
SLC22A17	cancer
SLC22A4	Neu
SLC24A4	Mono
SLC25A24	M2
SLC25A4	cancer
SLC25A43	M0
SLC25A48	M0
SLC2A6	Mono
SLC30A4	B
SLC38A1	B
SLC38A11	B
SLC39A8	M1
SLC45A3	M0
SLC45A4	Neu
SLC46A2	Mono
SLC4A4	NK
SLC51B	M2
SLC5A5	CD4
SLC6A12	M0
SLC7A7	M1
SLC8A1	M1
SLC9A2	M2
SLCO2B1	M2
SLCO3A1	Neu
SLCO4A1	M1
SLITRK4	M2
SLPI	Neu
SMAD1	cancer
SMIM3	M1
SMYD5	B
SNED1	CD4
SNPH	CD4
SNURF	CD4
SNX25	B
SOAT1	M2
SOCS2	cancer
SOCS6	M2
SOGA1	B
SORL1	Neu
SORT1	cancer
SOWAHC	M0
SOX8	CD4
SPARC	M0
SPATA13	Mono
SPATA5	CD4
SPATA9	NK
SPEG	cancer
SPI1	Neu
SPIB	B
SPIDR	M2
SPIN4	NK
SPINK2	CD8
SPINT2	cancer
SPOCK2	B
SPP1	M1
SPR	M2
SPRY4	cancer
SPSB1	M2
SRCIN1	M2
SRD5A3	M0
SRGAP1	M2
SSTR2	M1
SSTR3	CD4
ST14	M2
ST18	M0
ST3GAL5	Mono
ST3GAL6	M0
ST6GALNAC1	CD4
ST6GALNAC2	Neu
ST6GALNAC4	B
ST6GALNAC6	cancer
ST8SIA1	CD8
STAB1	Mono
STAP1	B
STARD8	M0
STEAP4	Neu
STOM	cancer
STRBP	B
STRIP2	M2
SUCNR1	M0
SULF2	Neu
SULT1A1	Neu
SULT1B1	Neu
SULT1C2	M0
SUN1	B
SUSD4	CD4
SWAP70	B
SYDE2	CD4
SYK	B
SYNE2	CD8
SYNJ2	cancer
SYNPO	cancer
SYT17	B
SYTL2	CD8
TAF4B	CD4
TBC1D12	M0
TBC1D9	M1
TBX21	NK
TC2N	CD4
TCEA3	cancer
TCF4	B
TCF7	CD4
TCL1A	B
TCN1	Neu
TCN2	M0
TDO2	M1
TESPA1	CD4
TGFBI	cancer
TGFBR3	NK
TGM2	M2
THBD	Neu
THG1L	Mono
TIAM1	M2
TIE1	M2
TIGIT	CD8
TIMP2	cancer
TIMP3	M1
TIMP4	M0
TJP3	cancer
TKTL1	NK
TKTL2	B
TLR10	Neu
TLR4	Neu
TLR5	Mono
TLR7	Mono
TLR8	Neu
TLX2	B
TM4SF19	M0
TMCO3	Neu
TMEM123	cancer
TMEM154	Neu
TMEM176A	Mono
TMEM176B	Mono
TMEM184A	cancer
TMEM204	CD4
TMEM30A	cancer
TMEM30B	cancer
TMEM37	M0
TMEM51	M1
TMEM86A	M0
TMTC2	Mono
TNC	cancer
TNFAIP2	Neu
TNFAIP6	M1
TNFRSF10C	Neu
TNFRSF11A	M2
TNFRSF13C	B
TNFRSF21	M2
TNFRSF25	CD4
TNFRSF8	Mono
TNFSF13	Mono
TNFSF14	M2
TNFSF15	M0
TNFSF9	M1
TNIP3	M1
TNK1	CD4
TNKS1BP1	cancer
TNNC1	CD4
TNNI2	M0
TNNT3	B
TNS3	M1
TOX	NK
TP53I3	M0
TPD52	cancer
TPD52L1	cancer
TRABD2A	CD4
TRAT1	CD4
TREM1	Neu
TREM2	M2
TREML2	Neu
TRHDE	M2
TRIB1	Neu
TRIB2	CD4
TRIM32	NK
TRIM47	M1
TRIM54	M0
TRIM7	Mono
TRMT5	M0
TRPM8	M2
TRUB2	M1
TSFM	M1
TSHZ2	CD4
TSKU	cancer
TSPAN18	CD4
TSPYL2	B
TSPYL5	B
TTC16	CD8
TTC24	CD8
TTN	CD4
TUBB1	Mono
TUBB6	cancer
TYK2	Neu
TYMS	cancer
TYROBP	Neu
U2AF1L4	cancer
UBASH3A	CD4
UBE2E2	M1
UBR5	B
UBXN10	CD8
UCHL1	M0
UGGT2	M0
UGT8	B
UPK3A	Mono
UQCC2	M1
URB1	CD4
USP2	M0
UST	NK
UTP20	CD4
VASH1	M2
VAV3	B
VCAN	Mono
VEGFA	cancer
VENTX	Mono
VIPR1	M2
VLDLR	M2
VNN1	Mono
VNN3	Neu
VPREB3	B
WDFY3	Neu
WDFY4	B
WDR54	NK
WFIKKN2	M2
WIPI1	M0
WLS	Neu
WNT7A	CD4
XCL1	CD8
XCL2	NK
XKR3	M2
YES1	NK
YPEL4	M0
ZAP70	NK
ZBP1	Neu
ZBTB16	NK
ZBTB39	B
ZBTB47	M0
ZC3H12C	M0
ZDBF2	B
ZDHHC19	B
ZFYVE28	CD8
ZFYVE9	CD4
ZNF157	CD4
ZNF202	CD4
ZNF22	NK
ZNF354C	CD4
ZNF366	M2
ZNF382	CD4
ZNF467	Neu
ZNF483	CD4
ZNF503	Mono
ZNF532	B
ZNF594	B
ZNF641	Neu
ZNF667	B
ZNF668	M2
ZNF697	M0
ZNF703	cancer
ZNF711	B
ZNF827	CD8
ZNF853	NK
ZNRF1	cancer
ZP3	M1
ZSWIM5	CD8
ZXDA	B
ZXDB	B
