gene	Maha-Pt2	Maha-Pt27	Maha-Pt28	Maha-Pt30	Maha-Pt31	Maha-Pt37	Maha-Pt42	Maha-Pt47	Maha-Pt57	Maha-Pt61	Maha-Pt71	Maha-Pt76	Maha-Pt85	Maha-Pt86	Maha-Pt87	Maha-Pt9	Maha-Pt90
AARSD1	37.106641	17.242732	17.891043	17.883073	9.405414	16.807971	23.280006	35.498967	10.457098	30.743033	13.501581	15.067827	15.196811	17.165963	18.086298	24.054919	24.456594
AASDH	50.695044	30.633004	25.410372	29.907844	15.186829	36.947967	19.09899	20.541763	6.702136	19.478645	13.127489	19.752037	18.3127	27.332381	16.600292	41.628116	43.955458
AASDHPPT	14.045361	21.183238	20.713392	20.403725	20.749178	27.449167	24.775128	26.069291	13.229378	27.653012	20.978451	28.006723	17.484717	20.729397	12.2728	24.732219	17.738474
AASS	10.70402	14.116371	80.198519	21.014641	30.067589	33.688467	4.211871	26.640855	16.773675	12.797544	31.43087	9.660099	42.053393	33.439892	54.271358	43.250011	66.864955
AATF	3.836001	4.731085	6.528264	1.685211	2.899852	4.361445	4.017496	4.658819	2.243236	8.77718	4.555747	3.394143	7.050963	3.307071	2.533595	1.730991	5.014377
AATK	10.217852	0.976073	0.539214	0.402622	0.613102	1.161949	2.807292	0.067905	0.241844	0.305744	0.388906	0.163813	0.863107	1.207591	1.072301	0.042236	1.136261
ABAT	21.118974	12.113266	5.634361	4.413514	5.244166	12.08205	5.602139	9.647989	20.499664	23.206554	7.331719	4.477196	13.885981	16.503079	12.534442	5.962508	26.855623
ABCA1	49.114567	17.680022	41.575703	16.250794	35.019166	47.002146	8.423932	19.40762	37.082303	27.72538	20.694599	10.675655	24.183552	24.440755	34.318897	11.743777	41.263154
ABCA10	0.420151	0.62123	3.625873	0.410108	1.936497	11.372886	1.164109	0.583973	3.179328	2.575153	0.4462	0.863877	3.888982	3.942443	11.302583	1.37831	6.559088
ABCA11P	56.470729	17.348167	36.209312	27.265709	31.358411	52.535672	65.614202	50.387632	23.220118	40.441974	24.954565	27.912659	35.246704	34.241057	41.78784	45.442235	66.277304
ABCA12	3.839725	8.125301	4.976574	7.710801	0.186423	1.577954	0	0	2.685687	0	0.86973	2.582203	1.275645	2.136062	3.208603	1.660069	14.897085
ABCA13	0.331751	0.013727	1.059219	0.48095	0.05502	0.471739	4.510484	3.950568	0.369419	0.77844	0.126854	6.313997	0	3.109908	2.941154	0.008861	0.061536
ABCA2	21.991207	11.443947	15.473952	9.002357	22.019926	35.567813	24.854383	22.533535	21.253587	18.588043	21.038434	8.138194	20.216868	16.991399	16.77253	24.235576	65.932674
ABCA3	6.615415	23.170152	47.523261	7.400005	9.909756	30.823771	7.605119	3.65595	15.48998	19.424963	25.647944	30.942895	47.76262	14.702711	29.808893	29.329811	21.393161
ABCA4	221.156602	23.591245	1.63642	12.352098	42.648586	0.017308	1.126458	27.751615	0.108063	0.292145	1.619862	47.946402	10.941088	0.593387	5.393863	100.355402	135.796736
ABCA5	9.498509	8.040251	26.418109	9.94602	9.502303	38.577148	26.533388	6.294459	23.737922	74.803869	10.045975	8.179414	27.987909	32.763731	36.150717	17.617395	36.457209
ABCA6	3.343715	3.623791	5.90823	1.837618	7.827588	37.426314	0.892877	4.561649	7.217131	0.802222	3.203624	3.249438	9.256383	14.107854	21.993734	2.928437	10.946514
ABCA7	34.393598	19.57729	6.97656	5.885027	6.351401	11.773229	15.684079	10.96453	24.787927	4.220695	14.315317	22.03493	17.915006	8.173357	12.547419	16.541023	10.47616
ABCA8	1.92169	6.003501	13.21662	13.689167	6.956718	48.568618	3.09616	2.326528	0.188294	0.204587	5.508302	2.059041	12.209535	15.517433	38.575237	0.802149	8.750594
ABCA9	1.817267	12.854372	5.204957	3.673706	2.74173	17.114412	1.328804	1.578995	2.389043	1.309428	3.421545	1.991513	3.12612	10.255421	23.836097	2.076274	8.291261
ABCB1	1.341979	5.907764	7.7351	4.682041	5.719995	53.042364	1.147949	7.769765	8.002112	3.541174	9.337135	3.368358	3.826294	4.589258	8.184571	1.470674	5.530477
ABCB10	4.526138	4.390437	5.742702	17.450297	5.542181	5.833819	8.250313	2.432115	6.201961	14.683776	6.829151	11.91697	3.764822	4.043407	8.886895	5.820678	11.364587
ABCB11	0.352942	0.728965	0.795142	0.150931	0.01306	0.508239	0.477362	0.098952	0.322945	0.023308	0.110491	0.286385	0.056792	0	2.147266	0.464291	0.228332
ABCB4	1.041334	1.255953	8.244743	3.248323	1.441193	4.040745	0.433009	1.438877	2.87792	1.782505	2.608275	4.40234	4.628262	3.099911	7.2203	0.383232	7.620608
ABCB6	116.189687	8.473886	17.480354	13.301106	9.631349	20.813407	7.734099	7.968376	6.980697	28.768915	17.086545	33.501139	10.847714	13.851769000000001	30.642699	24.564478	16.568526
ABCB7	41.278508	48.538372	44.713247	41.374102	34.758601	55.681993	43.684126	42.761617	28.417194	46.211668	49.002449	36.343465	47.500474	59.790446	59.371698	55.976258	53.212043
ABCB8	24.679022	5.720959	8.288507	19.640854	18.035821	11.426379	8.349402	15.019753	10.086845	14.024086	11.741393	11.72142	17.470103	7.021089	13.098763	9.367597	17.651711
ABCB9	1.277219	15.683304	0.823376	2.772183	2.0321379999999998	3.238647	4.072909	1.45535	2.090366	3.519245	7.160091	3.05503	2.920886	3.148658	1.269651	5.058605	6.265414
ABCC1	273.01872	37.537708	125.453197	69.429327	69.318284	120.364253	100.004368	90.24942	46.371976	25.619922	53.889814	132.848235	67.778255	62.747201	122.883527	49.284093	34.99366
ABCC10	49.347148	10.07389	9.665396	8.749257	12.741343	19.674797	33.931256	31.834914	14.050968	20.784564	17.535127	22.179236	25.708199	14.365175	15.420927	19.129696	26.411531
ABCC11	1.547603	0.509383	0.279691	0.581016	0.135786	0.48865	0.260512	0.239566	0.014994	0.476152	0.070644	0.249947	0.032951	0.249815	0.053432	0.208846	1.160516
