gene	Maha-Pt2	Maha-Pt27	Maha-Pt28	Maha-Pt30	Maha-Pt31	Maha-Pt37	Maha-Pt42	Maha-Pt47	Maha-Pt57	Maha-Pt61	Maha-Pt71	Maha-Pt76	Maha-Pt85	Maha-Pt86	Maha-Pt87	Maha-Pt9	Maha-Pt90
CUL2	27.950397	28.924612	34.544421	47.409469	41.898579	30.73687	74.02685	38.686122	20.43151	46.214045	41.613388	56.995236	32.765774	41.255672	29.182585	39.506955	65.776039
CUL3	32.966697	55.60822	71.104784	68.92736	41.797669	78.27188	57.923103	57.089895	35.729238	83.304605	51.718922	62.200197	47.155842	66.077709	47.629337	70.350035	78.395179
CUL4A	81.783716	49.009045	73.345322	76.438028	82.42595	83.386153	58.451902	81.717758	38.130675	75.229617	47.745423	62.343217	57.221313	105.413892	65.070142	65.976178	80.399412
CUL4B	29.772467	62.331672	65.693464	81.597541	58.885873	67.598408	100.611503	61.984205	31.914582	94.296294	77.167145	47.542106	45.339481	57.77002	58.954467	60.285815	67.581482
CUL5	19.745369	20.942091	36.113563	21.846925	29.691762	35.751843	24.659113	22.206494	13.280599	53.412794	17.810747	31.511061	24.575621	30.030918	21.530418	24.73457	25.427133
CUL7	117.267702	35.404227	19.718975	28.14032	18.870974	52.828606	95.790332	73.729169	15.591886	41.326995	33.19114	35.103237	32.540401	29.294245	23.263807	33.730342	50.923237
CUL9	27.295177	6.712483	4.77116	2.866119	3.85012	7.165889	8.770195	8.550544	6.54612	10.905022	5.8864	6.254536	10.910901	6.531407	8.833126	5.684463	12.134795
CUTA	42.030014	25.667777	17.869535	22.140757	19.262075	33.554971	106.335615	32.00138	14.770957	20.321719	24.229977	27.36991	34.903541	30.934903	15.648391	27.482837	38.642241
CUTC	61.588203	15.267395	39.756556	30.072108	33.343709	34.147729	17.006985	22.246265	15.524282	31.085697	10.295043	21.499748	13.683422	20.280525	26.291036	13.82025	29.558923
CUX1	68.166166	29.331865	75.679543	123.139945	92.58911	71.198216	52.462379	91.420512	43.625605	126.805205	48.842544	74.135872	133.553545	57.213258	74.983987	79.192801	38.776155
CUX2	0	0.14997	0.040929	0	0.109417	0.258518	0.308512	0	0	0	0.466477	0.058793	0	0.040258	0	0	0.182773
CUZD1	0.663931	0.564617	0.421286	0.213053	0.070184	0	0.649274	0.264023	0.163359	0.543937	0.027115	0	0.125531	0.074933	0	0.459065	0.074296
CWC15	13.02018	13.584395	17.094717	7.004231	10.609897	24.922234	8.977162	20.368143	12.894858	26.978565	6.996334	11.845944	11.730917	16.564597	12.959775	13.750874	34.448455
CWC22	10.274204	10.339314	8.137033	9.68414	4.0515930000000004	11.471409	8.761421	14.158246	7.401094	13.687494	13.340605	8.588202	4.473276	8.430208	5.554432	16.183263	11.377977
CWC25	32.428762999999996	12.840511	11.265348	11.85148	10.525658	16.86946	17.273682	22.448418	9.443035	28.131474	9.905936	11.381181	12.27799	14.112786	9.312102	20.818162	19.289866
CWC27	3.444569	8.491446	2.90649	12.930118	7.540159	2.410011	3.649008	7.575925	2.409888	10.761378	6.280025	4.402539	5.343799	5.92361	11.527264	12.552099	15.208127
CWF19L1	59.773482	18.702297	11.00299	16.702509	17.767085	18.173216	8.672217	10.793237	10.882587	14.819877	13.004689	12.807017	7.025556	15.682371	22.497832	10.716204	16.967983
CWF19L2	12.292636	18.799164	19.741716	16.399044	15.622454	34.823729	17.33566	29.019646	17.92516	38.769864	17.452896	22.810975	22.222888	24.525732	18.196585	32.733327	38.130076
CWH43	0	0.283845	0	0.631189	0	0.092922	0.535879	0	0	0	0	0.662642	0	2.003901	0.478507	0	0
CX3CL1	0.036656	0.1414	0.088082	0.910613	0.064319	0.338719	0.039755	0.380359	0.034116	0.586732	0.142246	0.104411	0.078874	0.057412	0.207083	0.105495	0.181476
CX3CR1	0.858874	0.673252	0.987585	2.203531	0.536647	27.496327	0.063608	0.35098	0.145777	2.801495	0.739532	0.839906	1.575141	0.753143	2.432525	0.391899	9.752033
CXADR	26.744819	26.661243	31.236638	20.342528	5.411971	13.979712	139.37086	8.396934	7.289684	36.174867	28.930031	41.226526	17.855938	80.962387	19.138386	34.796379	6.363704
CXCL1	0.889148	0.937994	7.406637	6.863653	8.930582	22.915185	5.000275	24.742851	2.574746	3.175575	4.814806	21.590281	3.0267	2.639848	12.405468	7.707112	0.417977
CXCL11	0	23.895105	2.490838	2.767945	5.00743	2.05085	1.195624	33.275334	0.142584	1.396163	4.770273	4.73522	1.185197	1.258117	0.112088	2.577582	1.79802
CXCL12	4.120508	20.757848	25.629731	76.014221	26.876954	183.43051	73.973019	19.609421	21.087719	0.983618	148.016673	17.860439	79.752388	69.737892	49.97278	13.178122	156.378861
CXCL13	0	41.830511	30.483328	1.758932	41.625899	0	1.827523	9.371289	16.281534	0.08181	11.160131	30.338662	5.680174	2.539067	7.247686	1.375811	2.522582
CXCL14	0.033771	0.430311	3.331805	2.593408	1.41286	87.929557	0.170418	1.179935	2.215866	0.073257	0.853448	19.664632	2.298431	2.341859	6.689839	0.122646	5.529398
CXCL16	28.951746	8.671371	11.38702	9.027649	5.150912	8.420311	11.962306	8.007137	5.114915	10.036837	6.109083	10.51366	7.880773	10.712856	16.846168	4.194114	7.147708
CXCL2	8.034794	7.32242	35.808607	17.490842	10.705165	1.017636	0.252934	8.578478	4.940758	0.815089	9.678702	10.442773	9.089992	7.737426	11.976839	8.588426	1.043684
CXCL3	2.698159	0.67659	3.161914	0.661726	2.67428	1.199326	0.398574	7.409561	0.424844	0.426488	2.39771	6.670218	1.22079	1.335574	5.847137	1.514151	0.196945
CXCL6	0	0.269564	0.527426	0	0.193553	0.672365	0.461836	0.756121	0.052166	0.142194	0.680328	3.23145	0	0.071803	0.793158	0	0
CXCL8	0.915704	2.058295	63.707582	7.358999	5.177631	2.319671	12.543849	63.326142	2.014717	8.53175	15.72103	31.980106	19.248593	7.471885	10.529142	10.988616	0.669447
CXCL9	0.020389	26.055045	5.513534	2.738013	14.399433	3.62	3.433057	55.797429	5.306218	4.380303	14.170508	2.978754	2.9502100000000002	3.742652	0.83649	4.128635	4.344139
CXCR1	0.215844	0.011795	1.622019	0.053862	0.094299	0.029685	0	0.27161	0.875097	4.613228	0.337394	0.776116	0.296159	0.038843	0.170553	0.007857	0.135258
CXCR2	1.56791	0.514511	7.826017	0.1708	0.178267	1.345418	0.179382	0.530536	0.928426	13.22758	0.785243	1.24006	0.356487	2.12133	2.974625	0	0.33052
CXCR3	0	0.030845	0	0	0	0.071159	0	0	0.237262	0	0.170569	0.067993	0.045035	0	0	0.109741	0
CXCR4	6.66356	42.461773	136.796169	22.732895	63.212288	38.29848	11.366603	17.777205	63.218284	19.411495	35.882366	13.601374	45.120861	37.855942	49.168354	47.825977	24.205246
CXCR5	0.037035	0.025871	0.101085	0	0.019397	0	0	0.020929	0.020142	0.033655	0.077104	0.006806	0.139521	0.014188	0.13073	0	0
CXCR6	0	2.663547	1.896713	0.125081	7.124892	1.13907	0.20214	2.613828	2.460087	0.562312	3.110157	0.905278	0.938438	1.783483	1.570061	0.864518	0.579633
CXorf21	1.269476	0.398178	1.424949	0.588555	0.82141	2.685617	0.236858	0.778257	0.795356	1.282556	1.489386	0.537577	1.248716	0.990169	2.723902	0.33258	0.653366
CXorf38	2.765443	3.632252	3.010402	3.195924	3.430444	4.379098	2.237247	1.501926	1.476708	2.78174	3.9543	1.769764	1.904402	4.103636	3.418325	2.602856	3.642062
CXorf56	27.226077	35.752255	22.81642	28.785918	19.359023	29.457189	35.472508	33.945762	18.976137	59.128487	36.96481	22.584508	24.339983	30.591465	21.311556	30.891178	25.326922
CXorf65	0	0.186468	0.58354	0	0	0	0	0	0	2.010644	0	0.081112	0.049712	0.128072	3.298122	0	0
CXXC1	76.213032	28.724457	29.466826	8.033264	23.906508	53.671011	31.121645	33.029845	39.438835	19.908484	19.621919	24.707707	28.549413	23.961696	32.243003	26.871637	44.769663
CXXC4	0.292962	0	0	0	0.171315	1.600972	0	0	0	0.314678	0	0	0	1.303417	0	0.44928	0
CXXC5	11.138141	4.87966	4.349574	3.584468	7.447841	20.809333	2.04527	4.292958	8.446008	2.05198	6.08202	2.755581	7.645887	12.912164	13.686745	0.72059	16.188524
CYB561	32.621449	29.630545	10.636845	22.469786	15.903618	12.685326	34.834818	43.6962	19.223925	35.55915	21.010256	29.775697	20.194699	31.193881	24.107243	71.829714	24.534695
CYB561A3	20.208417	10.35703	12.216777	17.449268	13.549485	17.258981	15.142583	26.895134	12.956319	15.261019	15.87398	11.226894	9.503613	15.177638	17.071134	14.845157	15.905041
CYB561D2	9.186862	2.528924	1.469357	3.174084	1.74813	1.996797	3.021178	4.599339	2.014077	2.920449	2.645871	3.639534	4.635916	2.79439	2.267301	5.029428	4.080978
CYB5A	527.623631	189.786684	345.823794	70.987248	96.247322	530.186796	57.071105	69.574417	208.115791	271.374032	56.727228	199.038985	208.082894	103.413414	193.538911	198.004861	236.947591
CYB5B	16.581259	16.748107	52.213593	20.729344	23.664998	24.136534	37.496858	25.060937	13.531248	26.000492	19.095892	28.753735	15.782214	31.569345	19.70365	17.91265	14.469682
CYB5D1	11.130072	15.659658	9.314445	14.900247	8.417388	33.866497	18.339642	21.691653	6.444488	9.072671	16.916322	21.237471	11.483675	20.278577	11.548334	14.076302	44.829149
CYB5D2	21.482604	5.132736	7.691506	2.179773	5.279989	19.919386	8.580338	4.841521	3.959074	6.029728	2.812923	5.316827	9.46522	8.990088	8.122938	1.841166	28.287415
CYB5R1	61.850915	40.106042	11.480324	20.640894	11.898356	18.217603	16.61368	32.411304	12.522764	41.234245	37.490295	36.249928	23.42832	21.048523	21.041271	45.91191	41.926283
CYB5R2	2.337417	16.330845	3.904858	10.542133	2.356591	6.188776	2.375457	0.972811	4.082286	0.344151	2.191825	11.315989	1.759754	8.329256	12.726912	0.586811	16.743586
CYB5R3	177.813007	68.850564	59.750761	87.417166	100.49044	180.824947	86.348445	112.797585	73.242591	45.447916	119.551032	108.914671	85.959209	111.542768	102.245106	70.448998	75.979707
CYB5R4	6.190057	7.603324	19.237056	7.917942	10.576834	17.266482	12.851017	12.157404	8.569651	17.72684	7.955225	6.938084	7.357414	15.71079	13.235673	17.908276999999998	9.788921
CYBA	270.814188	231.791796	287.659638	272.589412	154.195613	190.600419	42.891053	95.241745	117.679591	200.805728	185.47577	78.140544	82.99939	163.484971	129.503919	39.565592	71.268964
CYBB	8.015958	174.644163	121.399242	148.95332	200.4823	134.001174	20.184273	98.655283	55.473162	113.568881	135.885983	52.425201	73.093105	65.514398	102.61829	23.459459	66.578938
CYBRD1	12.111157	22.773176	38.215206	43.272959	82.990008	44.599022	21.691134	65.410569	27.967023	5.358393	31.640792	19.388149	51.73575	64.416675	68.059458	12.628926	125.823479
CYC1	5.452801	3.809743	2.439392	13.821871	0.981933	5.453555	4.647475	1.303003	0.556232	2.160538	0.40224	1.405525	0	2.212354	0.289771	2.011986	2.909894
CYCS	95.183161	137.598197	188.742963	311.20581	131.081336	126.915106	424.835897	190.629975	112.129878	193.025653	250.388018	241.293958	111.863882	138.949984	109.165131	144.36667	97.458623
CYFIP1	50.461954	99.073002	80.312582	88.243197	80.242137	135.909461	122.28637	101.868434	69.3485	100.077366	118.177664	113.441587	65.624107	80.826926	98.301404	71.987024	108.586919
CYFIP2	45.395607	11.239354	36.170227	9.504888	13.925493	93.101871	18.382538	10.254339	17.192648	9.829205	20.675872	2.951731	14.885305	15.747309	25.49222	3.606017	54.512489
CYGB	0	0.108047	0.846483	1.16499	0.385683	3.50543	0.186884	1.195431	0	0.355812	2.060179	0.448882	1.173182	0.587768	0.916827	0	1.300065
CYHR1	44.005737	6.88644	4.539089	5.329092	6.207277	9.799478	25.68064	12.078217	6.545333	2.909036	7.67266	9.407541	5.913873	6.607563	8.60053	9.804572	17.897646
CYLC1	0	0	0	0	0	0	0.111606	0	0	0	0	0	0	0	0	0	0
CYLD	18.853434	31.873053	52.444972	26.860569	33.397991	58.912608	19.129585	43.498995	25.999669	37.694835	28.774418	19.926503	32.7004	45.478835	44.853181	16.341977	40.284591
CYP11A1	0.621183	0.23435	0.091465	0.677406	0.066102	0.139087	0.11695	0.036402	0	0.034948	0.306183	0.182336	0.667816	0.545692	0	0.061903	2.045482
CYP11B1	0	0	0	0	0	0	0	0	0	0	0.014208	0	0.032899	0	0	0	0
CYP11B2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP17A1	0.504995	0.174033	0.035514	0.100859	0.221063	0.748303	0.035635	0.190058	0.10453900000000001	0.024148	0.062027	0.141696	0.244913	0.522284	0	0.137736	0.077123
CYP19A1	0	16.912988	0.410502	0.600079	0.758263	0.950283	0	0	0.661473	0	1.221794	0.091032	0.261767	2.504392	3.495142	0.192847	1.634004
CYP1A1	0	0	0	0	0	0	0.052465	0.09224	0	70.098946	0	0	0.404049	0	0	0	0.803384
CYP1B1	1.316164	18.869161	30.035968	68.897861	33.804726	57.089615	1.011093	5.819541	30.571686	1.710235	25.012657	33.974836	53.920884	44.923901	34.066539	10.413818	41.515477
CYP20A1	22.233021	15.984765	25.569155	23.717771	34.98767	34.817273	24.480643	35.262031	18.858943	41.443106	28.101045	36.307437	30.792185	27.895154	31.583573	29.124005	47.875768
CYP21A2	0.689318	20.4144	3.960289	0.022738	0.203178	5.813763	1.192094	2.591939	2.729288	0	2.229454	1.516992	10.029669	2.564594	6.479813	2.346348	13.139412
CYP24A1	136.600633	63.104054	303.800193	45.19372	52.418794	5.810541	9.03211	37.697517	52.341061	15.105186	19.625847	540.488298	14.044563	11.46661	388.773575	18.446805	3.8953
CYP26A1	0	0.224017	0	0.40178	0	0	0.521397	0.29703	0	0.619415	0	0.213259	0.517045	0.687682	0.925145	0	0.252075
CYP26B1	0	0.40785	0.202427	0.466966	6.121857	1.719925	0.973376	3.586208	1.741294	0.217899	4.17913	6.534974	1.993918	0.361511	0.958057	9.703444	1.199831
CYP27A1	1.110544	5.043195	2.348727	1.96981	1.356404	4.412716	0.528388	0.496251	0.920942	2.987595	0.202309	0.908595	2.580516	2.674439	5.558266	4.166516	1.639101
CYP27B1	0.257967	1.528787	0	1.341033	1.503352	0.663402	2.055469	3.693745	0.99382	1.457493	0.904782	3.931518	1.688148	2.821716	0.930701	0.824247	0.526834
CYP2A13	0	0	0	0	0	0	0.326431	0	0	0	0	0.054898	0	0	0.772052	0	0
CYP2A6	0.051233	0	0.116491	0	0	0.08384	0.110691	0.131022	0.544137	1.645226	0	0	0	0	0.390959	0	0
CYP2A7	0	0	0	0	0	0.238939	0	0	0.401556	0	0.064379	0	0	0	0	0	0
CYP2B6	107.842773	2.153681	5.148494	0.175151	0.313585	0	1.00318	0.117882	1.201606	21.578492	0.046647	1.882678	2.100198	0.450738	1.954967	0.189065	0.328189
CYP2B7P	3766.788743	63.316201	139.216038	3.208516	11.169219	0.392562	13.6139	5.514971	34.475376	561.118873	1.178718	53.232502	83.260567	8.596518	99.275192	15.311703	3.15664
CYP2C18	0.45547	1.058535	11.521395	0.023625	0	0.237334	0	0	0.881026	0.163573	0.019334	7.440145	0	4.558552	3.207211	0.069456	0
CYP2C19	0.390321	0.765806	9.541711	0	0.093209	1.594254	0.436174	0.06592	1.247841	0.25983	0	1.248918	0.057169	3.989958	2.02577	0.016591	0.028888
CYP2C8	0.030707	0.897658	0.925051	0.43956	0.174584	15.436781	0.744015	0.430204	0.462021	0.702827	0.284176	2.602349	0.975313	1.056298	3.509131	5.197852	0.735813
CYP2C9	0.037895	0.261793	6.274678	0	0	9.352009	0	0	0.629742	0.09587	0	0.337987	0	5.309472	0.641233	0.170161	0.050023
CYP2D6	3.295111	5.36004	2.147994	0	0	2.649593	0	0	0	0	1.289716	0.646339	0	0	3.460591	0.218102	2.422988
CYP2E1	0.623584	0.094077	1.640826	3.194262	0.939539	4.680837	0.479857	2.779773	2.256023	2.352931	0.555321	0.758705	0.656576	3.133527	0.063758	0.024505	2.561979
CYP2F1	0.202847	0	0.038547	0	0.069237	0	0.939327	0.217128	0.042683	0.366794	0	3.087042	0.137398	0.037597	6.237015	0.169172	0.17867
CYP2G1P	0.289713	0.116809	0.294252	0	0.074908	0.521878	0.064609	0.159227	0.059418	0.13359	0.043109	0.015376	0.024054	0.165656	0.069468	0.02537	0.231077
CYP2J2	0.728413	0.993422	0	0	0.016394	2.059019	0.731063	0.191923	0.060656	1.204786	0.063725	0.060463	0.230539	1.464833	0.047841	0.836579	0
CYP2R1	13.711796	9.537896	7.609805	3.978333	10.001454	12.787482	10.97344	6.827781	8.350389	10.716876	4.152715	5.604109	6.801876	8.446227	13.091512	10.804883	19.117954
CYP2S1	2.584373	1.863343	7.003195	4.630265	9.131138	2.351267	15.915726	24.914953	4.595687	2.651546	8.780615	28.786727	15.86509	5.940028	6.121676	24.096196	4.335149
CYP2U1	0.31959	0.343623	0.757352	1.325457	1.664078	2.375333	0.569466	0.996848	0.762719	0.348521	0.711801	0.636245	1.164892	1.548472	1.513078	0.711251	1.115281
CYP2W1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP39A1	1.360793	0	1.302301	0.281363	0.49681	0	2.747306	1.107499	0.157017	0.461821	1.075624	0.586528	2.037592	1.987275	3.133783	0	0.094983
CYP3A4	0	0.053265	0.059733	0.599355	0.017959	1.582103	0	0.017796	0.262698	0.113622	0	0.403022	0	0	1.013549	0	0.016076
CYP3A43	0.064746	0.407362	0.041924	0.042233	0.052643	1.405008	0.128286	0.117077	0.212839	8.06234	0.047054	0.133928	0.653566	0.041123	0.218056	0.134919	0.279023
CYP3A5	0.916641	20.225371	64.643397	33.627946	1.674558	54.852614	0.672142	0.396656	20.795833	58.688539	1.751699	28.837801	1.53952	11.695161	128.102203	1.069353	1.472266
CYP3A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYP46A1	0.475903	0.622562	0.622672	0.270719	0.90632	1.579326	2.138842	0.150577	0.461027	0.581757	0.667588	0.172395	1.872482	0.133961	0.997422	0.13012	3.022071
CYP4A11	0	0	0.015488	0.068535	0	4.477834	0	0	0.068944	0	0.016194	0.029523	0.028742	0.085794	0	0.011298	0
CYP4B1	43.069691	0.506632	20.166826	0.402458	3.787921	0.14972	17.225834	0.609643	7.480811	0.502678	0.622208	11.511685	3.748484	3.202947	39.057103	1.003082	6.438127
CYP4F11	85.348374	1.077786	11.421251	27.525381	4.788517	14.343929	2.126861	0.115648	0.0079	0.254845	0.136452	1.889138	0.367534	4.310346	23.892826	0.070167	7.940018
CYP4F12	5.077901	2.605985	1.325095	0.07167	1.362469	1.187543	0.187103	0.459517	0.107716	0.447448	0.29973	3.211555	0.572394	0.700068	7.55629	0.122251	42.136369
CYP4F2	0.843485	0	0.037977	0	0	0.127767	0.068054	0	0.011468	0	0.043437	0.206956	0	0	0.353623	0.042329	0.154738
CYP4F22	0	0.060069	0.147723	0	0.504252	0.498912	0.10698	0.130092	0.262746	0.376306	0.498987	0.012682	0.061859	0.131884	0.100029	0.112061	1.852302
CYP4F3	80.326848	0	14.453463	6.783719	1.075585	0.989389	0.519567	0.404928	0.311916	4.379835	0.280495	6.82035	0	0.282177	44.603417	0	5.100285
CYP4F8	0.114612	0.130889	0.091719	0.078729	0.042362	0.10829	0.334855	0.064395	0.02404	0.137864	0.288299	0.023604	0.081089	0.102994	0.072719	0.07046	11.527838
CYP4Z1	0	0	0	0	0	0	0.106628	0	0	0	0	0.712983	0.126619	1.12099	1.285085	0	1.407872
CYP4Z2P	0	0	0	0	0	0	0	0	0	0	0	0.079739	0	0.109261	0	0	22.29531
CYP51A1	5.978456	59.215863	72.12843	120.099866	52.7603	27.277506	26.489815	33.010275	18.540534	41.865742	36.749687	156.07143	34.650041	71.939095	44.83339	56.159687	63.801878
CYP7B1	6.21492	11.41864	41.281971	10.263706000000001	8.336738	28.847051	1.40389	18.228973	11.607698	48.553864	20.527306	7.214785	27.304951	23.271699	23.672912	11.742115	17.382081
CYP8B1	0	0.014479	0.034535	0.062323	0.02506	0.311861	0.020763	0.059223	0.012157	0.029095	0	0.034991	0.038793	0.066382	0.018786	0.047551	0.045623
CYS1	0.145112	0.073518	0	0.082838	0	3.206405	0.07695	0.67463	0.054589	0	0.146323	0.324631	0.230299	0.416538	0.699255	0	0.243801
CYSLTR1	0.385302	0.699839	1.554206	0.83683	0.789167	2.699125	0.510199	0.357479	0.230982	0.664735	0.989333	0.704992	1.125302	1.061791	1.587513	1.063819	1.921092
CYSLTR2	0.195067	1.517073	1.522469	0.439064	1.432804	71.147776	0.093153	0.441463	1.469073	0.441841	0.565395	0.281267	1.274353	0.841785	1.276869	0.166633	0.957215
CYSTM1	13.458738	7.1772	13.373694	7.575617	9.082822	30.474046	17.57876	5.576281	7.58891	18.512998	12.421399	14.020533	7.272271	33.995089	13.990015	5.683046	5.207098
CYTH1	95.913836	85.725296	92.851179	93.099866	69.409425	73.67564	86.805268	88.671653	60.63388	145.801836	83.10748	89.836325	94.02617	69.57422	109.939828	99.0267	79.394308
CYTH2	76.205468	34.785386	24.584457	30.289806	25.323342	40.707331	60.890033	89.895211	31.987701	29.740211	29.514909	42.064805	37.763883	27.4007	48.168159	42.711077	47.401461
CYTH3	13.649038	10.407908	6.356842	15.539649	18.446256	26.55567	30.236652	42.671107	10.624598	10.464853	13.717689	12.846793	47.830252	14.824065	28.075953	16.349326	25.389056
CYTH4	8.066903	22.627536	24.563149	19.190423	34.951322	56.061565	7.698531	29.513825	27.092828	39.573557	49.009518	14.686867	29.059833	14.812956	41.159671	13.659533	31.550228
CYTIP	2.833288	30.32676	84.242856	12.435007	41.60368	18.136732	2.663986	9.354258	27.391224	13.724437	11.860482	6.698942	29.230934	32.215104	43.177403	5.337267	7.174766
CYTL1	0	0	3.419811	0.503292	0	0.832502	0	0	0	0	0	0	0.084283	0	0	0	0
CYYR1	0	0.265385	0.916198	1.197429	0.64273	3.095944	0	0.555228	0	0	0.654436	1.096586	0.140297	0	1.923587	1.036959	0.592884
DAAM1	42.293828	22.129057	41.656372	42.722385	45.446335	28.50355	80.049701	39.855214	28.612308	74.571232	42.60311	40.71382	51.098939	45.197935	60.7362	47.108321	33.821993
DAAM2	15.324059	0.120677	0.378984	0.050381	0.476634	3.114563	0.252973	0.349593	0.443297	0.212535	0.484814	0.866458	3.019917	0.633762	1.78751	0.166505	1.048603
DAB1	0.105283	0.108999	0.845378	1.314744	0.090301	1.352325	0.034671	0.047768	0.051702	0.023547	0.138203	0.173835	0.238804	0.285171	1.546852	0.242327	1.451635
DAB2	5.567094	54.844459	63.948763	83.744579	72.073867	239.337464	9.167466	44.474053	26.537142	41.273679	82.461637	25.16622	43.369548	66.227679	94.351077	14.923631	85.408369
DAB2IP	33.229378	8.454542	6.123567	5.263625	9.542952	24.420443	13.852497	20.400387	18.250171	27.249345	10.835026	12.26266	16.153197	12.180924	14.243935	11.187913	13.269045
DACH1	0.065183	0.095294	0.793166	0.13348	0.283538	2.957624	0.169128	0.429607	0.207989	0.068245	0.822277	0.245839	0.878664	0.280504	1.791272	1.092835	11.417995
DACH2	0	0.064097	0.042644	0	0	0.098462	0.076939	0.067335	0.013609	0	0	0.018392	0.045228	0.016997	0.066625	0	0.019756
DACT1	0.392567	1.449055	3.408922	8.381925	5.025703	8.449547	0.776157	21.626949	5.479198	0.20128	6.887584	7.312996	5.638588	8.579844	8.832497	0.862297	10.656935
DACT2	0.397331	0.037321	1.955121	0	0	0.047019	0	0.030807	0.545913	0.489996	0.078858	0.045037	0.414422	0.281378	0.557595	0	0.047613
DACT3	0.217795	0.33642	0.761632	0.11769	0.186093	0.46606	0.56097	0.967982	0.117117	0.381467	0.351474	0.207824	0.254229	0.346748	0.370077	0.451318	0.388787
DAD1	12.7577	6.227662	3.430995	0.798052	2.59499	0	3.377288	0.696124	3.357023	0.457515	3.454672	4.690254	4.33688	0.30406300000000003	0.454202	2.49938	16.156288
DAG1	77.443379	34.947867	51.445376	53.644091	34.057557	40.846761	209.682124	58.786863	25.167465	22.398469	53.498388	78.258514	52.592389	42.791174	36.057707	35.279075	61.10218
DAGLA	0	0	0.490578	0	0	0.958278	0	1.112743	0	0.249476	0.747768	0	0	0	0	0	0
DAGLB	17.475784	14.190026	11.005232	14.434604	6.983685	11.786267	12.786975	14.474938999999999	7.561237	8.073045	10.056859	7.744945	10.703813	6.915541	11.38631	6.697051	8.937058
DALRD3	16.007331	3.235456	1.406221	5.641668	4.328148	3.5676	6.661461	3.604885	3.347391	2.186874	4.620699	5.607267	4.25615	3.745253	3.928192	3.113327	10.742882
DAND5	0.129976	0.181546	0.170605	0.024989	0.203026	0.333129	0.078391	0.079918	0.164098	0.247875	0.139425	0.108381	0.15676	0.147009	0.137514	0.187819	0.300477
DAO	0	0	0	0	0	0.498604	0.156298	0	0.021563	0	0.105726	0	0	0.07989	0	0	0
DAP	84.194577	180.495337	90.957371	123.338977	86.693301	79.386531	151.654419	101.59421	55.763727	209.072016	122.650368	219.07101	59.762275	222.647474	128.772318	123.223159	92.947159
DAP3	237.292031	151.376781	166.143554	192.71099	144.459925	114.409936	281.572447	195.433817	95.670748	288.931645	228.445981	311.190703	155.925346	154.345566	129.462569	231.807665	234.473963
DAPK1	33.753045	39.330532	84.638011	23.503236	43.758611	82.985402	72.108888	26.649851	46.038395	211.401315	22.272417	44.122614	72.482809	45.759893	60.673442	10.845538	27.910315
DAPK2	51.759996	9.217949	17.687824	2.623761	6.037228	10.408368	7.855031	8.003247	11.224364	20.799608	7.95285	2.697988	38.42408	21.067842	15.196857	4.457936	12.309446
DAPK3	13.403175	22.068512	8.346794	15.471293	11.852291	18.792214	18.082629	52.596306	13.893722	9.557265	38.29258	20.323304	15.401697	15.392973	17.437315	35.677036	10.485365
DAPL1	0.271988	0.333978	0.114977	0.264334	0.337174	0.244603	0.412734	0.123199	0.257779	0.250424	0	0	0.056735	3.689885	0.646356	0.116061	0.065847
DAPP1	0.271883	0.78614	0.359489	1.575961	0.174239	0	0.602228	0.796011	0.636957	1.919311	1.707781	2.690332	0.858251	1.748574	2.622718	1.739434	0.791643
DARS2	53.950453	33.994745	32.903169	43.592724	43.118649	25.754173	56.852032	56.885306	21.804299	39.6095	52.4115	50.548948	19.767991	27.260412	22.819879	57.291867	42.86313
DAW1	0	0.296958	0.710379	2.211928	0.416825	0.216552	0.232673	0.251322	0.080086	1.443594	1.137785	0.724946	0.02751	0.775303	0.650869	0.102908	0.032407
DAXX	28.503135	30.699586	16.257856	10.826368	13.657411	20.879159	65.522217	27.422924	14.878615	18.029861	22.888436	17.665472	16.717681	18.331438	8.022013	26.570761	17.858973
DAZAP1	53.221978	68.276681	60.042629	84.530483	76.765611	64.292117	104.809434	81.936677	39.398624	54.177549	70.500142	80.122143	57.505268	57.238052	61.604192	70.729505	58.428753
DAZAP2	74.271019	99.344945	115.37501	127.417908	160.458895	111.757851	194.571269	80.643041	92.957215	145.725714	118.351102	109.462841	102.376485	129.982579	118.146529	150.93307	122.103225
DAZL	0	0	0	0	0.30646	0	0.009404	0.020593	0	0	0.270563	0	0	0	0.554965	0.190175	0.119663
DBF4	6.777175	9.985884	22.6448	45.89974	30.28947	9.730383	33.369381	24.212137	9.590024	12.171615	25.98124	25.191692	18.243249	13.722761	11.662369	24.403207	15.89448
DBF4B	4.552474	4.694648	2.990042	2.765568	5.100539	5.325922	10.389619	4.748318	3.802195	4.301524	3.305341	4.096544	3.849571	2.73926	1.772595	5.433443	7.224138
DBH	0	0	0.221567	0	0	0	0.022563	0.008238	0.047564	0	0.014015	0	0.054903	0.025115	0.753827	0.096336	0
DBI	53.284149	84.873787	148.414271	96.331317	120.562129	100.284277	134.368437	75.762091	53.165934	60.281954	99.150162	172.815578	123.611099	299.223728	111.42155	107.347967	189.706809
