NAME	cell_type
A2M	Macrophages
A4GALT	Endothelial.cells
ABCA1	Macrophages
ABCB1	NK.cells
ABCB5	Malignant
ABCB6	Malignant
ABCB7	B.cells
ABCC10	B.cells
ABCC5	Macrophages
ABHD12	Macrophages
ABHD13	NK.cells
ABHD14A	T.cells.CD4
ABHD15	B.cells
ABHD3	T.cells.CD8
ABHD4	CAF
ABI3BP	CAF
ABLIM2	Endothelial.cells
ABR	NK.cells
ACAD11	NK.cells
ACAD9	NK.cells
ACAN	CAF
ACAP1	T.cells.CD4
ACAT2	CAF
ACN9	Malignant
ACOT7	Malignant
ACP2	Macrophages
ACP6	Malignant
ACSL1	Macrophages
ACSL3	Malignant
ACSL5	Endothelial.cells
ACSS2	Endothelial.cells
ACTA2	CAF
ACTN1	CAF
ACTR6	T.cells.CD4
ACVRL1	Endothelial.cells
ACY1	Malignant
ACYP1	Malignant
ADA	NK.cells
ADAM12	CAF
ADAM19	B.cells
ADAM28	B.cells
ADAM8	NK.cells
ADAMTS1	CAF
ADAMTS2	CAF
ADAMTS9	Endothelial.cells
ADAMTSL1	CAF
ADAP2	Macrophages
ADCK3	Malignant
ADCK4	Malignant
ADCY4	Endothelial.cells
ADHFE1	NK.cells
ADIRF	Endothelial.cells
ADK	B.cells
ADORA2A	T.cells.CD8
ADORA3	Macrophages
ADPGK.AS1	B.cells
ADPRH	Endothelial.cells
ADRB2	NK.cells
ADRBK2	B.cells
AEBP2	Endothelial.cells
AFAP1L1	Endothelial.cells
AFAP1L2	Malignant
AFF3	B.cells
AFG3L1P	Endothelial.cells
AGO1	NK.cells
AGO3	CAF
AGPAT1	Malignant
AICDA	B.cells
AIF1	Macrophages
AIF1L	Malignant
AIG1	Endothelial.cells
AIM1	T.cells.CD4
AIM2	B.cells
AIMP2	Macrophages
AKAP10	B.cells
AKAP12	Endothelial.cells
AKAP2	B.cells
AKNA	T.cells.CD8
AKR1C3	Endothelial.cells
AKT3	Malignant
AKTIP	T.cells.CD4
ALCAM	CAF
ALDH1A1	Endothelial.cells
ALDH1A2	Endothelial.cells
ALDH1A3	Endothelial.cells
ALDH2	Macrophages
ALDH3A2	NK.cells
ALDH3B2	Malignant
ALDOC	T.cells.CD4
ALG14	Malignant
ALG3	Malignant
ALKBH2	Malignant
ALOX5	B.cells
ALOX5AP	T.cells.CD8
ALPL	CAF
ALX1	Malignant
AMBRA1	NK.cells
AMICA1	Macrophages
AMOTL2	CAF
AMPD3	B.cells
ANAPC1	NK.cells
ANGPT2	Endothelial.cells
ANGPTL2	CAF
ANGPTL4	CAF
