Samples	CBSX__TIL10__B.cells	CBSX__TIL10__Macrophages.M1	CBSX__TIL10__Macrophages.M2	CBSX__TIL10__Monocytes	CBSX__TIL10__Neutrophils	CBSX__TIL10__NK.cells	CBSX__TIL10__T.cells.CD4	CBSX__TIL10__T.cells.CD8	CBSX__TIL10__Tregs	CBSX__TIL10__Dendritic.cells
TCGA-OR-A5JJ-01A	0	0	0.33191598311471326	0.3080726633563544	0	0	0.3471768065213939	0	0	0.01283454700753855
TCGA-OR-A5LT-01A	0	0	0.49386712945789074	0	0	0	0.2842111181005773	0	0	0.22192175244153212
TCGA-OR-A5LH-01A	0	0	0.5736373818717179	0	0	0	0.2909871028541119	0	0	0.1353755152741702
TCGA-OR-A5K0-01A	0	0	0.0889033827399592	0.28112734153740976	0	0.00768236324079481	0.00978753239726633	0	0	0.6124993800845698
TCGA-OR-A5K9-01A	0	0	0.20886907888813863	0.22243738169934385	0	0	0.34048526143094476	0	0	0.2282082779815728
TCGA-OR-A5LD-01A	0	0	0.5572384912704808	0.11752617938974548	0	0	0	0	0	0.3252353293397738
TCGA-OR-A5JK-01A	0	0	0.32870215165995864	0.04697071426345743	0	0	0.18101371696020216	0.3762758427998899	0	0.06703757431649178
TCGA-OR-A5K4-01A	0	0	0.1866837679322191	0.3048875712200801	0	0	0.5084286608477008	0	0	0
TCGA-P6-A5OF-01A	0	0	0.16940238217177175	0	0	0	0	0	0	0.8305976178282283
TCGA-OR-A5JV-01A	0	0	0.7940659494992104	0.0021404566262611	2.6105670525595e-4	0.0126472822542499	0.19088525491502273	0	0	0
TCGA-OR-A5J5-01A	0	0	0.45873220116839136	0	0	0.03451131440809804	0	0	0	0.5067564844235105
TCGA-PK-A5H8-01A	0	0	0.5120704328894418	0.26326134759750325	0	0	0.2246682195130552	0	0	0
TCGA-OR-A5JG-01A	0	0	0.49002166655562673	0.2811068354256638	0	0	0.2288714980187095	0	0	0
TCGA-OR-A5LA-01A	0	0	0.5949230057132764	0.26245542672227923	0	0	0.11747743228325117	0.0251441352811933	0	0
TCGA-OR-A5JY-01A	0	0	0.4922984362201824	0.22577344182274495	0	0	0.2672969197081635	0	0	0.01463120224890911
TCGA-OR-A5LM-01A	0	0	0.6173924044267821	0.1525151774217404	0	0	0.2300924181514775	0	0	0
TCGA-OR-A5LP-01A	0	0.04495209209642276	0.3961210380551826	0.5463866287236039	0	0	0.00334275269344331	0.00919748843134741	0	0
TCGA-OR-A5JW-01A	0	0	0.4143100046030449	0	0	0	0.2909027184590607	0	0	0.29478727693789447
