Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
SimData1	0.01669239592638356	0.37147133371208957	0.27598482492778453	0.00000000000000000	0.14318442963620107	0.19266701579754128	0.00000000000000000	0.60305519359826742	0.83653061711694732
SimData10	0.04488382076320836	0.35464731194113119	0.23844356918886275	0.00000000000000000	0.16183480213130783	0.20019049597548982	0.00000000000000000	0.58077241193682150	0.85037060624091765
SimData100	0.02584312747503326	0.34259016824010380	0.00000000000000000	0.00000000000000000	0.36557990064613372	0.26598680363872906	0.00000000000000000	0.68904958858067822	0.73703672729528813
SimData1000	0.00000000000000000	0.36217835424515760	0.20687427743854628	0.00000000000000000	0.27316357496459148	0.15778379335170462	0.00000000000000000	0.74127735132429451	0.67745776689145687
SimData1001	0.01835954266101914	0.39743417464167918	0.16193821542643516	0.00000000000000000	0.25403096333458020	0.16823710393628621	0.00000000000000000	0.64711992153566378	0.80298926291223049
SimData1002	0.06649893970185787	0.40939926051407172	0.01305350192213747	0.00000000000000000	0.35236406363442629	0.15868423422750663	0.00000000000000000	0.43407549298380071	1.02577934454507358
SimData1003	0.29596356090703041	0.00000000000000000	0.50323404237843905	0.00000000000000000	0.08126481414451019	0.11953758257002037	0.00000000000000000	-0.01400276054918238	1.04513593249108672
SimData1004	0.09870997505991740	0.18536934258051285	0.20624580135475290	0.00000000000000000	0.39926581567478514	0.11040906533003178	0.00000000000000000	0.84921155362117451	0.61387726730008130
SimData1005	0.09220737489961560	0.16610756034816335	0.23643286388835597	0.00000000000000000	0.38793503101704790	0.11731716984681712	0.00000000000000000	0.85160415664352707	0.62862495986942379
SimData1006	0.10727024198027925	0.19116059532507254	0.20556714318010860	0.00000000000000000	0.38735120960342945	0.10865080991111015	0.00000000000000000	0.84159308603946947	0.61660947870268756
SimData1007	0.12191485168591809	0.20168837463795949	0.19668332131619246	0.00000000000000000	0.37842519067869057	0.10128826168123944	0.00000000000000000	0.84510118833514303	0.60585341381806279
SimData1008	0.08132298092607695	0.19938671281493658	0.17166924086860758	0.00000000000000000	0.41975236561994012	0.12786869977043894	0.00000000000000000	0.82642603336561860	0.62144844147100164
SimData1009	0.09875207548523736	0.18614283893832737	0.14037235490172506	0.00000000000000000	0.42264714601229564	0.15208558466241454	0.00000000000000000	0.81673493630359850	0.63598172980471468
SimData101	0.07535321879772848	0.32682128970687724	0.00000000000000000	0.03143744114347182	0.40172793224986902	0.16466011810205342	0.00000000000000000	0.43681328407813191	0.96423663775605795
SimData1010	0.09268967370090946	0.21258028155809930	0.14927963671114755	0.00000000000000000	0.45117349289908065	0.09427691513076307	0.00000000000000000	0.78534659735566148	0.65052733603468282
SimData1011	0.08891242785446428	0.21140326544068339	0.20031806320510026	0.00000000000000000	0.38601035411987966	0.11335588937987247	0.00000000000000000	0.76171693130625906	0.67381733788614628
SimData1012	0.10320671233027029	0.19455816061293291	0.17122471933065508	0.00000000000000000	0.41476475313760924	0.11624565458853245	0.00000000000000000	0.78050764340914469	0.66466362246807686
