Samples	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD8	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__Monocytes	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__T_cells_CD4	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NKT_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__B_cells	CBSX__Fig2ab-NSCLC_PBMCs_scRNAseq_sigmatrix__NK_cells
SimData1	0.01669239592638356	0.3714713337120896	0.27598482492778453	0	0.1431844296362011	0.19266701579754128
SimData10	0.04488382076320836	0.3546473119411312	0.23844356918886275	0	0.16183480213130785	0.20019049597548985
SimData100	0.02584312747503326	0.3425901682401038	0	0	0.36557990064613377	0.26598680363872906
SimData1000	0	0.3621783542451576	0.20687427743854628	0	0.2731635749645915	0.15778379335170462
SimData1001	0.018359542661019142	0.3974341746416792	0.16193821542643516	0	0.2540309633345802	0.1682371039362862
SimData1002	0.06649893970185787	0.40939926051407166	0.01305350192213747	0	0.3523640636344263	0.15868423422750663
SimData1003	0.2959635609070304	0	0.503234042378439	0	0.08126481414451019	0.11953758257002035
SimData1004	0.0987099750599174	0.18536934258051285	0.20624580135475287	0	0.39926581567478514	0.11040906533003178
SimData1005	0.0922073748996156	0.16610756034816335	0.23643286388835597	0	0.3879350310170479	0.11731716984681712
SimData1006	0.10727024198027924	0.19116059532507257	0.2055671431801086	0	0.38735120960342945	0.10865080991111016
SimData1007	0.12191485168591808	0.20168837463795947	0.19668332131619248	0	0.37842519067869057	0.10128826168123944
SimData1008	0.08132298092607695	0.19938671281493656	0.17166924086860758	0	0.41975236561994017	0.12786869977043894
SimData1009	0.09875207548523736	0.18614283893832737	0.14037235490172506	0	0.4226471460122957	0.15208558466241454
SimData101	0.07535321879772848	0.32682128970687724	0	0.03143744114347182	0.401727932249869	0.16466011810205342
SimData1010	0.09268967370090946	0.21258028155809927	0.14927963671114755	0	0.45117349289908065	0.09427691513076308
SimData1011	0.08891242785446428	0.2114032654406834	0.20031806320510023	0	0.38601035411987966	0.11335588937987248
SimData1012	0.10320671233027028	0.1945581606129329	0.17122471933065508	0	0.4147647531376093	0.11624565458853243
SimData1013	0.10503721829283094	0.18890801468018473	0.18007272789281012	0	0.40932564586101794	0.11665639327315624
SimData1014	0.1038005616367512	0.18447869724522392	0.15924086416480485	0	0.4282391757337098	0.12424070121951038
SimData1015	0.11402265178516094	0.1750467973581186	0.16333250641325822	0	0.42073756077633007	0.12686048366713215
SimData1016	0.11124553216803702	0.18187357842678628	0.15349019443428727	0	0.4319759066064341	0.1214147883644552
SimData1017	0.12588137791514636	0.23429273936449865	0.06734382108064008	0	0.43525781959844767	0.13722424204126718
SimData1018	0.1455712779772514	0.18654676448896315	0.13378332151142058	0	0.42191364169112544	0.11218499433123952
SimData1019	0.17043520497125253	0.19711342939727436	0.03759566607681113	0	0.46788467677218887	0.12697102278247316
SimData102	0	0.01262825594888328	0.5511890173195665	0.2994111934605332	0.13677153327101696	0
SimData1020	0	0.1254737159955898	0.4322038529050334	0.44232243109937686	0	0
SimData1021	0.11236447417809252	0.39225467073255066	0.00659368090472584	0	0.21533820329091924	0.27344897089371184
