NAME	Malignant	Endothelial cells	CAF	T cells CD8	NK cells	Macrophages	T cells CD4	B cells
A2M	272.914082195872	212.140933619673	1	1	1	700.203269770239	1	1
A4GALT	1	67.0807522792355	1	1	1	1	1	1
ABCA1	1	84.2225454360954	1	1	1	128.759390600343	1	1
ABCB1	1	1	1	1	133.574755968764	1	1	1
ABCB5	117.86677082071	1	1	19.9435119834713	1	1	1	1
ABCB6	49.6280384291589	1	41.3828486480534	1	1	1	1	1
ABCB7	1	1	1	1	1	1	1	44.8152329373169
ABCC10	1	1	16.1554131893253	1	1	1	1	36.5907464825105
ABCC5	18.4457302006143	1	21.2428504369302	1	1	77.122566870922	1	1
ABHD12	32.6177818567696	1	65.9122230709179	1	1	159.175710139042	1	1
ABHD13	1	1	1	1	54.6986745290705	1	1	1
ABHD14A	50.144185643134	1	40.6399663261078	60.0289031932554	1	1	81.9403023217474	1
ABHD15	1	1	1	1	1	1	13.9802608848136	18.7344770049666
ABHD3	1	1	1	71.256928385453	40.5391003016547	43.0051902352945	54.7214050639768	1
ABHD4	28.8084831314156	36.2618978478559	146.292365653434	1	1	1	1	1
ABI3BP	1	39.125890345634	166.552142260039	1	1	1	1	1
ABLIM2	1	40.9086957621397	1	1	1	1	1	1
ABR	19.7452996658537	1	21.1000200777549	1	58.0697943728846	53.5671472435419	1	1
ACAD11	16.7856025202976	19.1431741865705	19.4286959964705	1	184.038615203286	1	1	1
ACAD9	29.5239610028549	1	41.8362962161377	1	57.3856788107142	1	1	1
ACAN	1	1	137.871861973349	1	1	1	1	1
ACAP1	1	1	1	176.165720930768	184.84510175439	1	226.591215650753	104.821610016208
ACAT2	1	1	217.29005657603	1	1	1	1	1
ACN9	30.3139986558228	1	1	1	1	1	1	1
ACOT7	220.601820804114	33.9109754940323	94.0841571437203	1	17.4440087134701	1	1	1
ACP2	35.4015405116615	110.930721685177	63.9138406546935	1	1	196.218538297016	1	1
ACP6	36.2415651071002	1	1	1	1	1	1	1
ACSL1	37.8835717939278	1	23.3217283732465	1	1	60.5898054091954	1	1
ACSL3	188.183363088419	38.1194142302846	39.7473972574653	1	1	20.146418200288	1	1
ACSL5	1	153.852376866843	1	75.1836799712719	36.0704852934637	1	52.8202973986476	1
ACSS2	1	86.9867923815219	20.3026292614398	1	1	1	1	1
ACTA2	1	1	973.102816876929	1	1	1	1	1
ACTN1	99.1596501232687	592.522430660761	596.862673400353	1	1	45.5178177547493	1	1
ACTR6	19.1267961024322	1	27.5810281638074	1	1	1	63.4866914308561	1
ACVRL1	1	54.8719905201992	1	1	1	1	1	1
ACY1	60.1667627105683	1	25.6572934476022	1	1	51.1854052364244	1	1
ACYP1	41.163320929467	1	1	1	1	1	1	1
ADA	1	63.2126477351805	68.1425774468133	92.107151274461	322.923318308841	1	1	1
ADAM12	1	1	87.0629425379635	1	1	1	1	1
ADAM19	21.1329597816208	57.2553259532566	22.9676064844562	1	1	1	45.8302098191255	95.2405767297034
ADAM28	1	1	1	1	202.320089863495	88.5702832683301	1	266.451150100334
ADAM8	1	1	1	93.2137711892131	194.446358253679	1	1	1
ADAMTS1	60.8648736109311	1	385.088537053494	1	1	1	1	1
ADAMTS2	1	1	57.3192821740552	1	1	1	1	1
ADAMTS9	1	86.40208672021	1	1	1	1	1	1
ADAMTSL1	1	1	40.039394330094	1	1	1	1	1
ADAP2	1	1	1	1	1	203.9123419265	1	1
ADCK3	55.0323974958496	38.9741301263442	1	1	1	1	1	1
ADCK4	39.4283189648711	1	23.6527831475184	1	1	1	1	1
ADCY4	1	123.462844310387	29.7614815797031	1	1	1	1	1
ADHFE1	18.5292770552279	1	1	1	146.839367338346	1	1	1
ADIRF	1	229.514453782181	41.9030608486224	1	1	1	1	1
ADK	1	1	118.236076261929	1	1	43.179505562752	1	132.95669149985
ADORA2A	1	1	1	171.185057944944	1	1	1	1
ADORA3	1	1	1	1	1	266.359953421157	1	1
ADPGK.AS1	1	1	1	1	1	1	1	24.8038886086755
ADPRH	1	96.809075036785	1	1	1	1	1	1
ADRB2	1	17.2160782144124	1	1	189.785814925888	1	1	1
ADRBK2	1	1	1	1	1	1	1	37.3813765477515
AEBP2	1	46.2813840265686	1	1	1	1	1	1
AFAP1L1	1	224.350325669988	1	1	1	1	1	1
AFAP1L2	62.1912152126338	1	1	1	1	1	1	1
AFF3	1	1	1	1	1	1	1	83.0490333204092
AFG3L1P	1	88.3574387419622	1	1	9.15815494416436	1	1	1
AGO1	1	1	1	1	14.8269182913503	1	1	1
AGO3	1	1	25.8248014061403	1	1	1	1	23.6146888847976
