Mixture	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells	P-value	Correlation	RMSE
453W	0.00000000000000000	0.09577357017908204	0.18423094447983854	0.26039889629866486	0.31228072064977747	0.14731586839263713	0.00000000000000000	0.54316917249034402	0.84379040808098538
684C	0.12097429828685097	0.04615667016618507	0.29889203550458576	0.08707915382643085	0.41922249203321565	0.02767535018273156	0.00000000000000000	0.54079297768115109	0.86262403694276002
CR3L	0.05460055435496072	0.05356551007763481	0.35641217499821093	0.03106510449359546	0.44648079594934564	0.05787586012625243	0.00000000000000000	0.66369918459300348	0.80912308073524575
FLWA	0.10434339982334108	0.14865425838736807	0.20466527916669172	0.04899814806691666	0.34629811980708303	0.14704079474859946	0.00000000000000000	0.60762412928803522	0.80305798242097959
FY2H	0.04885233815975010	0.20503538662236523	0.13311458587919386	0.19970710299460789	0.41263863111779847	0.00065195522628453	0.00000000000000000	0.55908250580860119	0.82896488454693973
CYFZ	0.18513552687079457	0.06627186229921687	0.14725343557122600	0.15563655734278795	0.36398897480556025	0.08171364311041435	0.00000000000000000	0.54057812775609726	0.85215957920237861
925L	0.08964741466874633	0.11435051099170093	0.14656669878252071	0.14793678359051168	0.48717050580705157	0.01432808615946860	0.00000000000000000	0.62598190253279462	0.79936801113074507
9JD4	0.01242875145356796	0.08349153773450495	0.40915493398532699	0.08515516324454625	0.30944789834071951	0.10032171524133447	0.00000000000000000	0.64161925430796674	0.81302722979356967
G4YW	0.05460691314806263	0.20902769654537229	0.23267705483146506	0.11172450775527248	0.35522429891446600	0.03673952880536142	0.00000000000000000	0.70346800599933690	0.72414429268688307
4DUY	0.03540735499446693	0.12846167893607729	0.38258590100200346	0.08469924737693449	0.35397785733390763	0.01486796035661031	0.00000000000000000	0.59583883797001813	0.82037760272757609
CZJE	0.07795895306111683	0.07162371745515550	0.20575782503382348	0.03107097575212199	0.52518879099707183	0.08839973770071037	0.00000000000000000	0.64624123587600513	0.79942984647133941
36TS	0.03095115375509411	0.21352513892488686	0.26111411623135861	0.09709276802630555	0.34659565867505293	0.05072116438730201	0.00000000000000000	0.53333068347205970	0.84650817291566838
