Samples	CBSX__LM22__B_cells_naive	CBSX__LM22__B_cells_memory	CBSX__LM22__Plasma_cells	CBSX__LM22__T_cells_CD8	CBSX__LM22__T_cells_CD4_naive	CBSX__LM22__T_cells_CD4_memory_resting	CBSX__LM22__T_cells_CD4_memory_activated	CBSX__LM22__T_cells_follicular_helper	CBSX__LM22__T_cells_regulatory_(Tregs)	CBSX__LM22__T_cells_gamma_delta	CBSX__LM22__NK_cells_resting	CBSX__LM22__NK_cells_activated	CBSX__LM22__Monocytes	CBSX__LM22__Macrophages_M0	CBSX__LM22__Macrophages_M1	CBSX__LM22__Macrophages_M2	CBSX__LM22__Dendritic_cells_resting	CBSX__LM22__Dendritic_cells_activated	CBSX__LM22__Mast_cells_resting	CBSX__LM22__Mast_cells_activated	CBSX__LM22__Eosinophils	CBSX__LM22__Neutrophils
SimData1	0	0.0114103426039352	0.00101773665569017	0.10968313075645891	0	0.09277080556520742	0.00671765283378387	0.00645665481463638	0.0369022553223159	0	0.12931894779086514	0	0.42706851516586	0	0	0.1119243557374608	0.04579955066382572	0.02093005208996037	0	0	0	0
SimData10	0.01768822219325806	0	0	0.10786930265471097	0	0.08033475138318974	0.01451145430882544	0.0297833061097062	0.01185460088430903	0	0.16036588625229367	0	0.41974251111298233	0	0	0.10639785121980684	0.0181837520292181	0.03326836185169955	0	0	0	0
SimData100	0.0611043994183004	0.02146581429585706	0	0.3179353952132832	0	0	0	0.03553554800939347	0	0	0.12594152759485716	0.03691554753505246	0.1990207526657307	0	0	0.04233562134182693	0.01588001539599894	0.01707649472684732	0.01139890605275773	0	0	0.11538997775009452
SimData1000	0.06646138278855894	0.03719591006469444	0	0.06901065431446524	0	0.18358378062705644	0.00451519650696141	1.8872253217273e-4	0.01386949188783698	0	0.1262763457382666	0	0.24088146394426468	0	0	0.06710443595057915	0.05557243000604707	0.02522716439733491	0	0	0	0.11011302124176144
SimData1001	0.04155421428286846	0.05279826871814194	0	0.03830076140394642	0	0.22040027419641925	0	4.8099179697951e-4	0	0	0.1465006683420585	0	0.14733091720246805	0	0	0.09839725457407826	0.08440641529951336	0.02250151726018953	0	2.689100264956e-5	0	0.1473018259206872
SimData1002	0.03907384431131979	0.03821052666386029	0.00153385081157913	0.06421793104310373	0	0.2040482983418881	0	0.02818921171165417	0.01254551709285748	0	0.11167820509902612	0.0073310819701218	0.3418259441194062	0	0	0.02218542268148601	0.035080632007445	0.03327132849432325	0	0.00851695363116581	0	0.05229125202076314
SimData1003	0.15614203123302728	0	0.38553158459017695	0.00206171969504168	0	0.12547864118979493	0	0.04901440403114916	0	0	0.13623166911114076	0	0.01610115474927767	0.07755789267772731	0	0	0	0	0	0.02735335672174853	0.02403222261561365	4.9532338530201e-4
SimData1004	0.0542568039265267	0.08591463575349578	0	0.19214437330800307	0	0.21291592168649404	0	0	0.01667478982143405	0	0.10405529572939862	0.00511350343929964	0.25970640813924867	0.00362276371302925	0	0.01017658589011732	0.00543657720660288	8.3217584639399e-4	0.00620334043149996	0	0	0.04294682510845621
SimData1005	0.03708315872980648	0.11275512771020414	0	0.21360203022972687	0	0.17970552506685927	0.00345995406777322	0	0.01874828531586143	0	0.10526924507283848	0	0.276779791616736	0	0	0.00604881431340906	0.00340607273106013	0.00128439732670095	1.9568115445406e-4	0	0	0.04166191666456981
SimData1006	0.046786952934215247	0.09191861883432507	0	0.2132523230227598	0	0.1976343794892116	0	0	0.02308284704218425	0	0.12767306276187584	0	0.24836075574886016	0	0	0.01187902481565925	0	0.00194217065996708	0	0	0	0.03746986469094189
