Samples	CBSX__CCLE_TIL10__Cancer.cells	CBSX__CCLE_TIL10__B.cells	CBSX__CCLE_TIL10__Macrophages.M1	CBSX__CCLE_TIL10__Macrophages.M2	CBSX__CCLE_TIL10__Monocytes	CBSX__CCLE_TIL10__Neutrophils	CBSX__CCLE_TIL10__NK.cells	CBSX__CCLE_TIL10__T.cells.CD4	CBSX__CCLE_TIL10__T.cells.CD8	CBSX__CCLE_TIL10__Tregs	CBSX__CCLE_TIL10__Dendritic.cells
5085	0.22426121851729616	0	0	0	0.36187014622824415	0.3530373332278158	0.0329892886001799	0	0.02035001485272917	0.00749199857373479	0
5087	0.42508440061137515	0.02782135927289943	0	0	0.38947340225019034	0.1093137349371072	0.02457881009140971	0	0	0.02372829283701816	0
5088	0.29080592770356267	0.00843269184741687	0	0	0.47185139160538786	0.19285253292364288	0.00761523922399019	0	0.02136034743404956	0.00708186926195003	0
5091	0.4602453080770788	0.02619218482991329	0.00670997544956329	0	0.30357708605135303	0.15196254333441372	0.03333541734866414	0	0.00438815437474942	0.01358933053426421	0
5092	0.36192539366682874	0	0	0	0.28709978944605624	0.2862841718841685	0.00446234635491534	0.04688703240309572	0.00861808533010002	0	0.00472318091483536
5093	0.07448277670474666	4.1736538986442e-4	0.01851730407628178	0.00912202528465871	0.407673877486755	0.3846827167517652	0.02618099264720775	0.01015847054723024	0.05334481592164726	0.01541965518984291	0
5094	0.24984555685407597	0.00730804810137997	2.2490491849094e-4	0	0.28793401267810925	0.29047780509048216	0.04567840982932805	0.04540237886976194	0.06683848142583125	0.00629040223254058	0
5095	0.14871493905851105	0.0486321838479605	0	0.01947289259202124	0.23035209323936637	0.25441621086822525	0.06554947873325147	0.1867207120414701	0.04614148961919392	0	0
5097	0.2620822092648449	0.01485730092297157	0.02317536431915881	8.6547830430919e-4	0.05066270065967747	0.3854045977287392	0.01887879693327086	0.11239712532350202	0.10042216821815664	0.03125425832536934	0
5098	0.03498162500041283	0.00470100671331361	0.0152492057270854	0.00412074002321305	0.21993576145644356	0.685253621453119	0.01451088720604509	0	0.00622441781583226	0.01502273460453514	0
5103	0.16268325180475288	0	0	0	0.35020060830060323	0.3341285009480229	0.02229137823781836	0.05902500845400403	0.06407541722986802	0.00759583502493055	0
5104	0.165161933019361	0.00797190647770053	0.01049546988217125	0	0.22741961682354508	0.43764274175074847	0.01917536940843418	0.07957523561955368	0.0424474621413929	0.01011026487709278	0
5105	0.32094129284122275	0	0	0.00475978031455301	0.3496177138952435	0.2643161718461821	0.01307516366044838	0.03871787351101787	0.00857200393133239	0	0
5108	0.2811926760675171	0	0	0	0.33766035949533263	0.31716463442005755	0.02778123120115392	0.0110323200144605	0.01874912019891936	0.00641965860255896	0
5115	0.04060953655990322	0.01147144845801728	0.00809323190482749	0	0.27781570668521327	0.49451408128526386	0.03303451673925398	0.11073145852813596	0.02373001983938509	0	0
5117	0.400978575439597	0.01569525555466712	0	0	0.3460693051613451	0.19108458994692495	0.01719653217104724	0	0.01584764407112562	0.01312809765529319	0
5120	0.02676944415478594	0.01991001724171939	0.02093976848867999	0.01845395343013567	0.1679091420542483	0.4512100774980525	0.03578225731648547	0.1514714978222488	0.10341558486019704	0.00413825713344701	0
5122	0.1091032866603984	0	0	0	0.07435485754390132	0.5433668840294577	0.00630718199267445	0.24913493750149296	0.01773285227207514	0	0
5124	0.42521500726325184	0.00883730927477184	0	0	0.37217948851395954	0.13379300872941913	0.02077457784544468	0.02881980969054461	0.01038079868260813	0	0
5133	0.06134423114738199	0	0	0	0.17648694224276862	0.473732139326524	0.06805566330759011	0.11303415290770764	0.1073468710680278	0	0
